,Category,Date,DayOfWeek,Descript,IncidntNum,Location,PdDistrict,Resolution,Time,X,Y,datetime,i,block_fips
59357,OTHER OFFENSES,07/08/2013,Monday,"DRIVERS LICENSE, SUSPENDED OR REVOKED",130559185,STOCKTON ST / PACIFIC AV,CENTRAL,"ARREST, CITED",02:19,-122.408433097286,37.7967039278443,2013-07-08 02:19:00,0,060750107003004
53657,BURGLARY,06/19/2013,Wednesday,"BURGLARY OF APARTMENT HOUSE, ATT FORCIBLE ENTRY",130505495,1200 Block of WALLER ST,PARK,"ARREST, BOOKED",23:50,-122.444026692726,37.7693112036475,2013-06-19 23:50:00,1,060750171013001
98026,WARRANTS,10/08/2013,Tuesday,ENROUTE TO OUTSIDE JURISDICTION,130852161,300 Block of DRUMM ST,CENTRAL,"ARREST, BOOKED",20:48,-122.397047118774,37.7969866449829,2013-10-08 20:48:00,2,060750105002007
9414,NON-CRIMINAL,02/07/2013,Thursday,"AIDED CASE, MENTAL DISTURBED",130108425,300 Block of TURK ST,TENDERLOIN,PSYCHOPATHIC CASE,09:35,-122.414301510881,37.7827280882973,2013-02-07 09:35:00,3,060750124012002
36162,LARCENY/THEFT,04/06/2013,Saturday,PETTY THEFT OF PROPERTY,136061433,0 Block of MAIDEN LN,CENTRAL,NONE,00:01,-122.403967883958,37.7883438366056,2013-04-06 00:01:00,4,060750117002021
115821,OTHER OFFENSES,11/24/2013,Sunday,PROBATION VIOLATION,130997648,1600 Block of 15TH ST,MISSION,"ARREST, BOOKED",20:19,-122.420913264341,37.7665741984787,2013-11-24 20:19:00,5,060750201002006
29639,LARCENY/THEFT,04/24/2013,Wednesday,PETTY THEFT FROM LOCKED AUTO,130336472,GEARY BL / GOUGH ST,NORTHERN,NONE,19:15,-122.424688703591,37.7853339640306,2013-04-24 19:15:00,6,060750159001000
95965,ASSAULT,10/02/2013,Wednesday,THREATS AGAINST LIFE,130832107,0 Block of ANKENY ST,INGLESIDE,NONE,13:30,-122.40359680755199,37.718331955912205,2013-10-02 13:30:00,7,060750264021003
126477,BURGLARY,12/15/2013,Sunday,"BURGLARY OF APARTMENT HOUSE, FORCIBLE ENTRY",131087672,600 Block of LEAVENWORTH ST,CENTRAL,NONE,10:00,-122.41488034202699,37.7866576737099,2013-12-15 10:00:00,8,060750122011000
82962,NON-CRIMINAL,08/31/2013,Saturday,LOST PROPERTY,130727489,600 Block of STOCKTON ST,CENTRAL,NONE,20:35,-122.407241879929,37.7914890833128,2013-08-31 20:35:00,9,060750117001019
36145,LARCENY/THEFT,03/30/2013,Saturday,GRAND THEFT OF PROPERTY,136061267,HALLECK ST / BATTERY ST,CENTRAL,NONE,02:00,-122.40006188925,37.7936939162463,2013-03-30 02:00:00,10,060750117001003
108311,LARCENY/THEFT,10/30/2013,Wednesday,GRAND THEFT OF PROPERTY,136205879,600 Block of DIVISADERO ST,PARK,NONE,13:45,-122.43784420090799,37.7749999422525,2013-10-30 13:45:00,11,060750164002003
86223,DRUG/NARCOTIC,09/09/2013,Monday,POSSESSION OF METH-AMPHETAMINE FOR SALE,130753973,DIVISION ST / VERMONT ST,SOUTHERN,"ARREST, BOOKED",03:29,-122.404992126126,37.769716305198,2013-09-09 03:29:00,12,060750180002027
87174,SUSPICIOUS OCC,09/12/2013,Thursday,SUSPICIOUS OCCURRENCE,130765097,2000 Block of MARKET ST,MISSION,NONE,02:42,-122.427123176436,37.769089103818295,2013-09-12 02:42:00,13,060750169001000
116719,ASSAULT,11/26/2013,Tuesday,THREATS AGAINST LIFE,131003270,MARKET ST / GUERRERO ST,SOUTHERN,"ARREST, BOOKED",16:05,-122.42485404025801,37.7707478792596,2013-11-26 16:05:00,14,060750168013005
3017,OTHER OFFENSES,01/13/2013,Sunday,PROBATION VIOLATION,130036406,100 Block of POWELL ST,TENDERLOIN,"ARREST, BOOKED",19:55,-122.407917102537,37.7855913858383,2013-01-13 19:55:00,15,060750123011006
83874,LARCENY/THEFT,09/04/2013,Wednesday,GRAND THEFT FROM UNLOCKED AUTO,136161851,600 Block of BUSH ST,CENTRAL,NONE,14:40,-122.40758151598999,37.790345450953396,2013-09-04 14:40:00,16,060750119021000
33189,LARCENY/THEFT,02/02/2013,Saturday,GRAND THEFT OF PROPERTY,136025906,300 Block of POWELL ST,CENTRAL,NONE,23:00,-122.40833353293999,37.7876829824756,2013-02-02 23:00:00,17,060750123022000
24866,OTHER OFFENSES,04/06/2013,Saturday,"DRIVERS LICENSE, SUSPENDED OR REVOKED",130281106,ELLIS ST / LEAVENWORTH ST,TENDERLOIN,NONE,12:47,-122.414433155063,37.7846576329255,2013-04-06 12:47:00,18,060750122012000
40957,FRAUD,05/10/2013,Friday,FRAUDULENT USE OF AUTOMATED TELLER CARD,130387055,800 Block of VALENCIA ST,MISSION,NONE,23:00,-122.421305775704,37.7592939767943,2013-05-10 23:00:00,19,060750208003003
93985,WARRANTS,09/26/2013,Thursday,ENROUTE TO OUTSIDE JURISDICTION,130811935,LARKIN ST / GROVE ST,NORTHERN,"ARREST, BOOKED",14:45,-122.416583456133,37.778659154150795,2013-09-26 14:45:00,20,060750124022009
109331,LARCENY/THEFT,11/07/2013,Thursday,ATTEMPTED THEFT FROM LOCKED VEHICLE,130946548,CAPP ST / 16TH ST,MISSION,NONE,21:30,-122.418701003284,37.765109878622205,2013-11-07 21:30:00,21,060750201003003
54900,OTHER OFFENSES,06/24/2013,Monday,RESISTING ARREST,130517939,1700 Block of FULTON ST,PARK,"ARREST, BOOKED",10:49,-122.445202885347,37.7759289791089,2013-06-24 10:49:00,22,060750165002000
128448,VEHICLE THEFT,12/09/2013,Monday,STOLEN AUTOMOBILE,131036817,3900 Block of SACRAMENTO ST,RICHMOND,UNFOUNDED,10:26,-122.456998461344,37.7868777198995,2013-12-09 10:26:00,23,060750133005005
33489,LARCENY/THEFT,01/29/2013,Tuesday,GRAND THEFT FROM LOCKED AUTO,136029243,BRYANT ST / 3RD ST,SOUTHERN,NONE,19:10,-122.395848299154,37.7813210474369,2013-01-29 19:10:00,24,060750180001004
80896,ASSAULT,08/23/2013,Friday,BATTERY,130700924,GEARY BL / 5TH AV,RICHMOND,"ARREST, BOOKED",01:16,-122.463213126593,37.7810700704886,2013-08-23 01:16:00,25,060750451003005
80619,VANDALISM,08/24/2013,Saturday,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",130717816,CRESCENT AV / LEESE ST,INGLESIDE,NONE,20:58,-122.42268822842199,37.7352050101115,2013-08-24 20:58:00,26,060750254031004
43338,LARCENY/THEFT,05/19/2013,Sunday,PETTY THEFT OF PROPERTY,136088233,1900 Block of PACIFIC AV,NORTHERN,NONE,10:20,-122.426547265753,37.7944263416649,2013-05-19 10:20:00,27,060750131022003
37383,LARCENY/THEFT,03/14/2013,Thursday,GRAND THEFT FROM PERSON,139002109,100 Block of OFARRELL ST,TENDERLOIN,NONE,12:00,-122.407567826112,37.7865024401191,2013-03-14 12:00:00,28,060750117002025
119410,VEHICLE THEFT,11/25/2013,Monday,STOLEN AUTOMOBILE,131001058,1100 Block of MUNICH ST,INGLESIDE,NONE,20:00,-122.436527662937,37.7106377283567,2013-11-25 20:00:00,29,060750263022005
86517,WARRANTS,09/11/2013,Wednesday,WARRANT ARREST,130760837,600 Block of FOLSOM ST,SOUTHERN,"ARREST, BOOKED",01:20,-122.39736665965401,37.784975676493396,2013-09-11 01:20:00,30,060750615002017
117060,LARCENY/THEFT,11/23/2013,Saturday,GRAND THEFT FROM LOCKED AUTO,136222083,100 Block of HAWTHORNE ST,SOUTHERN,NONE,16:30,-122.396749077163,37.7837757135094,2013-11-23 16:30:00,31,060750615002018
98271,BURGLARY,10/08/2013,Tuesday,"BURGLARY, UNLAWFUL ENTRY",130854402,800 Block of BRYANT ST,SOUTHERN,NONE,17:00,-122.403742962696,37.7752316978114,2013-10-08 17:00:00,32,060750180002006
86890,NON-CRIMINAL,09/01/2013,Sunday,LOST PROPERTY,130758456,800 Block of LISBON ST,INGLESIDE,NONE,12:00,-122.43815193076901,37.7161891538263,2013-09-01 12:00:00,33,060750263011006
51365,OTHER OFFENSES,06/13/2013,Thursday,"DRIVERS LICENSE, SUSPENDED OR REVOKED",130486431,JONES ST / GOLDEN GATE AV,TENDERLOIN,"ARREST, CITED",10:17,-122.412224164736,37.7820729312029,2013-06-13 10:17:00,34,060750125011002
112925,WARRANTS,11/18/2013,Monday,ENROUTE TO DEPARTMENT OF CORRECTIONS,130976125,BAY SHORE BL / INDUSTRIAL ST,BAYVIEW,"ARREST, BOOKED",00:11,-122.40691076779301,37.7379666158769,2013-11-18 00:11:00,35,060750251003043
116488,LARCENY/THEFT,11/24/2013,Sunday,GRAND THEFT FROM LOCKED AUTO,136222817,GEARY BL / LAGUNA ST,NORTHERN,NONE,20:00,-122.42799115191099,37.784953124161206,2013-11-24 20:00:00,36,060750159001008
94003,SUSPICIOUS OCC,09/20/2013,Friday,SUSPICIOUS OCCURRENCE,130813210,3500 Block of CLEMENT ST,RICHMOND,NONE,15:37,-122.497047439482,37.7814237704464,2013-09-20 15:37:00,37,060750478021003
80011,FRAUD,01/12/2013,Saturday,"CREDIT CARD, THEFT BY USE OF",130032733,100 Block of ELLIS ST,TENDERLOIN,NONE,12:53,-122.409040571267,37.7854529910475,2013-01-12 12:53:00,38,060750123011002
15170,WARRANTS,02/28/2013,Thursday,ENROUTE TO OUTSIDE JURISDICTION,130171842,1200 Block of JONES ST,CENTRAL,"ARREST, BOOKED",08:15,-122.41437880354401,37.792959150237,2013-02-28 08:15:00,39,060750112002002
65567,NON-CRIMINAL,07/14/2013,Sunday,LOST PROPERTY,136133446,16TH ST / MISSION ST,MISSION,NONE,16:00,-122.419671780296,37.7650501214668,2013-07-14 16:00:00,40,060750201004002
68562,DRUG/NARCOTIC,08/03/2013,Saturday,POSSESSION OF NARCOTICS PARAPHERNALIA,130640847,900 Block of HARRISON ST,SOUTHERN,"ARREST, BOOKED",17:12,-122.40387655236601,37.777583363204,2013-08-03 17:12:00,41,060750178021005
18037,ASSAULT,03/11/2013,Monday,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,130203865,900 Block of MARKET ST,SOUTHERN,NONE,11:25,-122.408540829958,37.783663427509,2013-03-11 11:25:00,42,060750176015000
22831,LARCENY/THEFT,03/28/2013,Thursday,PETTY THEFT FROM UNLOCKED AUTO,130258218,2100 Block of BAKER ST,RICHMOND,NONE,20:00,-122.444171004749,37.7903686108187,2013-03-28 20:00:00,43,060750134003002
121881,WARRANTS,12/13/2013,Friday,ENROUTE TO OUTSIDE JURISDICTION,131049428,0 Block of BLUXOME ST,SOUTHERN,"ARREST, BOOKED",23:35,-122.39604061319599,37.77762136926339,2013-12-13 23:35:00,44,060750180001032
89413,MISSING PERSON,09/15/2013,Sunday,MISSING ADULT,130778307,2400 Block of HARRISON ST,MISSION,NONE,17:00,-122.412338368131,37.75774242034029,2013-09-15 17:00:00,45,060750228012005
38064,LARCENY/THEFT,02/05/2013,Tuesday,PETTY THEFT OF PROPERTY,136027786,3700 Block of CESAR CHAVEZ ST,MISSION,NONE,13:00,-122.42328769346001,37.7478390958055,2013-02-05 13:00:00,46,060750215001003
129232,TRESPASS,12/30/2013,Monday,TRESPASSING,140049085,300 Block of PRINCETON ST,BAYVIEW,NONE,17:00,-122.415031024427,37.7256706407004,2013-12-30 17:00:00,47,060750259001004
60543,LARCENY/THEFT,07/08/2013,Monday,GRAND THEFT FROM LOCKED AUTO,136117832,300 Block of EUCALYPTUS DR,TARAVAL,NONE,08:30,-122.47626896760299,37.7310731174451,2013-07-08 08:30:00,48,060750332011002
4367,LARCENY/THEFT,01/19/2013,Saturday,PETTY THEFT FROM LOCKED AUTO,130052101,BROTHERHOOD WAY / LAKE MERCED BL,TARAVAL,NONE,06:20,-122.485226315294,37.714694527577294,2013-01-19 06:20:00,49,060750604001031
108886,MISSING PERSON,10/17/2013,Thursday,MISSING JUVENILE,130875696,900 Block of POTRERO AV,MISSION,LOCATED,11:35,-122.40666265748501,37.7568815847062,2013-10-17 11:35:00,50,060750228022000
113751,FRAUD,11/16/2013,Saturday,"CREDIT CARD, THEFT OF",130972402,100 Block of GOLDEN GATE AV,TENDERLOIN,NONE,12:30,-122.413069580431,37.7819985762419,2013-11-16 12:30:00,51,060750125011002
79645,LARCENY/THEFT,08/24/2013,Saturday,GRAND THEFT FROM LOCKED AUTO,130704330,2400 Block of BRODERICK ST,RICHMOND,NONE,06:20,-122.44332539455,37.79317659514479,2013-08-24 06:20:00,52,060750132003013
7589,DRUG/NARCOTIC,01/31/2013,Thursday,POSSESSION OF MARIJUANA FOR SALES,130088275,TAYLOR ST / GOLDEN GATE AV,SOUTHERN,"ARREST, BOOKED",13:41,-122.41029351969,37.7822305870036,2013-01-31 13:41:00,53,060750125011004
74547,"SEX OFFENSES, FORCIBLE",08/14/2013,Wednesday,SEXUAL BATTERY,130674749,24TH ST / HARRISON ST,MISSION,NONE,08:20,-122.41190223263,37.7526284767606,2013-08-14 08:20:00,54,060750229012000
92199,LARCENY/THEFT,09/14/2013,Saturday,GRAND THEFT OF PROPERTY,136176800,THE EMBARCADERONORTH ST / JEFFERSON ST,CENTRAL,NONE,15:40,-122.412527239682,37.808625059546706,2013-09-14 15:40:00,55,060750101001004
46706,BURGLARY,05/24/2013,Friday,"BURGLARY OF FLAT, UNLAWFUL ENTRY",130437832,1900 Block of MCALLISTER ST,PARK,NONE,16:15,-122.44437173566799,37.777143878297,2013-05-24 16:15:00,56,060750157002002
89152,DRUG/NARCOTIC,09/16/2013,Monday,POSSESSION OF CONTROLLED SUBSTANCE,130779991,300 Block of 9TH ST,SOUTHERN,"ARREST, BOOKED",17:51,-122.41071439982201,37.77299379901729,2013-09-16 17:51:00,57,060750178022011
124174,ASSAULT,12/18/2013,Wednesday,AGGRAVATED ASSAULT WITH BODILY FORCE,131067141,WILLS ST / MIDDLEPOINT RD,BAYVIEW,NONE,20:18,-122.379417852372,37.736274003944004,2013-12-18 20:18:00,58,060750231031007
54169,OTHER OFFENSES,06/22/2013,Saturday,RECKLESS DRIVING,130512741,800 Block of BRYANT ST,SOUTHERN,"ARREST, BOOKED",11:31,-122.403742962696,37.7752316978114,2013-06-22 11:31:00,59,060750180002006
25427,LARCENY/THEFT,04/02/2013,Tuesday,GRAND THEFT FROM A BUILDING,130287308,0 Block of PHELAN AV,INGLESIDE,NONE,12:00,-122.45230190572501,37.72429167619661,2013-04-02 12:00:00,60,060750311003013
91532,LARCENY/THEFT,09/14/2013,Saturday,GRAND THEFT OF PROPERTY,136175238,300 Block of 14TH AV,RICHMOND,NONE,09:45,-122.477415335667,37.7823272814746,2013-09-14 09:45:00,61,060750426021005
126672,VANDALISM,12/28/2013,Saturday,"MALICIOUS MISCHIEF, VANDALISM",131093657,1500 Block of HOWARD ST,SOUTHERN,NONE,02:00,-122.416509969202,37.7724073496911,2013-12-28 02:00:00,62,060750177002012
13445,SUSPICIOUS OCC,02/21/2013,Thursday,SUSPICIOUS OCCURRENCE,130152870,300 Block of 3RD ST,SOUTHERN,NONE,19:00,-122.397918927878,37.782820701767,2013-02-21 19:00:00,63,060750178012000
