,Category,Date,DayOfWeek,Descript,IncidntNum,Location,PdDistrict,Resolution,Time,X,Y,datetime,i,block_fips
49308,FORGERY/COUNTERFEITING,08/11/2009,Tuesday,"CHECKS, FORGERY (FELONY)",90953049,500 Block of VALENCIA ST,MISSION,NONE,16:51,-122.421926129313,37.76489111963821,2009-08-11 16:51:00,0,060750202003007
61004,OTHER OFFENSES,09/09/2009,Wednesday,PROBATION VIOLATION,90927260,16TH ST / MISSION ST,MISSION,"ARREST, BOOKED",06:15,-122.419671780296,37.7650501214668,2009-09-09 06:15:00,1,060750201004002
1583,MISSING PERSON,01/05/2009,Monday,MISSING JUVENILE,90016619,700 Block of LONDON ST,INGLESIDE,LOCATED,07:30,-122.43933727045,37.717430354242204,2009-01-05 07:30:00,2,060750260041013
96074,NON-CRIMINAL,12/13/2009,Sunday,LOST PROPERTY,96130534,100 Block of 7TH ST,SOUTHERN,NONE,00:01,-122.410531651041,37.7789328877476,2009-12-13 00:01:00,3,060750176012003
97884,NON-CRIMINAL,12/18/2009,Friday,LOST PROPERTY,91290945,1400 Block of SCOTT ST,PARK,NONE,11:30,-122.43766163258199,37.7829955008167,2009-12-18 11:30:00,4,060750158011001
55959,MISSING PERSON,08/27/2009,Thursday,MISSING JUVENILE,90892613,800 Block of MISSOURI ST,BAYVIEW,LOCATED,22:00,-122.39573229657499,37.7555770233843,2009-08-27 22:00:00,5,060750614002011
66122,NON-CRIMINAL,09/21/2009,Monday,"AIDED CASE, MENTAL DISTURBED",90976580,1100 Block of SOUTH VAN NESS AV,MISSION,PSYCHOPATHIC CASE,20:00,-122.416292173423,37.754146518323004,2009-09-21 20:00:00,6,060750228031004
132533,LARCENY/THEFT,06/26/2009,Friday,GRAND THEFT FROM PERSON,90654093,BACON ST / SAN BRUNO AV,BAYVIEW,"ARREST, BOOKED",23:03,-122.403595293514,37.7276340992506,2009-06-26 23:03:00,7,060750257022021
70298,NON-CRIMINAL,10/02/2009,Friday,LOST PROPERTY,91019137,0 Block of JOSEPHA AV,TARAVAL,NONE,14:00,-122.47757409637899,37.717356317314206,2009-10-02 14:00:00,8,060750332032001
32246,VANDALISM,03/27/2009,Friday,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",90321844,1900 Block of MISSION ST,MISSION,NONE,08:00,-122.41966185820299,37.7653977594921,2009-03-27 08:00:00,9,060750201003003
54948,OTHER OFFENSES,08/25/2009,Tuesday,TRAFFIC VIOLATION ARREST,90875891,900 Block of MISSION ST,SOUTHERN,"ARREST, BOOKED",11:52,-122.407333154447,37.782213904882205,2009-08-25 11:52:00,10,060750176015005
90091,DRUG/NARCOTIC,11/24/2009,Tuesday,POSSESSION OF CONTROLLED SUBSTANCE FOR SALE,91209805,100 Block of GOLDEN GATE AV,TENDERLOIN,"ARREST, BOOKED",17:00,-122.413838225513,37.781832292357,2009-11-24 17:00:00,11,060750125011003
12221,LARCENY/THEFT,02/02/2009,Monday,GRAND THEFT FROM LOCKED AUTO,90122799,MAPLE ST / CLAY ST,RICHMOND,NONE,19:00,-122.45542192384501,37.7880174414991,2009-02-02 19:00:00,12,060750133005003
50778,VEHICLE THEFT,08/15/2009,Saturday,STOLEN AUTOMOBILE,91061843,6600 Block of 3RD ST,BAYVIEW,NONE,09:00,-122.398243723897,37.716895891664294,2009-08-15 09:00:00,13,060750610001025
44151,SUSPICIOUS OCC,07/28/2009,Tuesday,SUSPICIOUS OCCURRENCE,90772300,400 Block of ELLIS ST,TENDERLOIN,NONE,23:30,-122.41320735532601,37.7848461942639,2009-07-28 23:30:00,14,060750123012000
77965,VANDALISM,10/23/2009,Friday,MALICIOUS MISCHIEF,91110644,1200 Block of VANDYKE AV,BAYVIEW,NONE,12:10,-122.38586435787701,37.725315043523004,2009-10-23 12:10:00,15,060750232002008
12615,DRIVING UNDER THE INFLUENCE,02/03/2009,Tuesday,DRIVING WHILE UNDER THE INFLUENCE OF ALCOHOL,90125317,OCEAN AV / LAKEWOOD AV,TARAVAL,"ARREST, BOOKED",19:59,-122.46457359365299,37.7261303139586,2009-02-03 19:59:00,16,060750309003001
45238,VANDALISM,08/01/2009,Saturday,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",90778574,300 Block of 3RD ST,SOUTHERN,NONE,00:01,-122.39774269385201,37.782788596148706,2009-08-01 00:01:00,17,060750178012000
136694,VANDALISM,05/03/2009,Sunday,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",90462501,400 Block of LOMBARD ST,CENTRAL,"ARREST, BOOKED",18:38,-122.408878515714,37.8033775875396,2009-05-03 18:38:00,18,060750104002000
58212,ASSAULT,09/02/2009,Wednesday,INFLICT INJURY ON COHABITEE,90901640,100 Block of AMHERST ST,BAYVIEW,"ARREST, BOOKED",00:45,-122.41672638653401,37.7280285379459,2009-09-02 00:45:00,19,060750256002008
100486,DRUG/NARCOTIC,12/26/2009,Saturday,POSSESSION OF MARIJUANA,91311820,GOETTINGEN ST / SILLIMAN ST,BAYVIEW,NONE,12:13,-122.408056632124,37.7304599393386,2009-12-26 12:13:00,20,060750257013012
108553,LARCENY/THEFT,04/17/2009,Friday,GRAND THEFT FROM LOCKED AUTO,96027232,500 Block of TOWNSEND ST,SOUTHERN,NONE,02:30,-122.399927414757,37.7732230851461,2009-04-17 02:30:00,21,060750180002018
28079,ASSAULT,03/16/2009,Monday,THREATS AGAINST LIFE,90279099,0 Block of 12TH ST,SOUTHERN,"ARREST, BOOKED",20:00,-122.419807743904,37.773957998713996,2009-03-16 20:00:00,22,060750201001003
112326,MISSING PERSON,04/26/2009,Sunday,MISSING JUVENILE,90437372,3300 Block of 20TH ST,MISSION,LOCATED,17:50,-122.415365983776,37.7588222046704,2009-04-26 17:50:00,23,060750228013005
111000,OTHER OFFENSES,04/23/2009,Thursday,INDECENT EXPOSURE,90427618,700 Block of VELASCO AV,INGLESIDE,"ARREST, BOOKED",09:10,-122.41850062736799,37.7097453646075,2009-04-23 09:10:00,24,060750605023000
56591,DRUG/NARCOTIC,08/29/2009,Saturday,POSSESSION OF CONTROLLED SUBSTANCE FOR SALE,90887131,0 Block of 7TH ST,SOUTHERN,"ARREST, BOOKED",10:00,-122.41097873412201,37.7793993516844,2009-08-29 10:00:00,25,060750176012002
81179,ASSAULT,10/31/2009,Saturday,BATTERY,91123647,KANSAS ST / 25TH ST,BAYVIEW,NONE,21:34,-122.402315844375,37.7519622803065,2009-10-31 21:34:00,26,060750614001011
653,BURGLARY,01/02/2009,Friday,"BURGLARY, UNLAWFUL ENTRY",90014679,0 Block of LUSK AL,SOUTHERN,NONE,13:00,-122.39447548966801,37.778533219684604,2009-01-02 13:00:00,27,060750180001013
75299,ROBBERY,10/15/2009,Thursday,ROBBERY ON THE STREET WITH A GUN,91066279,800 Block of BRYANT ST,SOUTHERN,NONE,21:05,-122.403742962696,37.7752316978114,2009-10-15 21:05:00,28,060750180002006
27601,VEHICLE THEFT,03/15/2009,Sunday,STOLEN AUTOMOBILE,90272786,1000 Block of QUESADA AV,BAYVIEW,NONE,14:30,-122.379854346099,37.7266278329957,2009-03-15 14:30:00,29,060750232002019
92469,LARCENY/THEFT,12/01/2009,Tuesday,GRAND THEFT PURSESNATCH,91232981,800 Block of PACIFIC AV,CENTRAL,NONE,21:40,-122.409241267126,37.7965650123766,2009-12-01 21:40:00,30,060750113001000
35604,LARCENY/THEFT,07/04/2009,Saturday,GRAND THEFT FROM LOCKED AUTO,90679546,15TH ST / SAN BRUNO AV,MISSION,NONE,23:00,-122.40570961019199,37.7671995252945,2009-07-04 23:00:00,31,060750177001027
