,Category,Date,DayOfWeek,Descript,IncidntNum,Location,PdDistrict,Resolution,Time,X,Y,datetime,i,block_fips
71556,NON-CRIMINAL,08/25/2012,Saturday,"AIDED CASE, SICK PERSON",120678240,400 Block of CASTRO ST,MISSION,NONE,17:20,-122.43520867484101,37.7624644369321,2012-08-25 17:20:00,0,060750205001009
86673,OTHER OFFENSES,10/13/2012,Saturday,CONSPIRACY,120824374,1200 Block of WASHINGTON ST,CENTRAL,"ARREST, BOOKED",21:50,-122.41374537661999,37.7941916146491,2012-10-13 21:50:00,1,060750112001004
12619,DRUG/NARCOTIC,01/18/2012,Wednesday,POSSESSION OF MARIJUANA,120122526,300 Block of LAGUNAHONDA BL,PARK,NONE,15:00,-122.45872776248001,37.7476529854373,2012-01-18 15:00:00,2,060750304001013
2296,LARCENY/THEFT,01/08/2012,Sunday,GRAND THEFT FROM LOCKED AUTO,120021116,600 Block of FOLSOM ST,SOUTHERN,NONE,16:30,-122.396933251199,37.7854118531786,2012-01-08 16:30:00,3,060750615002011
82301,LARCENY/THEFT,08/10/2012,Friday,GRAND THEFT FROM LOCKED AUTO,126138622,SANCHEZ ST / 17TH ST,MISSION,NONE,09:00,-122.430726266807,37.7627516837424,2012-08-10 09:00:00,4,060750206001001
122439,WARRANTS,12/19/2012,Wednesday,WARRANT ARREST,121020187,MARKET ST / JONES ST,SOUTHERN,"ARREST, BOOKED",07:26,-122.411979487494,37.7809039696758,2012-12-19 07:26:00,5,060750176012000
122212,MISSING PERSON,05/08/2012,Tuesday,FOUND PERSON,120366906,SILVER AV / BAY SHORE BL,BAYVIEW,UNFOUNDED,08:00,-122.404658361435,37.732948704319206,2012-05-08 08:00:00,6,060750257022007
96655,LARCENY/THEFT,11/11/2012,Sunday,GRAND THEFT FROM LOCKED AUTO,126178753,300 Block of BRANNAN ST,SOUTHERN,NONE,14:00,-122.39353807969401,37.780647776270705,2012-11-11 14:00:00,7,060750615005010
62262,ROBBERY,07/25/2012,Wednesday,"ROBBERY ON THE STREET, STRONGARM",120585758,500 Block of GEARY ST,CENTRAL,NONE,01:00,-122.411537983271,37.78697234123,2012-07-25 01:00:00,8,060750123022002
50807,DISORDERLY CONDUCT,06/19/2012,Tuesday,COMMITTING PUBLIC NUISANCE,120480578,500 Block of OFARRELL ST,TENDERLOIN,"ARREST, CITED",07:10,-122.41326255653,37.785785915339204,2012-06-19 07:10:00,9,060750123021001
97267,BURGLARY,11/10/2012,Saturday,"BURGLARY, UNLAWFUL ENTRY",120915757,800 Block of SANSOME ST,CENTRAL,NONE,21:00,-122.402226133111,37.798191101323106,2012-11-10 21:00:00,10,060750106002008
109362,LARCENY/THEFT,12/09/2012,Sunday,PETTY THEFT OF PROPERTY,126199317,HARRISON ST / 11TH ST,SOUTHERN,NONE,00:30,-122.41248326348,37.7706305910776,2012-12-09 00:30:00,11,060750177002046
110425,NON-CRIMINAL,12/18/2012,Tuesday,TARASOFF REPORT,121019572,3800 Block of 3RD ST,BAYVIEW,NONE,17:30,-122.38789084209,37.7426821558404,2012-12-18 17:30:00,12,060750612001000
55777,LARCENY/THEFT,07/02/2012,Monday,GRAND THEFT FROM A BUILDING,120520845,2900 Block of GEARY BL,RICHMOND,NONE,09:30,-122.45038608190501,37.7820428952866,2012-07-02 09:30:00,13,060750157003005
39675,LARCENY/THEFT,05/11/2012,Friday,GRAND THEFT FROM A BUILDING,120373757,3300 Block of 26TH ST,MISSION,NONE,01:00,-122.426928615285,37.7646457772303,2012-05-11 01:00:00,14,060750203001010
84385,VANDALISM,07/24/2012,Tuesday,"MALICIOUS MISCHIEF, VANDALISM",120585300,1400 Block of HAIGHT ST,PARK,"ARREST, BOOKED",21:39,-122.44586713849199,37.7701080368703,2012-07-24 21:39:00,15,060750166002002
68432,MISSING PERSON,08/13/2012,Monday,MISSING JUVENILE,120641918,900 Block of POTRERO AV,MISSION,NONE,11:28,-122.40666265748501,37.7568815847062,2012-08-13 11:28:00,16,060750228022000
39384,LARCENY/THEFT,05/03/2012,Thursday,GRAND THEFT FROM LOCKED AUTO,126060360,1100 Block of CAPITOL AV,TARAVAL,NONE,15:00,-122.459069256716,37.722971140163295,2012-05-03 15:00:00,17,060750312012011
96719,VEHICLE THEFT,10/29/2012,Monday,STOLEN TRUCK,120875822,2900 Block of MORAGA ST,TARAVAL,NONE,18:00,-122.49379118023,37.7554569150304,2012-10-29 18:00:00,18,060750327006005
86812,LARCENY/THEFT,10/07/2012,Sunday,PETTY THEFT OF PROPERTY,126156919,17TH ST / VALENCIA ST,MISSION,NONE,00:01,-122.421733767763,37.7632996945938,2012-10-07 00:01:00,19,060750202003007
95780,DRUNKENNESS,11/10/2012,Saturday,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,120909590,0 Block of URANUS TR,PARK,"ARREST, BOOKED",02:30,-122.445231759267,37.7617209961738,2012-11-10 02:30:00,20,060750204011000
75460,NON-CRIMINAL,09/06/2012,Thursday,AIDED CASE,120714117,3000 Block of MISSION ST,MISSION,NONE,15:36,-122.418148516903,37.748591046181105,2012-09-06 15:36:00,21,060750209003005
97083,DRUG/NARCOTIC,11/14/2012,Wednesday,POSSESSION OF MARIJUANA,120921312,LARKIN ST / SUTTER ST,NORTHERN,NONE,00:37,-122.418467747931,37.7879652569797,2012-11-14 00:37:00,22,060750120002002
97250,ROBBERY,11/12/2012,Monday,ROBBERY ON THE STREET WITH A GUN,120915218,BUSH ST / JONES ST,CENTRAL,NONE,02:00,-122.413731461593,37.7895283021427,2012-11-12 02:00:00,23,060750121001001
55582,LARCENY/THEFT,06/28/2012,Thursday,GRAND THEFT FROM LOCKED AUTO,126092874,2800 Block of FOLSOM ST,MISSION,NONE,20:00,-122.41392233343299,37.7512782118184,2012-06-28 20:00:00,24,060750229012003
22062,LARCENY/THEFT,02/19/2012,Sunday,GRAND THEFT FROM LOCKED AUTO,126034036,PACIFIC AV / KEARNY ST,CENTRAL,NONE,02:00,-122.405320552012,37.7970893815548,2012-02-19 02:00:00,25,060750611001002
31382,LARCENY/THEFT,02/15/2012,Wednesday,GRAND THEFT FROM LOCKED AUTO,126048526,800 Block of POTRERO AV,MISSION,NONE,11:30,-122.40675767296699,37.7577354500589,2012-02-15 11:30:00,26,060750228022000
25192,OTHER OFFENSES,03/24/2012,Saturday,VIOLATION OF RESTRAINING ORDER,120240281,400 Block of UNION ST,CENTRAL,NONE,20:30,-122.40684802616998,37.8008434641809,2012-03-24 20:30:00,27,060750106001002
108932,SUSPICIOUS OCC,03/23/2012,Friday,SUSPICIOUS OCCURRENCE,120235680,POLK ST / PINE ST,NORTHERN,NONE,09:26,-122.42049728879,37.789618819255,2012-03-23 09:26:00,28,060750111003003
