,Category,Date,DayOfWeek,Descript,IncidntNum,Location,PdDistrict,Resolution,Time,X,Y,datetime,i,block_fips
302,OTHER OFFENSES,01/01/2008,Tuesday,VIOLATION OF PARK CODE,80002101,HYDE ST / BROADWAY ST,CENTRAL,"ARREST, BOOKED",15:39,-122.41849248154,37.7964253273677,2008-01-01 15:39:00,0,060750109002004
63668,LARCENY/THEFT,06/20/2008,Friday,PETTY THEFT OF PROPERTY,86046816,MARKET ST / 4TH ST,SOUTHERN,NONE,18:10,-122.405832474482,37.7857446545609,2008-06-20 18:10:00,1,060750117002028
10042,ASSAULT,01/27/2008,Sunday,THREATS AGAINST LIFE,80094891,1200 Block of 19TH ST,BAYVIEW,"ARREST, BOOKED",20:15,-122.39484858358,37.761505340814296,2008-01-27 20:15:00,2,060750227022003
36979,LARCENY/THEFT,04/07/2008,Monday,PETTY THEFT FROM LOCKED AUTO,80364064,JONES ST / ELLIS ST,TENDERLOIN,NONE,19:35,-122.412784096502,37.784865693952604,2008-04-07 19:35:00,3,060750123012000
10790,OTHER OFFENSES,01/29/2008,Tuesday,RESISTING ARREST,80102513,16TH ST / MISSION ST,MISSION,NONE,19:28,-122.419671780296,37.7650501214668,2008-01-29 19:28:00,4,060750201004002
92464,NON-CRIMINAL,12/03/2008,Wednesday,"AIDED CASE, MENTAL DISTURBED",81290701,3100 Block of 26TH ST,MISSION,NONE,12:11,-122.413221337498,37.7492277827937,2008-12-03 12:11:00,5,060750229012008
111200,LARCENY/THEFT,07/27/2008,Sunday,GRAND THEFT OF PROPERTY,80792051,200 Block of HYDE ST,TENDERLOIN,NONE,12:00,-122.415697438732,37.7828067791936,2008-07-27 12:00:00,6,060750124012001
50558,WARRANTS,05/14/2008,Wednesday,ENROUTE TO OUTSIDE JURISDICTION,80505882,BUSH ST / FRANKLIN ST,NORTHERN,"ARREST, BOOKED",15:43,-122.42359860085399,37.7882799630475,2008-05-14 15:43:00,7,060750151001005
19485,BURGLARY,02/22/2008,Friday,"BURGLARY OF FLAT, FORCIBLE ENTRY",80200797,2700 Block of GEARY BL,RICHMOND,NONE,16:30,-122.448072192488,37.7822562570662,2008-02-22 16:30:00,8,060750157003002
105423,FRAUD,07/09/2008,Wednesday,"TRICK AND DEVICE, ATTEMPTED",80737160,2300 Block of VICENTE ST,TARAVAL,NONE,11:30,-122.491750317822,37.738636537024,2008-07-09 11:30:00,9,060750330006006
20549,MISSING PERSON,02/25/2008,Monday,MISSING ADULT,80214362,23RD ST / MISSION ST,MISSION,LOCATED,13:00,-122.41859672745899,37.75383820485,2008-02-25 13:00:00,10,060750209004000
106775,DRUG/NARCOTIC,07/12/2008,Saturday,POSSESSION OF NARCOTICS PARAPHERNALIA,80730976,200 Block of GOLDEN GATE AV,TENDERLOIN,"ARREST, CITED",18:22,-122.414758974993,37.7817152727277,2008-07-12 18:22:00,11,060750124021000
