,Category,Date,DayOfWeek,Descript,IncidntNum,Location,PdDistrict,Resolution,Time,X,Y,datetime,i,block_fips
115424,NON-CRIMINAL,11/26/2013,Tuesday,"DEATH REPORT, NATURAL CAUSES",131001218,0 Block of POMONA ST,BAYVIEW,NONE,07:20,-122.39318903221701,37.7322395200899,2013-11-26 07:20:00,0,060750230032003
120123,VEHICLE THEFT,12/07/2013,Saturday,STOLEN TRUCK,131031293,1200 Block of DIVISADERO ST,PARK,NONE,06:00,-122.43916063758199,37.7810459660384,2013-12-07 06:00:00,1,060750158012014
100743,LARCENY/THEFT,10/15/2013,Tuesday,PETTY THEFT FROM LOCKED AUTO,130873076,800 Block of BRYANT ST,SOUTHERN,NONE,12:30,-122.403742962696,37.7752316978114,2013-10-15 12:30:00,2,060750180002006
71408,LARCENY/THEFT,08/10/2013,Saturday,GRAND THEFT FROM LOCKED AUTO,136141433,800 Block of ULLOA ST,TARAVAL,NONE,10:00,-122.46515562383101,37.7405695880091,2013-08-10 10:00:00,3,060750308001014
14584,OTHER OFFENSES,02/16/2013,Saturday,TRAFFIC VIOLATION ARREST,130165356,800 Block of GENEVA AV,INGLESIDE,"ARREST, BOOKED",03:40,-122.441273347503,37.7165828621314,2013-02-16 03:40:00,4,060750261002016
46445,DRUG/NARCOTIC,05/28/2013,Tuesday,POSSESSION OF NARCOTICS PARAPHERNALIA,130438482,6TH ST / JESSIE ST,SOUTHERN,"ARREST, CITED",07:56,-122.40924767554701,37.7813987340892,2013-05-28 07:56:00,5,060750176012002
2774,VEHICLE THEFT,01/12/2013,Saturday,STOLEN TRUCK,130033753,EGBERT AV / INGALLS ST,BAYVIEW,UNFOUNDED,16:00,-122.39074578909799,37.7216000154757,2013-01-12 16:00:00,6,060750234001015
120645,OTHER OFFENSES,12/08/2013,Sunday,CONSPIRACY,131035035,1500 Block of UNION ST,NORTHERN,"ARREST, BOOKED",19:41,-122.42488157882,37.798403670893705,2013-12-08 19:41:00,7,060750130001003
120154,VANDALISM,11/30/2013,Saturday,"MALICIOUS MISCHIEF, VANDALISM",131031732,100 Block of APPLETON AV,INGLESIDE,NONE,17:00,-122.421143465623,37.7375814438611,2013-11-30 17:00:00,8,060750254011005
117513,LARCENY/THEFT,11/29/2013,Friday,GRAND THEFT PICKPOCKET,131011499,300 Block of 11TH ST,SOUTHERN,NONE,00:01,-122.413789891285,37.7716265654658,2013-11-29 00:01:00,9,060750177002046
26593,ASSAULT,04/13/2013,Saturday,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,130301168,300 Block of COLUMBUS AV,CENTRAL,NONE,00:50,-122.407069628419,37.798184760469205,2013-04-13 00:50:00,10,060750106003010
126418,ASSAULT,12/23/2013,Monday,BATTERY,131078132,600 Block of JAMESTOWN AV,BAYVIEW,"ARREST, CITED",18:30,-122.38801931528201,37.7135035890214,2013-12-23 18:30:00,11,060750610001002
30843,ROBBERY,04/29/2013,Monday,"ROBBERY ON THE STREET, STRONGARM",130350820,CLEMENTINA ST / 6TH ST,SOUTHERN,NONE,18:50,-122.40616669139601,37.7789434105098,2013-04-29 18:50:00,12,060750178021007
31732,LARCENY/THEFT,01/08/2013,Tuesday,GRAND THEFT FROM UNLOCKED AUTO,136006382,TURK ST / VANNESS AV,NORTHERN,NONE,18:00,-122.420641893733,37.781960822183706,2013-01-08 18:00:00,13,060750160001010
77526,LARCENY/THEFT,08/21/2013,Wednesday,GRAND THEFT FROM LOCKED AUTO,130696561,800 Block of BRYANT ST,SOUTHERN,NONE,17:00,-122.403742962696,37.7752316978114,2013-08-21 17:00:00,14,060750180002006
74413,VANDALISM,08/09/2013,Friday,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",130666611,100 Block of BRITTON ST,INGLESIDE,NONE,23:00,-122.412668815833,37.7122579095369,2013-08-09 23:00:00,15,060750264011010
114406,WARRANTS,11/21/2013,Thursday,WARRANT ARREST,130987633,2600 Block of MISSION ST,MISSION,"ARREST, BOOKED",14:05,-122.418692222258,37.7543978723364,2013-11-21 14:05:00,16,060750209004000
115561,VANDALISM,11/21/2013,Thursday,"MALICIOUS MISCHIEF, VANDALISM",130990727,100 Block of 14TH ST,MISSION,NONE,20:30,-122.415892397437,37.77340999373929,2013-11-21 20:30:00,17,060750176014011
