,Category,Date,DayOfWeek,Descript,IncidntNum,Location,PdDistrict,Resolution,Time,X,Y,datetime,i,block_fips
86972,DRUG/NARCOTIC,11/16/2009,Monday,POSSESSION OF NARCOTICS PARAPHERNALIA,91179189,2000 Block of MISSION ST,MISSION,"ARREST, BOOKED",09:00,-122.41962505312901,37.764125495421204,2009-11-16 09:00:00,0,060750201004002
19644,FRAUD,02/23/2009,Monday,"CREDIT CARD, THEFT BY USE OF",90321797,200 Block of ONEIDA AV,INGLESIDE,NONE,12:30,-122.44283458962,37.7218255198596,2009-02-23 12:30:00,1,060750261004002
20696,DRUG/NARCOTIC,02/25/2009,Wednesday,POSSESSION OF CONTROLLED SUBSTANCE,90206973,MARKET ST / 7THSTNORTH ST,SOUTHERN,"ARREST, CITED",22:32,-122.41251534135598,37.78047774805079,2009-02-25 22:32:00,2,060750176013000
77436,VANDALISM,10/21/2009,Wednesday,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",91089964,200 Block of WEBSTER ST,NORTHERN,NONE,22:30,-122.42880551023899,37.7725339111253,2009-10-21 22:30:00,3,060750168022006
6052,OTHER OFFENSES,01/16/2009,Friday,TRAFFIC VIOLATION,90059255,JONES ST / MCALLISTER ST,SOUTHERN,"ARREST, CITED",23:37,-122.411979487494,37.7809039696758,2009-01-16 23:37:00,4,060750176012000
111230,LARCENY/THEFT,04/23/2009,Thursday,GRAND THEFT FROM LOCKED AUTO,90426626,MCALLISTER ST / HYDE ST,TENDERLOIN,NONE,21:00,-122.41531796699199,37.7807179285998,2009-04-23 21:00:00,5,060750124021002
4749,LARCENY/THEFT,01/13/2009,Tuesday,GRAND THEFT FROM LOCKED AUTO,90045737,KEARNY ST / THE EMBARCADERONORTH ST,CENTRAL,NONE,16:20,-122.407278660793,37.807419014900205,2009-01-13 16:20:00,6,060750101001001
61206,OTHER OFFENSES,09/09/2009,Wednesday,RESISTING ARREST,90930354,100 Block of OFARRELL ST,TENDERLOIN,"ARREST, BOOKED",16:30,-122.407567826112,37.7865024401191,2009-09-09 16:30:00,7,060750117002025
4498,LARCENY/THEFT,01/13/2009,Tuesday,PETTY THEFT AUTO STRIP,96003737,200 Block of 27TH AV,RICHMOND,NONE,00:01,-122.48707022292,37.7845968260203,2009-01-13 00:01:00,8,060750427001002
91768,OTHER OFFENSES,11/29/2009,Sunday,TRAFFIC VIOLATION,91225005,16TH ST / MISSION ST,MISSION,"ARREST, CITED",19:36,-122.419671780296,37.7650501214668,2009-11-29 19:36:00,9,060750201004002
70227,OTHER OFFENSES,10/02/2009,Friday,PAROLE VIOLATION,91016406,500 Block of JESSIE ST,SOUTHERN,"ARREST, BOOKED",09:56,-122.409201159694,37.7812804244911,2009-10-02 09:56:00,10,060750176012002
73750,BURGLARY,10/11/2009,Sunday,"BURGLARY OF FLAT, UNLAWFUL ENTRY",91053997,300 Block of UNION ST,CENTRAL,NONE,15:00,-122.40463692819901,37.801122315894496,2009-10-11 15:00:00,11,060750104003013
89322,NON-CRIMINAL,11/22/2009,Sunday,LOST PROPERTY,91324710,800 Block of BRYANT ST,SOUTHERN,NONE,14:00,-122.403742962696,37.7752316978114,2009-11-22 14:00:00,12,060750180002006
78489,VANDALISM,10/24/2009,Saturday,"MALICIOUS MISCHIEF, GRAFFITI",91099800,0 Block of ALMA ST,PARK,NONE,18:00,-122.448174654154,37.7633244208044,2009-10-24 18:00:00,13,060750171012006
68486,OTHER OFFENSES,09/27/2009,Sunday,LOST/STOLEN LICENSE PLATE,91008908,1000 Block of FLORIDA ST,MISSION,NONE,18:00,-122.41027080583599,37.7552870152536,2009-09-27 18:00:00,14,060750228033002
120105,OTHER OFFENSES,05/18/2009,Monday,"DRIVERS LICENSE, SUSPENDED OR REVOKED",90516926,DIVISADERO ST / ELLIS ST,PARK,"ARREST, CITED",14:04,-122.439115673087,37.7815210740947,2009-05-18 14:04:00,15,060750158012008
23920,DRIVING UNDER THE INFLUENCE,03/06/2009,Friday,DRIVING WHILE UNDER THE INFLUENCE OF ALCOHOL,90237310,TAYLOR ST / MARKET ST,SOUTHERN,"ARREST, BOOKED",00:15,-122.41029351969,37.7822305870036,2009-03-06 00:15:00,16,060750125011004
58231,OTHER OFFENSES,09/02/2009,Wednesday,"DRIVERS LICENSE, SUSPENDED OR REVOKED",90901797,SUTTER ST / LARKIN ST,NORTHERN,"ARREST, CITED",04:05,-122.418467747931,37.7879652569797,2009-09-02 04:05:00,17,060750120002002
