,Category,Date,DayOfWeek,Descript,IncidntNum,Location,PdDistrict,Resolution,Time,X,Y,datetime,i,block_fips
10130,VEHICLE THEFT,01/28/2007,Sunday,STOLEN TRUCK,70103054,600 Block of HAMPSHIRE ST,MISSION,NONE,23:00,-122.408276079615,37.761341162487504,2007-01-28 23:00:00,0,060750228011016
38928,FRAUD,04/17/2007,Tuesday,"CREDIT CARD, THEFT BY USE OF",70412651,200 Block of ARKANSAS ST,BAYVIEW,NONE,12:00,-122.39847534664,37.7630385044022,2007-04-17 12:00:00,1,060750227021005
112237,WARRANTS,11/02/2007,Friday,WARRANT ARREST,71123366,900 Block of SOUTH VAN NESS AV,MISSION,"ARREST, BOOKED",01:33,-122.416798314541,37.7575360303213,2007-11-02 01:33:00,2,060750208004000
60748,NON-CRIMINAL,06/16/2007,Saturday,LOST PROPERTY,76045395,18TH ST / CASTRO ST,MISSION,NONE,23:30,-122.435002864298,37.7608878061194,2007-06-16 23:30:00,3,060750205002000
64401,BURGLARY,06/27/2007,Wednesday,"BURGLARY, UNLAWFUL ENTRY",70647472,0 Block of POWELL ST,TENDERLOIN,"ARREST, BOOKED",11:50,-122.40759165172199,37.784410215319205,2007-06-27 11:50:00,4,060750176011002
62697,OTHER OFFENSES,06/22/2007,Friday,PEDDLING WITHOUT A LICENSE,70630847,HYDE ST / TURK ST,TENDERLOIN,"ARREST, CITED",16:41,-122.415694922134,37.7825851968467,2007-06-22 16:41:00,5,060750124011001
128446,NON-CRIMINAL,12/17/2007,Monday,"AIDED CASE, MENTAL DISTURBED",71289225,MARKET ST / SOUTH VAN NESS AV,SOUTHERN,NONE,14:00,-122.419257894814,37.7751462916539,2007-12-17 14:00:00,6,060750201001000
114727,ROBBERY,11/08/2007,Thursday,"ROBBERY, BODILY FORCE",71148916,DIVISADERO ST / EDDY ST,PARK,NONE,20:40,-122.43892863119899,37.780587449040105,2007-11-08 20:40:00,7,060750158012017
57921,LARCENY/THEFT,06/09/2007,Saturday,GRAND THEFT OF PROPERTY,76039495,MARKET ST / 5TH ST,SOUTHERN,NONE,14:30,-122.408068345148,37.7839916768161,2007-06-09 14:30:00,8,060750125012005
51634,LARCENY/THEFT,05/22/2007,Tuesday,PETTY THEFT OF PROPERTY,70520505,FOLSOM ST / 5TH ST,SOUTHERN,NONE,14:17,-122.40339036479601,37.7802655777189,2007-05-22 14:17:00,9,060750178021002
118441,VANDALISM,11/19/2007,Monday,"MALICIOUS MISCHIEF, VANDALISM",71188865,1400 Block of 7TH AV,PARK,NONE,19:05,-122.464027996548,37.7614621252656,2007-11-19 19:05:00,10,060750302023000
117128,DRUG/NARCOTIC,11/15/2007,Thursday,POSSESSION OF BASE/ROCK COCAINE FOR SALE,71173872,FULTON ST / HYDE ST,TENDERLOIN,"ARREST, BOOKED",20:30,-122.415127837608,37.7797870676495,2007-11-15 20:30:00,11,060750124021005
