,Category,Date,DayOfWeek,Descript,IncidntNum,Location,PdDistrict,Resolution,Time,X,Y,datetime,i,block_fips
116043,VANDALISM,09/12/2008,Friday,"MALICIOUS MISCHIEF, VANDALISM",80966886,200 Block of DOLORES ST,MISSION,"ARREST, BOOKED",06:00,-122.426363147608,37.765863343728,2008-09-12 06:00:00,0,060750202003003
119957,LARCENY/THEFT,09/22/2008,Monday,GRAND THEFT OF PROPERTY,86065850,100 Block of PENNSYLVANIA AV,BAYVIEW,NONE,14:45,-122.39379722722799,37.7642680042594,2008-09-22 14:45:00,1,060750227021000
74587,OTHER OFFENSES,10/18/2008,Saturday,MISCELLANEOUS INVESTIGATION,81114634,UNDERWOOD AV / KEITH ST,BAYVIEW,NONE,14:50,-122.389982996986,37.7287295296745,2008-10-18 14:50:00,2,060750232001004
78164,LARCENY/THEFT,10/27/2008,Monday,GRAND THEFT FROM A BUILDING,81157305,200 Block of JOHNFKENNEDY DR,PARK,NONE,18:00,-122.46057388780399,37.771495642118296,2008-10-27 18:00:00,3,060759803001041
79837,VEHICLE THEFT,10/31/2008,Friday,ATTEMPTED STOLEN VEHICLE,81168164,500 Block of POST ST,CENTRAL,"ARREST, BOOKED",21:30,-122.41118321954599,37.7879045130404,2008-10-31 21:30:00,4,060750123022001
74806,STOLEN PROPERTY,10/19/2008,Sunday,RECEIVING STOLEN PROPERTY,81116464,FILLMORE ST / GOLDEN GATE AV,NORTHERN,"ARREST, BOOKED",01:03,-122.431952436364,37.7795647498662,2008-10-19 01:03:00,5,060750161003003
79764,LARCENY/THEFT,10/31/2008,Friday,GRAND THEFT FROM LOCKED AUTO,86083040,1400 Block of 38TH AV,TARAVAL,NONE,17:30,-122.48654265826099,37.76046937850371,2008-10-31 17:30:00,6,060750326021006
106577,PROSTITUTION,07/12/2008,Saturday,SOLICITS FOR ACT OF PROSTITUTION,80728692,200 Block of CAPP ST,MISSION,"ARREST, CITED",06:25,-122.41854352512199,37.7628861107991,2008-07-12 06:25:00,7,060750208001001
75813,LARCENY/THEFT,10/21/2008,Tuesday,PETTY THEFT WITH PRIOR,81127568,0 Block of OFARRELL ST,TENDERLOIN,"ARREST, BOOKED",20:50,-122.40579537967501,37.786724633169605,2008-10-21 20:50:00,8,060750117002024
26800,WARRANTS,03/11/2008,Tuesday,WARRANT ARREST,80261761,LINCOLN WY / 25TH AV,TARAVAL,"ARREST, BOOKED",16:49,-122.483685636264,37.7651576309345,2008-03-11 16:49:00,9,060750326011013
11160,ASSAULT,01/30/2008,Wednesday,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,80106292,200 Block of EDDY ST,TENDERLOIN,NONE,19:25,-122.41123287558901,37.784070889443704,2008-01-30 19:25:00,10,060750125022000
42969,BURGLARY,04/23/2008,Wednesday,"BURGLARY, UNLAWFUL ENTRY",80430223,3300 Block of BRODERICK ST,NORTHERN,NONE,22:30,-122.444723192901,37.8009906971799,2008-04-23 22:30:00,11,060750127002004
29937,MISSING PERSON,03/19/2008,Wednesday,MISSING JUVENILE,80294198,0 Block of MOSS ST,SOUTHERN,LOCATED,15:00,-122.40786753706101,37.7776864127303,2008-03-19 15:00:00,12,060750178021009
16769,OTHER OFFENSES,02/15/2008,Friday,TRAFFIC VIOLATION,80162329,BAY SHORE BL / PAUL AV,BAYVIEW,"ARREST, CITED",09:45,-122.40078457425699,37.723616775737,2008-02-15 09:45:00,13,060750233001003
84437,LARCENY/THEFT,11/12/2008,Wednesday,GRAND THEFT SHOPLIFTING,81212197,300 Block of POWELL ST,CENTRAL,NONE,17:32,-122.40833353293999,37.7876829824756,2008-11-12 17:32:00,14,060750123022000
50825,LARCENY/THEFT,05/15/2008,Thursday,GRAND THEFT FROM LOCKED AUTO,80516657,500 Block of JOHNMUIR DR,TARAVAL,NONE,09:30,-122.49130659767,37.713672144149605,2008-05-15 09:30:00,15,060750604001000
82599,LARCENY/THEFT,11/08/2008,Saturday,GRAND THEFT FROM LOCKED AUTO,81195270,800 Block of BRYANT ST,SOUTHERN,NONE,03:00,-122.403742962696,37.7752316978114,2008-11-08 03:00:00,16,060750180002006
34687,ASSAULT,04/01/2008,Tuesday,BATTERY,80341250,400 Block of EDDY ST,TENDERLOIN,UNFOUNDED,13:30,-122.414924122172,37.7836716699462,2008-04-01 13:30:00,17,060750124012000
1486,STOLEN PROPERTY,01/04/2008,Friday,RECEIVING STOLEN PROPERTY,80013675,0 Block of 7TH ST,SOUTHERN,"ARREST, BOOKED",19:48,-122.41197449517401,37.779990125194004,2008-01-04 19:48:00,18,060750176013001
30748,OTHER OFFENSES,03/21/2008,Friday,RESISTING ARREST,80301420,300 Block of EDDY ST,TENDERLOIN,"ARREST, CITED",20:31,-122.413062976956,37.7837621089254,2008-03-21 20:31:00,19,060750125022001
5280,ASSAULT,01/14/2008,Monday,THREATS AGAINST LIFE,80049670,100 Block of TAYLOR ST,TENDERLOIN,DISTRICT ATTORNEY REFUSES TO PROSECUTE,21:00,-122.410831672684,37.7833146741427,2008-01-14 21:00:00,20,060750125022000
52406,LARCENY/THEFT,05/19/2008,Monday,PETTY THEFT OF PROPERTY,80528630,1800 Block of PINE ST,NORTHERN,NONE,17:00,-122.425507021318,37.788950124784606,2008-05-19 17:00:00,21,060750152001003
33200,ASSAULT,03/28/2008,Friday,BATTERY,80325812,1700 Block of MISSION ST,MISSION,"ARREST, BOOKED",12:15,-122.42005938377,37.76878134540971,2008-03-28 12:15:00,22,060750201002000
134619,LARCENY/THEFT,08/09/2008,Saturday,GRAND THEFT OF PROPERTY,80904422,TOWNSEND ST / 2ND ST,SOUTHERN,NONE,18:00,-122.390531404145,37.780607079847705,2008-08-09 18:00:00,23,060750615005011
