,Category,Date,DayOfWeek,Descript,IncidntNum,Location,PdDistrict,Resolution,Time,X,Y,datetime,i,block_fips
5220,ASSAULT,01/14/2009,Wednesday,AGGRAVATED ASSAULT WITH A KNIFE,90050526,800 Block of MISSION ST,SOUTHERN,NONE,20:30,-122.40453893466001,37.7843135298216,2009-01-14 20:30:00,0,060750176011003
91571,OTHER OFFENSES,11/29/2009,Sunday,PAROLE VIOLATION,91223065,POST ST / LARKIN ST,NORTHERN,"ARREST, BOOKED",04:05,-122.41827417166,37.7870372043685,2009-11-29 04:05:00,1,060750122021000
118431,OTHER OFFENSES,05/14/2009,Thursday,"DRIVERS LICENSE, SUSPENDED OR REVOKED",90499946,17TH ST / POTRERO AV,MISSION,"ARREST, CITED",00:35,-122.407422042194,37.764488093199894,2009-05-14 00:35:00,2,060750177001050
91325,VANDALISM,11/28/2009,Saturday,"MALICIOUS MISCHIEF, BREAKING WINDOWS",91221172,100 Block of DAKOTA ST,BAYVIEW,NONE,15:00,-122.395084844547,37.7529928881016,2009-11-28 15:00:00,3,060750614001000
72208,NON-CRIMINAL,10/07/2009,Wednesday,FOUND PROPERTY,91036125,300 Block of EDDY ST,TENDERLOIN,NONE,13:35,-122.412601261914,37.783897637403996,2009-10-07 13:35:00,4,060750125022001
41072,OTHER OFFENSES,07/20/2009,Monday,"DRIVERS LICENSE, SUSPENDED OR REVOKED",90737536,900 Block of MCALLISTER ST,NORTHERN,"ARREST, CITED",12:15,-122.42750540303301,37.7792061753433,2009-07-20 12:15:00,5,060750161003007
33098,MISSING PERSON,03/29/2009,Sunday,MISSING JUVENILE,90331304,100 Block of COLLEGE AV,INGLESIDE,NONE,11:00,-122.42600913126999,37.735327686202204,2009-03-29 11:00:00,6,060750254031012
53146,NON-CRIMINAL,08/21/2009,Friday,LOST PROPERTY,90857413,200 Block of CUMBERLAND ST,MISSION,NONE,08:00,-122.42893135088,37.7588758344296,2009-08-21 08:00:00,7,060750206001008
137000,RECOVERED VEHICLE,03/24/2009,Tuesday,RECOVERED VEHICLE - STOLEN OUTSIDE SF,90308256,800 Block of WISCONSIN ST,BAYVIEW,NONE,10:53,-122.398760368478,37.7568589462451,2009-03-24 10:53:00,8,060750614003000
100970,OTHER OFFENSES,12/27/2009,Sunday,PAROLE VIOLATION,91316137,1100 Block of MARKET ST,SOUTHERN,"ARREST, BOOKED",22:22,-122.41257414501301,37.780384546750895,2009-12-27 22:22:00,9,060750176013000
8915,BURGLARY,01/24/2009,Saturday,"BURGLARY OF RESIDENCE, FORCIBLE ENTRY",90090005,900 Block of KANSAS ST,BAYVIEW,NONE,20:00,-122.402895030863,37.7584481557465,2009-01-24 20:00:00,10,060750227042012
51680,LARCENY/THEFT,08/17/2009,Monday,GRAND THEFT FROM LOCKED AUTO,96071160,2400 Block of GEARY BL,PARK,NONE,15:00,-122.44320492970101,37.7827983559095,2009-08-17 15:00:00,11,060750157001000
52654,WEAPON LAWS,08/19/2009,Wednesday,POSS OF LOADED FIREARM,90850495,1000 Block of GRIFFITH ST,BAYVIEW,"ARREST, BOOKED",21:55,-122.379003605125,37.728616746423896,2009-08-19 21:55:00,12,060750231032017
103415,OTHER OFFENSES,04/03/2009,Friday,TRAFFIC VIOLATION,90349335,TAYLOR ST / TURK ST,TENDERLOIN,"ARREST, CITED",16:20,-122.410768766343,37.7832145190013,2009-04-03 16:20:00,13,060750125022000
89785,VEHICLE THEFT,11/23/2009,Monday,STOLEN AUTOMOBILE,91213226,100 Block of BRYANT ST,SOUTHERN,NONE,21:00,-122.38931765093399,37.786633068827,2009-11-23 21:00:00,14,060750615004003
73911,DRIVING UNDER THE INFLUENCE,10/11/2009,Sunday,DRIVING WHILE UNDER THE INFLUENCE OF ALCOHOL,91052002,EVANS AV / 3RD ST,BAYVIEW,"ARREST, BOOKED",22:11,-122.38792738760901,37.7427030847405,2009-10-11 22:11:00,15,060759809001129
32924,LARCENY/THEFT,03/29/2009,Sunday,GRAND THEFT FROM LOCKED AUTO,96022856,LOMBARD ST / STEINER ST,NORTHERN,NONE,00:01,-122.43769852946899,37.799632837072394,2009-03-29 00:01:00,16,060750128001013
57,ASSAULT,01/01/2009,Thursday,CHILD ABUSE (PHYSICAL),90000117,1000 Block of PAGE ST,PARK,"ARREST, BOOKED",00:01,-122.437464457188,37.7722086914991,2009-01-01 00:01:00,17,060750167004002
20464,LARCENY/THEFT,02/25/2009,Wednesday,PETTY THEFT SHOPLIFTING,90204723,0 Block of MARINA BL,NORTHERN,"ARREST, BOOKED",12:43,-122.432330106429,37.8051543957453,2009-02-25 12:43:00,18,060750126022007
48070,VANDALISM,08/08/2009,Saturday,"MALICIOUS MISCHIEF, BREAKING WINDOWS WITH BB GUN",90810546,600 Block of 42ND AV,RICHMOND,NONE,08:30,-122.502609284414,37.7765318290942,2009-08-08 08:30:00,19,060750479013000
122308,OTHER OFFENSES,05/25/2009,Monday,MISCELLANEOUS STATE MISDEMEANOR,90542313,1600 Block of HAIGHT ST,PARK,"ARREST, BOOKED",22:53,-122.449637452771,37.76977446736979,2009-05-25 22:53:00,20,060750166004003
14508,LARCENY/THEFT,02/09/2009,Monday,PETTY THEFT FROM LOCKED AUTO,90145434,4TH ST / TOWNSEND ST,SOUTHERN,NONE,13:45,-122.394985875925,37.77709095340229,2009-02-09 13:45:00,21,060750180001033
44646,OTHER OFFENSES,07/30/2009,Thursday,HARASSING PHONE CALLS,90776471,500 Block of BUSH ST,CENTRAL,NONE,11:14,-122.40598800798,37.7905465610885,2009-07-30 11:14:00,22,060750117001021
25874,BURGLARY,03/11/2009,Wednesday,"BURGLARY OF RESIDENCE, FORCIBLE ENTRY",90257299,0 Block of HARBOR RD,BAYVIEW,NONE,08:00,-122.377295683992,37.7315177117555,2009-03-11 08:00:00,23,060750231032006
23597,ROBBERY,03/05/2009,Thursday,ROBBERY OF A BANK WITH A GUN,90234106,1900 Block of IRVING ST,TARAVAL,NONE,09:39,-122.47867380405899,37.7634587076524,2009-03-05 09:39:00,24,060750326012001
2273,LARCENY/THEFT,01/06/2009,Tuesday,GRAND THEFT FROM LOCKED AUTO,90021812,1500 Block of BAY SHORE BL,BAYVIEW,NONE,21:15,-122.400908959222,37.7240282447362,2009-01-06 21:15:00,25,060750233001003
102023,LARCENY/THEFT,12/31/2009,Thursday,GRAND THEFT FROM LOCKED AUTO,106000405,2500 Block of PINE ST,RICHMOND,NONE,06:30,-122.43852194151,37.7872971621036,2009-12-31 06:30:00,26,060750153001005
107971,OTHER OFFENSES,04/15/2009,Wednesday,PROBATION VIOLATION,90393542,600 Block of ELLIS ST,TENDERLOIN,"ARREST, BOOKED",14:05,-122.41732370800399,37.7842528136323,2009-04-15 14:05:00,27,060750124011000
122947,OTHER OFFENSES,05/28/2009,Thursday,PAROLE VIOLATION,90552516,700 Block of MARKET ST,SOUTHERN,"ARREST, BOOKED",20:00,-122.40578398369,37.7857357699915,2009-05-28 20:00:00,28,060750615001032
122553,LARCENY/THEFT,05/26/2009,Tuesday,GRAND THEFT FROM UNLOCKED AUTO,90547733,600 Block of CONNECTICUT ST,BAYVIEW,NONE,22:00,-122.396943150714,37.758205295021,2009-05-26 22:00:00,29,060750614002004
11512,LARCENY/THEFT,02/01/2009,Sunday,GRAND THEFT FROM PERSON,91188168,800 Block of BRYANT ST,SOUTHERN,NONE,00:01,-122.403742962696,37.7752316978114,2009-02-01 00:01:00,30,060750180002006
28925,LARCENY/THEFT,03/18/2009,Wednesday,PETTY THEFT FROM A BUILDING,90288664,0 Block of MCALLISTER ST,TENDERLOIN,NONE,20:30,-122.413031030236,37.7810191245749,2009-03-18 20:30:00,31,060750125011003
34536,DRIVING UNDER THE INFLUENCE,07/02/2009,Thursday,DRIVING WHILE UNDER THE INFLUENCE OF ALCOHOL,90671990,VANNESS AV / MYRTLE ST,NORTHERN,"ARREST, BOOKED",00:49,-122.42129040112101,37.785221828821,2009-07-02 00:49:00,32,060750122021006
84296,FRAUD,11/08/2009,Sunday,DEFRAUDING AN INNKEEPER,91153064,1600 Block of THE EMBARCADERONORTH ST,CENTRAL,"ARREST, BOOKED",20:07,-122.404864532748,37.806416458209,2009-11-08 20:07:00,33,060750101001001
49450,WARRANTS,08/11/2009,Tuesday,WARRANT ARREST,90819407,HYDE ST / TURK ST,TENDERLOIN,"ARREST, BOOKED",22:22,-122.415694922134,37.7825851968467,2009-08-11 22:22:00,34,060750124011001
101142,NON-CRIMINAL,12/28/2009,Monday,LOST PROPERTY,96136128,200 Block of DUBOCE AV,MISSION,NONE,14:30,-122.42461198602699,37.769764602454295,2009-12-28 14:30:00,35,060750202001012
11807,WEAPON LAWS,02/01/2009,Sunday,CARRYING A CONCEALED WEAPON,90117182,200 Block of EDDY ST,TENDERLOIN,"ARREST, BOOKED",19:39,-122.41147394904101,37.7841081848631,2009-02-01 19:39:00,36,060750125021000
16940,BURGLARY,02/16/2009,Monday,"BURGLARY OF RESIDENCE, UNLAWFUL ENTRY",90186723,1600 Block of PINE ST,NORTHERN,NONE,10:00,-122.423134498646,37.789251021880105,2009-02-16 10:00:00,37,060750151001003
111764,WEAPON LAWS,04/25/2009,Saturday,EXHIBITING DEADLY WEAPON IN A THREATING MANNER,90431158,2200 Block of BAY SHORE BL,INGLESIDE,NONE,02:10,-122.402494800866,37.7122029450566,2009-04-25 02:10:00,38,060750264032006
132183,LARCENY/THEFT,06/25/2009,Thursday,GRAND THEFT FROM PERSON,90649696,2500 Block of MISSION ST,MISSION,NONE,17:30,-122.418925524358,37.7568203313758,2009-06-25 17:30:00,39,060750208004003
75905,LARCENY/THEFT,10/17/2009,Saturday,GRAND THEFT FROM PERSON,91072260,MARKET ST / POWELL ST,SOUTHERN,NONE,12:30,-122.40754585593099,37.784401179486,2009-10-17 12:30:00,40,060750176011002
22027,WEAPON LAWS,03/01/2009,Sunday,CARRYING A CONCEALED WEAPON,90219330,CALIFORNIA ST / 14TH AV,RICHMOND,"ARREST, BOOKED",05:29,-122.473121003455,37.7844207549235,2009-03-01 05:29:00,41,060750426022001
49784,SUSPICIOUS OCC,08/12/2009,Wednesday,"SUSPICIOUS OCCURRENCE, POSSIBLE SHOTS FIRED",90822892,1700 Block of QUESADA AV,BAYVIEW,NONE,18:50,-122.392331673075,37.7338825673264,2009-08-12 18:50:00,42,060750612002016
99404,LARCENY/THEFT,12/22/2009,Tuesday,GRAND THEFT OF PROPERTY,91302352,300 Block of VALENCIA ST,MISSION,"ARREST, BOOKED",20:02,-122.421927567613,37.7667488471024,2009-12-22 20:02:00,43,060750201002004
68841,LARCENY/THEFT,09/28/2009,Monday,PETTY THEFT OF PROPERTY,96092053,1800 Block of PINE ST,NORTHERN,NONE,18:45,-122.426752273254,37.7888598355741,2009-09-28 18:45:00,44,060750152001000
84837,ASSAULT,11/10/2009,Tuesday,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,91159062,300 Block of 4TH ST,SOUTHERN,"ARREST, BOOKED",13:13,-122.39959571730301,37.780820698761296,2009-11-10 13:13:00,45,060750178012005
128264,BURGLARY,06/12/2009,Friday,"BURGLARY OF RESIDENCE, FORCIBLE ENTRY",90606282,1200 Block of INGALLS ST,BAYVIEW,NONE,22:00,-122.37977899224701,37.7308012832096,2009-06-12 22:00:00,46,060750231021005
42989,MISSING PERSON,07/25/2009,Saturday,MISSING ADULT,90757534,1800 Block of GRANT AV,CENTRAL,LOCATED,19:30,-122.408370382567,37.8038357416422,2009-07-25 19:30:00,47,060750104002000
123108,DRUG/NARCOTIC,05/29/2009,Friday,POSSESSION OF METH-AMPHETAMINE FOR SALE,90555576,6TH ST / MISSION ST,SOUTHERN,"ARREST, BOOKED",18:10,-122.40871060666299,37.78097067220529,2009-05-29 18:10:00,48,060750176012002
66194,DRUG/NARCOTIC,09/22/2009,Tuesday,POSSESSION OF MARIJUANA,90977475,JULES AV / HOLLOWAY AV,TARAVAL,"ARREST, CITED",00:34,-122.46124036035101,37.7218319130591,2009-09-22 00:34:00,49,060750312013004
58326,DRUG/NARCOTIC,09/02/2009,Wednesday,SALE OF MARIJUANA,90902591,MARKET ST / MCALLISTER ST,SOUTHERN,"ARREST, BOOKED",10:50,-122.411979487494,37.7809039696758,2009-09-02 10:50:00,50,060750176012000
65521,WARRANTS,09/20/2009,Sunday,WARRANT ARREST,90970918,16TH ST / MISSION ST,MISSION,"ARREST, BOOKED",08:18,-122.419671780296,37.7650501214668,2009-09-20 08:18:00,51,060750201004002
82453,DRUG/NARCOTIC,11/03/2009,Tuesday,TRANSPORTATION OF MARIJUANA,91135799,MISSION ST / 3RD ST,SOUTHERN,"ARREST, BOOKED",22:41,-122.40202770694799,37.7862483456629,2009-11-03 22:41:00,52,060750615001032
80389,WARRANTS,10/29/2009,Thursday,ENROUTE TO OUTSIDE JURISDICTION,91116385,GEARY BL / 30TH AV,RICHMOND,"ARREST, BOOKED",19:30,-122.490096386112,37.7798392009729,2009-10-29 19:30:00,53,060750478013001
13137,MISSING PERSON,02/05/2009,Thursday,MISSING JUVENILE,90127733,1000 Block of POTRERO AV,MISSION,LOCATED,11:45,-122.40665662306299,37.7568256145423,2009-02-05 11:45:00,54,060750228022008
