,Category,Date,DayOfWeek,Descript,IncidntNum,Location,PdDistrict,Resolution,Time,X,Y,datetime,i,block_fips
67257,ASSAULT,07/31/2013,Wednesday,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,130632305,1800 Block of MARKET ST,SOUTHERN,NONE,17:50,-122.423654655306,37.771735187196604,2013-07-31 17:50:00,0,060750168023004
14726,SUICIDE,02/26/2013,Tuesday,ATTEMPTED SUICIDE,130167073,900 Block of POTRERO AV,MISSION,NONE,15:00,-122.40666265748501,37.7568815847062,2013-02-26 15:00:00,1,060750228022000
29825,DRUG/NARCOTIC,04/25/2013,Thursday,POSSESSION OF MARIJUANA,130338741,800 Block of MARKET ST,SOUTHERN,"ARREST, BOOKED",13:30,-122.407036790381,37.784753283570005,2013-04-25 13:30:00,2,060750176011000
10262,ASSAULT,02/10/2013,Sunday,BATTERY,130117987,GOLDEN GATE AV / LEAVENWORTH ST,TENDERLOIN,NONE,12:05,-122.413869632554,37.7818621883021,2013-02-10 12:05:00,3,060750124021000
70366,DRUG/NARCOTIC,08/11/2013,Sunday,POSSESSION OF MARIJUANA,130664693,MARKET ST / 7THSTNORTH ST,SOUTHERN,"ARREST, CITED",19:42,-122.41251534135598,37.78047774805079,2013-08-11 19:42:00,4,060750176013000
5951,LARCENY/THEFT,01/25/2013,Friday,PETTY THEFT SHOPLIFTING,130069758,0 Block of OFARRELL ST,TENDERLOIN,"ARREST, CITED",10:05,-122.40579537967501,37.786724633169605,2013-01-25 10:05:00,5,060750117002024
99489,VEHICLE THEFT,10/05/2013,Saturday,STOLEN TRUCK,130844293,LAGUNA ST / FULTON ST,NORTHERN,NONE,15:00,-122.426642472038,37.778327631816296,2013-10-05 15:00:00,6,060750163001000
51454,VEHICLE THEFT,06/21/2013,Friday,STOLEN TRUCK,130508580,0 Block of NAPLES ST,INGLESIDE,NONE,00:33,-122.425300752338,37.7284495816651,2013-06-21 00:33:00,7,060750260021000
124908,LARCENY/THEFT,12/16/2013,Monday,GRAND THEFT FROM UNLOCKED AUTO,136236404,500 Block of DAVIS ST,CENTRAL,NONE,20:05,-122.39836142543999,37.797418387808,2013-12-16 20:05:00,8,060750105002007
122263,LARCENY/THEFT,12/14/2013,Saturday,PETTY THEFT FROM LOCKED AUTO,131049779,900 Block of 14TH ST,PARK,NONE,02:25,-122.434422347255,37.7675095236663,2013-12-14 02:25:00,9,060750169002000
76534,ASSAULT,08/18/2013,Sunday,AGGRAVATED ASSAULT WITH BODILY FORCE,130686910,5THSTNORTH ST / MARKET ST,SOUTHERN,"ARREST, BOOKED",15:15,-122.408068345148,37.7839916768161,2013-08-18 15:15:00,10,060750125012005
51106,ROBBERY,06/04/2013,Tuesday,"ROBBERY ON THE STREET, STRONGARM",130466267,0 Block of MAIN ST,SOUTHERN,NONE,10:45,-122.39625139528401,37.793256306063,2013-06-04 10:45:00,11,060750615001007
63128,LARCENY/THEFT,07/22/2013,Monday,PETTY THEFT OF PROPERTY,136127819,600 Block of SUTTER ST,CENTRAL,NONE,00:01,-122.411629722561,37.7888071868123,2013-07-22 00:01:00,12,060750121002002
118543,LARCENY/THEFT,11/30/2013,Saturday,GRAND THEFT FROM LOCKED AUTO,136226201,100 Block of MOFFITT ST,INGLESIDE,NONE,18:30,-122.434160799335,37.7381695298395,2013-11-30 18:30:00,13,060750217003016
74213,LARCENY/THEFT,05/11/2013,Saturday,PETTY THEFT BICYCLE,130386358,1400 Block of VANNESS AV,NORTHERN,NONE,07:10,-122.42200856639299,37.7885654760402,2013-05-11 07:10:00,14,060750111003004
4870,VEHICLE THEFT,01/18/2013,Friday,STOLEN MISCELLANEOUS VEHICLE,130057474,28TH AV / GEARY BL,RICHMOND,NONE,17:00,-122.487946479231,37.7799441469992,2013-01-18 17:00:00,15,060750477011010
44324,NON-CRIMINAL,05/19/2013,Sunday,FOUND PROPERTY,130412339,100 Block of JOHNFKENNEDY DR,PARK,NONE,13:00,-122.456866495245,37.7710282062059,2013-05-19 13:00:00,16,060759803001043
64773,OTHER OFFENSES,07/24/2013,Wednesday,CONSPIRACY,130609241,1600 Block of GEARY BL,NORTHERN,"ARREST, BOOKED",13:59,-122.429930760258,37.7847607230838,2013-07-24 13:59:00,17,060750159001005
99042,DRUG/NARCOTIC,10/10/2013,Thursday,SALE OF BASE/ROCK COCAINE,130858523,OFARRELL ST / LARKIN ST,NORTHERN,"ARREST, BOOKED",17:38,-122.417903977564,37.785167087551706,2013-10-10 17:38:00,18,060750122021008
27922,BURGLARY,04/18/2013,Thursday,"BURGLARY, HOT PROWL, ATTEMPTED FORCIBLE ENTRY",130316139,300 Block of LAKEVIEW AV,TARAVAL,NONE,10:10,-122.45262786251699,37.71741006976539,2013-04-18 10:10:00,19,060750312022016
125348,KIDNAPPING,12/23/2013,Monday,FALSE IMPRISONMENT,131078778,400 Block of JONES ST,TENDERLOIN,"ARREST, BOOKED",09:00,-122.412942170429,37.785434106406,2013-12-23 09:00:00,20,060750123012000
18519,NON-CRIMINAL,03/13/2013,Wednesday,"AIDED CASE, SICK PERSON",130209073,PAGE ST / MASONIC AV,PARK,NONE,07:10,-122.44553734203998,37.77114175542071,2013-03-13 07:10:00,21,060750166004000
57554,FRAUD,07/02/2013,Tuesday,"CREDIT CARD, THEFT BY USE OF",130542936,300 Block of GOLDEN GATE AV,TENDERLOIN,NONE,10:02,-122.416742326413,37.781608932188796,2013-07-02 10:02:00,22,060750124011002
1934,LARCENY/THEFT,01/09/2013,Wednesday,PETTY THEFT FROM LOCKED AUTO,130023776,3RD ST / BAY SHORE BL,BAYVIEW,NONE,10:30,-122.39860252800301,37.716040223178,2013-01-09 10:30:00,23,060750264022027
1395,VANDALISM,01/04/2013,Friday,"MALICIOUS MISCHIEF, GRAFFITI",130016919,1200 Block of MARKET ST,SOUTHERN,NONE,16:00,-122.41562528193998,37.7780695664767,2013-01-04 16:00:00,24,060750176013009
79385,DRUG/NARCOTIC,01/21/2013,Monday,SALE OF MARIJUANA,130058717,4800 Block of 3RD ST,BAYVIEW,"ARREST, BOOKED",18:40,-122.39083993558799,37.7345159441052,2013-01-21 18:40:00,25,060750612001028
36390,NON-CRIMINAL,04/10/2013,Wednesday,LOST PROPERTY,136064067,0 Block of NEWMONTGOMERY ST,SOUTHERN,NONE,19:00,-122.402091921381,37.788689619496296,2013-04-10 19:00:00,26,060750615001030
32539,LARCENY/THEFT,01/24/2013,Thursday,GRAND THEFT FROM UNLOCKED AUTO,136017646,600 Block of SUTTER ST,CENTRAL,NONE,01:30,-122.41126275412901,37.78899879429029,2013-01-24 01:30:00,27,060750121002001
43360,SUSPICIOUS OCC,05/16/2013,Thursday,SUSPICIOUS OCCURRENCE,130401928,0 Block of PHELAN AV,INGLESIDE,NONE,06:50,-122.45230190572501,37.72429167619661,2013-05-16 06:50:00,28,060750311003013
131094,RECOVERED VEHICLE,06/03/2013,Monday,RECOVERED VEHICLE - STOLEN OUTSIDE SF,130458474,400 Block of STEVENSON ST,SOUTHERN,NONE,19:04,-122.40811669406901,37.7831781770587,2013-06-03 19:04:00,29,060750176015001
120017,NON-CRIMINAL,12/05/2013,Thursday,"DEATH REPORT, NATURAL CAUSES",131025478,0 Block of WHALESHIP PZ,CENTRAL,UNFOUNDED,06:00,-122.39839110055,37.796918762296706,2013-12-05 06:00:00,30,060750105002012
11505,LARCENY/THEFT,02/14/2013,Thursday,PETTY THEFT FROM LOCKED AUTO,130132098,BAY ST / STOCKTON ST,CENTRAL,NONE,15:00,-122.41031378873899,37.8060266607919,2013-02-14 15:00:00,31,060750101002004
35618,LARCENY/THEFT,03/21/2013,Thursday,GRAND THEFT OF PROPERTY,136055486,400 Block of POWELL ST,CENTRAL,NONE,09:00,-122.40846087087499,37.7887732760233,2013-03-21 09:00:00,32,060750117002010
14596,ASSAULT,02/26/2013,Tuesday,AGGRAVATED ASSAULT WITH BODILY FORCE,130165516,100 Block of HYDE ST,TENDERLOIN,"ARREST, BOOKED",07:00,-122.415506317582,37.7818577187715,2013-02-26 07:00:00,33,060750124012002
85798,SUSPICIOUS OCC,09/09/2013,Monday,SUSPICIOUS OCCURRENCE,130754818,1000 Block of POTRERO AV,MISSION,NONE,09:25,-122.406526627749,37.7545864136731,2013-09-09 09:25:00,34,060750228022013
64583,ASSAULT,07/19/2013,Friday,INFLICT INJURY ON COHABITEE,130595844,24TH ST / MISSION ST,MISSION,"ARREST, BOOKED",22:13,-122.418448186101,37.7522391652625,2013-07-19 22:13:00,35,060750209004003
72963,LARCENY/THEFT,08/12/2013,Monday,GRAND THEFT FROM LOCKED AUTO,136144051,500 Block of JOHNFKENNEDY DR,RICHMOND,NONE,14:00,-122.465838183623,37.7724965522266,2013-08-12 14:00:00,36,060759803001041
73894,NON-CRIMINAL,08/11/2013,Sunday,LOST PROPERTY,136146966,800 Block of BRYANT ST,SOUTHERN,NONE,12:15,-122.403742962696,37.7752316978114,2013-08-11 12:15:00,37,060750180002006
44745,LARCENY/THEFT,05/20/2013,Monday,PETTY THEFT FROM LOCKED AUTO,130418876,1300 Block of 10TH AV,TARAVAL,NONE,13:00,-122.46747044881701,37.7632475853971,2013-05-20 13:00:00,38,060750302022003
20229,NON-CRIMINAL,03/19/2013,Tuesday,"DEATH REPORT, CAUSE UNKNOWN",130228738,300 Block of HAIGHT ST,NORTHERN,NONE,17:01,-122.427548747367,37.7725099749025,2013-03-19 17:01:00,39,060750168022006
