,Category,Date,DayOfWeek,Descript,IncidntNum,Location,PdDistrict,Resolution,Time,X,Y,datetime,i,block_fips
125111,FRAUD,06/02/2009,Tuesday,"FORGERY, CREDIT CARD",90568795,500 Block of CASTRO ST,MISSION,NONE,16:46,-122.43495856397699,37.7608662868565,2009-06-02 16:46:00,0,060750206004003
95973,VANDALISM,12/12/2009,Saturday,"MALICIOUS MISCHIEF, VANDALISM",96130540,0 Block of 1ST ST,SOUTHERN,NONE,19:00,-122.398139531405,37.7902565156996,2009-12-12 19:00:00,1,060750615001014
6178,MISSING PERSON,01/17/2009,Saturday,MISSING ADULT,90070370,200 Block of 13TH ST,MISSION,NONE,11:30,-122.416755532165,37.7716975465666,2009-01-17 11:30:00,2,060750177002008
92981,OTHER OFFENSES,12/03/2009,Thursday,"DRIVERS LICENSE, SUSPENDED OR REVOKED",91238042,OAKDALE AV / NEWHALL ST,BAYVIEW,"ARREST, CITED",13:38,-122.392217325531,37.7356625997558,2009-12-03 13:38:00,3,060750612002004
116061,OTHER OFFENSES,05/07/2009,Thursday,TRAFFIC VIOLATION,90476950,JONES ST / GOLDEN GATE AV,TENDERLOIN,"ARREST, CITED",17:25,-122.412224164736,37.7820729312029,2009-05-07 17:25:00,4,060750125011002
109537,ASSAULT,04/19/2009,Sunday,BATTERY,90409268,800 Block of MARKET ST,SOUTHERN,"ARREST, BOOKED",16:02,-122.407036790381,37.784753283570005,2009-04-19 16:02:00,5,060750176011000
20599,LARCENY/THEFT,02/25/2009,Wednesday,PETTY THEFT OF PROPERTY,96013510,600 Block of HOWARD ST,SOUTHERN,NONE,17:30,-122.399582889065,37.7856861801855,2009-02-25 17:30:00,6,060750615002009
25466,OTHER OFFENSES,03/10/2009,Tuesday,TRAFFIC VIOLATION,90251730,MISSION ST / PERSIA AV,INGLESIDE,"ARREST, CITED",01:25,-122.43597721703001,37.7231288306727,2009-03-10 01:25:00,7,060750260012011
15187,WARRANTS,02/11/2009,Wednesday,WARRANT ARREST,90152354,QUESADA AV / LANE ST,BAYVIEW,"ARREST, BOOKED",11:14,-122.38960316995899,37.732290135394294,2009-02-11 11:14:00,8,060750232003002
31898,NON-CRIMINAL,03/26/2009,Thursday,"AIDED CASE, MENTAL DISTURBED",90316259,1100 Block of SUTTER ST,NORTHERN,NONE,09:18,-122.41918683300501,37.7879085648006,2009-03-26 09:18:00,9,060750120001006
51433,ROBBERY,08/16/2009,Sunday,"ROBBERY, ARMED WITH A DANGEROUS WEAPON",90837954,MISSION ST / 2ND ST,SOUTHERN,NONE,21:00,-122.399802145799,37.788006532439205,2009-08-16 21:00:00,10,060750615001038
57975,NON-CRIMINAL,09/01/2009,Tuesday,LOST PROPERTY,90727424,POWELL ST / MARKET ST,SOUTHERN,NONE,12:00,-122.40754585593099,37.784401179486,2009-09-01 12:00:00,11,060750176011002
5039,ASSAULT,01/14/2009,Wednesday,INFLICT INJURY ON COHABITEE,90048349,1700 Block of HARRISON ST,MISSION,"ARREST, BOOKED",11:54,-122.413349606369,37.769219888752204,2009-01-14 11:54:00,12,060750177001031
127748,DRUG/NARCOTIC,06/11/2009,Thursday,POSSESSION OF MARIJUANA,90600698,300 Block of LAGUNAHONDA BL,PARK,NONE,12:50,-122.45872776248001,37.7476529854373,2009-06-11 12:50:00,13,060750304001013
104566,ROBBERY,04/06/2009,Monday,ATTEMPTED ROBBERY WITH BODILY FORCE,90361696,INGERSON AV / INGALLS ST,BAYVIEW,NONE,21:00,-122.39298215525801,37.7191138422137,2009-04-06 21:00:00,14,060750234001029
55986,DRUNKENNESS,08/27/2009,Thursday,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,90928484,700 Block of FONT BL,TARAVAL,NONE,23:30,-122.482972195426,37.722406269921606,2009-08-27 23:30:00,15,060750332043000
55530,LARCENY/THEFT,08/26/2009,Wednesday,GRAND THEFT FROM LOCKED AUTO,90877659,TURK ST / LAGUNA ST,NORTHERN,NONE,19:45,-122.427206305932,37.781117525637605,2009-08-26 19:45:00,16,060750161004006
117074,LARCENY/THEFT,05/09/2009,Saturday,GRAND THEFT OF PROPERTY,96036142,2700 Block of 45TH AV,TARAVAL,NONE,23:35,-122.503112138375,37.7362171701905,2009-05-09 23:35:00,17,060750354005009
47017,ASSAULT,08/05/2009,Wednesday,INFLICT INJURY ON COHABITEE,90796441,1200 Block of MISSION ST,SOUTHERN,NONE,19:02,-122.41455228631,37.7764062210986,2009-08-05 19:02:00,18,060750176013008
86804,NON-CRIMINAL,11/15/2009,Sunday,"AIDED CASE, MENTAL DISTURBED",91177967,800 Block of BRYANT ST,SOUTHERN,PSYCHOPATHIC CASE,19:26,-122.403742962696,37.7752316978114,2009-11-15 19:26:00,19,060750180002006
13249,LARCENY/THEFT,02/05/2009,Thursday,GRAND THEFT FROM UNLOCKED AUTO,90132566,300 Block of SEACLIFF AV,RICHMOND,NONE,16:30,-122.489727328003,37.78815168816671,2009-02-05 16:30:00,20,060750428002001
99745,LARCENY/THEFT,12/23/2009,Wednesday,GRAND THEFT OF PROPERTY,106002893,0 Block of MCLAREN AV,RICHMOND,NONE,17:30,-122.489739118639,37.786402430005495,2009-12-23 17:30:00,21,060750428001005
33584,PROSTITUTION,03/30/2009,Monday,SOLICITS TO VISIT HOUSE OF PROSTITUTION,90332346,LARKIN ST / GEARY ST,CENTRAL,"ARREST, CITED",15:00,-122.418090766692,37.7861007451645,2009-03-30 15:00:00,22,060750122021003
1421,OTHER OFFENSES,01/04/2009,Sunday,PROBATION VIOLATION,90012526,HYDE ST / GOLDEN GATE AV,TENDERLOIN,"ARREST, BOOKED",16:26,-122.415508242782,37.7816542806075,2009-01-04 16:26:00,23,060750124011002
124052,ASSAULT,05/30/2009,Saturday,AGGRAVATED ASSAULT WITH A GUN,90556693,1000 Block of CONNECTICUT ST,BAYVIEW,NONE,00:22,-122.39654146271499,37.7527368902109,2009-05-30 00:22:00,24,060750614001018
66185,FRAUD,09/22/2009,Tuesday,"CREDIT CARD, THEFT BY USE OF",91002411,1400 Block of FULTON ST,PARK,NONE,00:01,-122.440417118431,37.7765369858891,2009-09-22 00:01:00,25,060750164002001
13082,NON-CRIMINAL,02/05/2009,Thursday,AIDED CASE,90130015,100 Block of 10TH AV,RICHMOND,NONE,07:24,-122.46905400212098,37.78563310329611,2009-02-05 07:24:00,26,060750402004005
107252,ASSAULT,04/13/2009,Monday,INFLICT INJURY ON COHABITEE,90386666,3RD ST / MCKINNON AV,BAYVIEW,DISTRICT ATTORNEY REFUSES TO PROSECUTE,16:46,-122.39014671643999,37.7363908050669,2009-04-13 16:46:00,27,060750612002011
10815,SUSPICIOUS OCC,01/30/2009,Friday,SUSPICIOUS OCCURRENCE,90113312,14TH AV / SANTIAGO ST,TARAVAL,NONE,08:55,-122.47036599756201,37.74515794927,2009-01-30 08:55:00,28,060750304005000
89326,OTHER OFFENSES,11/22/2009,Sunday,PROBATION VIOLATION,91202956,300 Block of POST ST,CENTRAL,"ARREST, BOOKED",14:15,-122.408160154493,37.788357957341496,2009-11-22 14:15:00,29,060750117002010
31746,MISSING PERSON,03/25/2009,Wednesday,MISSING JUVENILE,90315596,0 Block of LEDYARD ST,BAYVIEW,NONE,23:44,-122.40285660608801,37.7338947964127,2009-03-25 23:44:00,30,060750230013001
91794,NON-CRIMINAL,11/29/2009,Sunday,FOUND PROPERTY,91229706,0 Block of SGTJOHNVYOUNG LN,INGLESIDE,NONE,21:30,-122.446245077058,37.7249337972772,2009-11-29 21:30:00,31,060750255006025
18950,NON-CRIMINAL,02/21/2009,Saturday,LOST PROPERTY,90189852,900 Block of FILBERT ST,CENTRAL,NONE,12:45,-122.41478307614099,37.800730448695795,2009-02-21 12:45:00,32,060750103002001
128320,NON-CRIMINAL,06/13/2009,Saturday,"AIDED CASE, MENTAL DISTURBED",90606925,500 Block of 5TH ST,SOUTHERN,PSYCHOPATHIC CASE,04:45,-122.399818081175,37.7774605549665,2009-06-13 04:45:00,33,060750180001014
56105,OTHER OFFENSES,08/28/2009,Friday,MISCELLANEOUS INVESTIGATION,80031495,1400 Block of PALOU AV,BAYVIEW,NONE,10:01,-122.387394616488,37.7321230903229,2009-08-28 10:01:00,34,060750231022007
67524,NON-CRIMINAL,09/25/2009,Friday,AIDED CASE,90990784,600 Block of HOLLYPARK CR,INGLESIDE,PSYCHOPATHIC CASE,11:00,-122.421078322372,37.7367092028922,2009-09-25 11:00:00,35,060750254013000
80221,VANDALISM,10/29/2009,Thursday,"MALICIOUS MISCHIEF, VANDALISM",91167849,0 Block of TEDDY AV,INGLESIDE,NONE,12:00,-122.403274040085,37.7133782426503,2009-10-29 12:00:00,36,060750264032000
135178,LARCENY/THEFT,06/25/2009,Thursday,GRAND THEFT OF PROPERTY,96048636,0 Block of MONTGOMERY ST,CENTRAL,NONE,17:00,-122.402114180384,37.7887371684133,2009-06-25 17:00:00,37,060750117002015
127426,NON-CRIMINAL,06/09/2009,Tuesday,AIDED CASE,90593996,0 Block of 6TH ST,SOUTHERN,NONE,16:26,-122.40920803963002,37.7813196885006,2009-06-09 16:26:00,38,060750176012002
85601,DRUG/NARCOTIC,11/12/2009,Thursday,POSSESSION OF MARIJUANA FOR SALES,91166556,500 Block of JOHNFKENNEDY DR,RICHMOND,"ARREST, BOOKED",14:05,-122.465838183623,37.7724965522266,2009-11-12 14:05:00,39,060759803001041
9608,SUSPICIOUS OCC,01/26/2009,Monday,SUSPICIOUS OCCURRENCE,90095469,1100 Block of CAYUGA AV,INGLESIDE,UNFOUNDED,18:40,-122.441534650128,37.719721955139704,2009-01-26 18:40:00,40,060750261001011
131128,ROBBERY,06/22/2009,Monday,"ROBBERY, ARMED WITH A KNIFE",90636950,2200 Block of VANNESS AV,NORTHERN,NONE,05:38,-122.423459023827,37.79574711212361,2009-06-22 05:38:00,41,060750131011000
14980,OTHER OFFENSES,02/10/2009,Tuesday,"DRIVERS LICENSE, SUSPENDED OR REVOKED",90149903,1400 Block of ALEMANY BL,INGLESIDE,"ARREST, CITED",16:45,-122.43425187978399,37.7291830605495,2009-02-10 16:45:00,42,060750255003000
25846,DRUG/NARCOTIC,03/11/2009,Wednesday,POSSESSION OF MARIJUANA,90260264,ALEMANY BL / VICTORIA ST,TARAVAL,"ARREST, CITED",03:39,-122.46526925898998,37.711763046928205,2009-03-11 03:39:00,43,060750313023007
27505,LARCENY/THEFT,03/15/2009,Sunday,GRAND THEFT FROM A BUILDING,90274168,1600 Block of PACIFIC AV,NORTHERN,NONE,07:00,-122.42260396654301,37.7950086954954,2009-03-15 07:00:00,44,060750110001009
91278,ASSAULT,11/28/2009,Saturday,AGGRAVATED ASSAULT WITH A GUN,100113090,1000 Block of POTRERO AV,MISSION,NONE,13:30,-122.40665662306299,37.7568256145423,2009-11-28 13:30:00,45,060750228022008
49453,LARCENY/THEFT,08/11/2009,Tuesday,PETTY THEFT FROM A BUILDING,90833162,2000 Block of GENEVA AV,INGLESIDE,LOCATED,22:45,-122.421496499284,37.7087463278695,2009-08-11 22:45:00,46,060750605023009
115886,LARCENY/THEFT,05/06/2009,Wednesday,GRAND THEFT FROM LOCKED AUTO,96033455,POLK ST / JACKSON ST,NORTHERN,NONE,17:30,-122.421406974022,37.7941418920108,2009-05-06 17:30:00,47,060750110003004
115975,ROBBERY,05/06/2009,Wednesday,"ROBBERY, ARMED WITH A DANGEROUS WEAPON",90475015,0 Block of POWELL ST,TENDERLOIN,NONE,22:47,-122.40759165172199,37.784410215319205,2009-05-06 22:47:00,48,060750176011002
36316,FORGERY/COUNTERFEITING,07/07/2009,Tuesday,"COUNTERFEITING, COINS OR NOTES",90821888,2300 Block of BRYANT ST,MISSION,NONE,00:01,-122.409697492022,37.757292851640294,2009-07-07 00:01:00,49,060750228032002
101267,OTHER OFFENSES,12/28/2009,Monday,CONSPIRACY,91319636,MISSION ST / 16TH ST,MISSION,"ARREST, BOOKED",22:00,-122.419671780296,37.7650501214668,2009-12-28 22:00:00,50,060750201004002
28741,OTHER OFFENSES,03/18/2009,Wednesday,OBSTRUCTIONS ON STREETS/SIDEWALKS,90284571,2200 Block of VALLEJO ST,NORTHERN,NOT PROSECUTED,12:30,-122.435056222711,37.795343980480496,2009-03-18 12:30:00,51,060750130004004
112922,WARRANTS,04/28/2009,Tuesday,WARRANT ARREST,90443200,WILLOW ST / POLK ST,NORTHERN,"ARREST, BOOKED",14:15,-122.41927480144899,37.7835680535207,2009-04-28 14:15:00,52,060750124023001
60477,ASSAULT,09/07/2009,Monday,CHILD ABUSE (PHYSICAL),90921977,1300 Block of NATOMA ST,MISSION,"ARREST, BOOKED",19:30,-122.418482120681,37.768021218157294,2009-09-07 19:30:00,53,060750201003000
55424,LARCENY/THEFT,08/26/2009,Wednesday,GRAND THEFT FROM PERSON,90875750,0 Block of TAYLOR ST,TENDERLOIN,"ARREST, BOOKED",14:41,-122.410459549687,37.782425032403296,2009-08-26 14:41:00,54,060750125011000
106887,DRUG/NARCOTIC,04/12/2009,Sunday,POSSESSION OF BASE/ROCK COCAINE,90383010,100 Block of TAYLOR ST,TENDERLOIN,"ARREST, BOOKED",16:32,-122.410844402959,37.783801908185396,2009-04-12 16:32:00,55,060750125012003
75981,LARCENY/THEFT,10/17/2009,Saturday,GRAND THEFT FROM A BUILDING,91106916,2600 Block of FULTON ST,RICHMOND,NONE,16:00,-122.460051948346,37.7742050675696,2009-10-17 16:00:00,56,060750451001008
108043,OTHER OFFENSES,04/15/2009,Wednesday,"DRIVERS LICENSE, SUSPENDED OR REVOKED",90391251,SHOTWELL ST / 17TH ST,MISSION,"ARREST, CITED",17:30,-122.41623039254299,37.7636337702985,2009-04-15 17:30:00,57,060750228011007
4637,DRUG/NARCOTIC,01/13/2009,Tuesday,POSSESSION OF NARCOTICS PARAPHERNALIA,90043725,400 Block of CLEMENTINA ST,SOUTHERN,"ARREST, BOOKED",11:45,-122.406024529582,37.7792090235943,2009-01-13 11:45:00,58,060750178021001
35066,FRAUD,07/03/2009,Friday,"CREDIT CARD, THEFT BY USE OF",90680048,MARKET ST / 4TH ST,SOUTHERN,NONE,15:00,-122.405832474482,37.7857446545609,2009-07-03 15:00:00,59,060750117002028
136537,DRUG/NARCOTIC,08/25/2009,Tuesday,POSSESSION OF CONTROLLED SUBSTANCE,90873306,5100 Block of 3RD ST,BAYVIEW,NONE,18:14,-122.391764889662,37.73186980119421,2009-08-25 18:14:00,60,060750232003005
19500,FRAUD,02/22/2009,Sunday,"CREDIT CARD, THEFT BY USE OF",90231259,1300 Block of GRANT AV,CENTRAL,NONE,23:55,-122.40732109059601,37.799114620339296,2009-02-22 23:55:00,61,060750106003007
