,Category,Date,DayOfWeek,Descript,IncidntNum,Location,PdDistrict,Resolution,Time,X,Y,datetime,i,block_fips
121937,LARCENY/THEFT,09/27/2008,Saturday,PETTY THEFT FROM LOCKED AUTO,81040459,500 Block of JOHNFKENNEDY DR,RICHMOND,NONE,12:00,-122.465838183623,37.7724965522266,2008-09-27 12:00:00,0,060759803001041
124950,OTHER OFFENSES,07/28/2008,Monday,TRAFFIC VIOLATION,80792829,800 Block of BRYANT ST,SOUTHERN,"ARREST, CITED",13:10,-122.403742962696,37.7752316978114,2008-07-28 13:10:00,1,060750180002006
82706,OTHER OFFENSES,11/08/2008,Saturday,TRAFFIC VIOLATION ARREST,81234646,800 Block of BRYANT ST,SOUTHERN,JUVENILE CITED,13:34,-122.403742962696,37.7752316978114,2008-11-08 13:34:00,2,060750180002006
98861,OTHER OFFENSES,12/21/2008,Sunday,RESISTING ARREST,81356682,800 Block of GENEVA AV,INGLESIDE,"ARREST, BOOKED",00:11,-122.44106332389,37.716453447139294,2008-12-21 00:11:00,3,060750261002016
78998,OTHER OFFENSES,10/29/2008,Wednesday,MISCELLANEOUS INVESTIGATION,81160176,200 Block of ADDISON ST,INGLESIDE,NONE,17:29,-122.433531413932,37.739202277428795,2008-10-29 17:29:00,4,060750217003009
20349,ASSAULT,02/24/2008,Sunday,AGGRAVATED ASSAULT WITH A GUN,80197467,BAY ST / COLUMBUS AV,CENTRAL,"ARREST, BOOKED",21:20,-122.416891536622,37.8052112316081,2008-02-24 21:20:00,5,060750103001002
100499,LARCENY/THEFT,12/26/2008,Friday,PETTY THEFT WITH PRIOR,81373103,800 Block of MARKET ST,SOUTHERN,"ARREST, BOOKED",15:30,-122.40665951743401,37.7850491022697,2008-12-26 15:30:00,6,060750176011000
68621,LARCENY/THEFT,10/04/2008,Saturday,GRAND THEFT FROM LOCKED AUTO,81072678,0 Block of LATONA ST,BAYVIEW,NONE,11:00,-122.392399006282,37.7317093643214,2008-10-04 11:00:00,7,060750230032004
49458,ASSAULT,05/11/2008,Sunday,BATTERY,80492455,3100 Block of IRVING ST,TARAVAL,NONE,03:00,-122.491368670073,37.76296583000371,2008-05-11 03:00:00,8,060750327001008
108657,LARCENY/THEFT,07/18/2008,Friday,PETTY THEFT OF PROPERTY,80758213,300 Block of CLEMENTINA ST,SOUTHERN,NONE,10:40,-122.40244489566601,37.7819129774334,2008-07-18 10:40:00,9,060750178011002
51823,OTHER OFFENSES,05/17/2008,Saturday,TRAFFIC VIOLATION,80518904,GENEVA AV / LONDON ST,INGLESIDE,"ARREST, CITED",23:16,-122.440253342983,37.716040010784894,2008-05-17 23:16:00,10,060750263011007
29526,WARRANTS,03/18/2008,Tuesday,WARRANT ARREST,80288793,800 Block of BRYANT ST,SOUTHERN,"ARREST, CITED",15:00,-122.403675173997,37.7751775060199,2008-03-18 15:00:00,11,060750180002006
10756,PROSTITUTION,01/29/2008,Tuesday,SOLICITS TO VISIT HOUSE OF PROSTITUTION,80100329,18TH ST / FOLSOM ST,MISSION,"ARREST, CITED",18:00,-122.415000536786,37.7620990020681,2008-01-29 18:00:00,12,060750228011006
15510,NON-CRIMINAL,02/11/2008,Monday,"DEATH REPORT, CAUSE UNKNOWN",80151059,1100 Block of CLAY ST,CENTRAL,NONE,19:00,-122.41158835435301,37.7934802124606,2008-02-11 19:00:00,13,060750112002000
133264,ASSAULT,08/23/2008,Saturday,BATTERY,80889614,200 Block of FARALLONES ST,TARAVAL,NONE,13:34,-122.46125197789699,37.713930064142396,2008-08-23 13:34:00,14,060750314004005
98137,BURGLARY,12/19/2008,Friday,"BURGLARY OF APARTMENT HOUSE, FORCIBLE ENTRY",90015194,1400 Block of FILBERT ST,NORTHERN,NONE,10:00,-122.422558317309,37.7997242584106,2008-12-19 10:00:00,15,060750102002009
107115,OTHER OFFENSES,07/13/2008,Sunday,"DRIVERS LICENSE, SUSPENDED OR REVOKED",80734166,1200 Block of GENEVA AV,INGLESIDE,"ARREST, BOOKED",17:07,-122.435308587241,37.7136932403004,2008-07-13 17:07:00,16,060750263021004
115000,ASSAULT,09/09/2008,Tuesday,AGGRAVATED ASSAULT WITH BODILY FORCE,80957039,2200 Block of MISSION ST,MISSION,NONE,18:00,-122.419306735973,37.76082577983821,2008-09-09 18:00:00,17,060750208002002
64500,LARCENY/THEFT,06/23/2008,Monday,GRAND THEFT FROM LOCKED AUTO,80657712,MAIN ST / HOWARD ST,SOUTHERN,NONE,07:00,-122.393413306041,37.790611720409295,2008-06-23 07:00:00,18,060750615001009
36083,NON-CRIMINAL,04/05/2008,Saturday,AIDED CASE,80355621,2400 Block of FOLSOM ST,MISSION,NONE,13:59,-122.414531317707,37.7576106121365,2008-04-05 13:59:00,19,060750228013006
2949,LARCENY/THEFT,01/08/2008,Tuesday,GRAND THEFT FROM LOCKED AUTO,80046739,2600 Block of SLOAT BL,TARAVAL,NONE,19:00,-122.50203693611799,37.7354533223327,2008-01-08 19:00:00,20,060750604001037
25532,SUSPICIOUS OCC,03/08/2008,Saturday,SUSPICIOUS PERSON,80249331,0 Block of LOOMIS ST,BAYVIEW,NONE,16:34,-122.404100406141,37.7429697187045,2008-03-08 16:34:00,21,060759809001061
32109,DRUG/NARCOTIC,03/25/2008,Tuesday,POSSESSION OF BASE/ROCK COCAINE FOR SALE,80314887,5700 Block of MISSION ST,INGLESIDE,"ARREST, BOOKED",16:20,-122.449337277079,37.709972891244504,2008-03-25 16:20:00,22,060750262002008
103865,OTHER OFFENSES,07/04/2008,Friday,TRAFFIC VIOLATION ARREST,80700628,MISSION ST / 4TH ST,SOUTHERN,"ARREST, CITED",21:58,-122.404270179486,37.784478853874504,2008-07-04 21:58:00,23,060750176011003
23455,OTHER OFFENSES,03/03/2008,Monday,PROBATION VIOLATION,80229060,300 Block of TURK ST,TENDERLOIN,"ARREST, BOOKED",14:31,-122.41566368361799,37.7825552534498,2008-03-03 14:31:00,24,060750124012002
44270,NON-CRIMINAL,04/27/2008,Sunday,FOUND PROPERTY,80439582,MARKET ST / 7TH ST,SOUTHERN,NONE,09:45,-122.41251534135598,37.78047774805079,2008-04-27 09:45:00,25,060750176013000
109330,OTHER OFFENSES,07/20/2008,Sunday,PEDDLING WITHOUT A LICENSE,80762054,1800 Block of HAIGHT ST,PARK,"ARREST, CITED",11:48,-122.45335008893299,37.7692204534124,2008-07-20 11:48:00,26,060750166003002
59827,ROBBERY,06/08/2008,Sunday,"ROBBERY ON THE STREET, STRONGARM",80600755,600 Block of CAPP ST,MISSION,NONE,16:15,-122.417722950701,37.755714660543795,2008-06-08 16:15:00,27,060750208004004
488,NON-CRIMINAL,01/01/2008,Tuesday,"AIDED CASE, MENTAL DISTURBED",80003513,1700 Block of GOLDEN GATE AV,PARK,NONE,23:52,-122.439581201553,37.7787034442251,2008-01-01 23:52:00,28,060750158021003
21908,PROSTITUTION,02/28/2008,Thursday,SOLICITS TO VISIT HOUSE OF PROSTITUTION,80212877,ELLIS ST / HYDE ST,TENDERLOIN,"ARREST, CITED",18:45,-122.41607528505101,37.784449661279105,2008-02-28 18:45:00,29,060750122012001
9446,ROBBERY,01/25/2008,Friday,ATTEMPTED ROBBERY WITH BODILY FORCE,80089325,700 Block of POLK ST,NORTHERN,"ARREST, BOOKED",22:40,-122.419168221256,37.7832418849506,2008-01-25 22:40:00,30,060750124023004
119227,NON-CRIMINAL,09/20/2008,Saturday,LOST PROPERTY,81014404,800 Block of BRYANT ST,SOUTHERN,NONE,14:00,-122.403742962696,37.7752316978114,2008-09-20 14:00:00,31,060750180002006
94879,OTHER OFFENSES,12/09/2008,Tuesday,HARASSING PHONE CALLS,81321033,800 Block of GOETTINGEN ST,BAYVIEW,NONE,16:23,-122.40442829295701,37.721393575946294,2008-12-09 16:23:00,32,060750259002008
28665,DRUG/NARCOTIC,03/16/2008,Sunday,POSSESSION OF NARCOTICS PARAPHERNALIA,80280426,16TH ST / CALEDONIA ST,MISSION,"ARREST, CITED",13:00,-122.42138194827801,37.764948089734396,2008-03-16 13:00:00,33,060750201004006
79271,SUSPICIOUS OCC,10/30/2008,Thursday,SUSPICIOUS PERSON,81167893,0 Block of CASHMERE ST,BAYVIEW,NONE,12:00,-122.382254708514,37.735642822540704,2008-10-30 12:00:00,34,060750231031006
70608,NON-CRIMINAL,10/08/2008,Wednesday,"AIDED CASE, MENTAL DISTURBED",81076169,100 Block of HYDE ST,TENDERLOIN,PSYCHOPATHIC CASE,22:50,-122.415652477141,37.7821605310549,2008-10-08 22:50:00,35,060750124011002
9332,SUSPICIOUS OCC,01/25/2008,Friday,SUSPICIOUS OCCURRENCE,80090645,1900 Block of 18TH AV,TARAVAL,NONE,16:30,-122.46436183211,37.7514420239563,2008-01-25 16:30:00,36,060750303022000
130722,OTHER OFFENSES,08/14/2008,Thursday,VIOLATION OF RESTRAINING ORDER,80861117,2000 Block of POST ST,RICHMOND,NONE,15:00,-122.434764459426,37.7849742557782,2008-08-14 15:00:00,37,060750155002002
4446,MISSING PERSON,01/12/2008,Saturday,FOUND PERSON,80042646,500 Block of PRENTISS ST,INGLESIDE,NONE,19:00,-122.412123572752,37.7367543580971,2008-01-12 19:00:00,38,060750254023016
138906,RECOVERED VEHICLE,06/14/2008,Saturday,RECOVERED VEHICLE - STOLEN OUTSIDE SF,80624614,1500 Block of FILBERT ST,NORTHERN,NONE,22:30,-122.42514540693001,37.799248992147604,2008-06-14 22:30:00,39,060750130001000
9532,SUSPICIOUS OCC,01/26/2008,Saturday,SUSPICIOUS OCCURRENCE,80090087,200 Block of LEAVENWORTH ST,TENDERLOIN,NONE,05:30,-122.41414131065599,37.7830040791189,2008-01-26 05:30:00,40,060750124012001
131811,NON-CRIMINAL,08/18/2008,Monday,"DEATH REPORT, CAUSE UNKNOWN",80873184,500 Block of DELLBROOK AV,PARK,NONE,20:20,-122.453695521116,37.7560551792495,2008-08-18 20:20:00,41,060750305001003
59799,WARRANTS,06/08/2008,Sunday,ENROUTE TO OUTSIDE JURISDICTION,80600614,0 Block of UNITEDNATIONS PZ,TENDERLOIN,"ARREST, BOOKED",15:18,-122.415106241178,37.779676716725504,2008-06-08 15:18:00,42,060750124021005
81028,OTHER OFFENSES,11/03/2008,Monday,LOST/STOLEN LICENSE PLATE,81179785,1900 Block of CLAY ST,NORTHERN,NONE,20:00,-122.425124914555,37.791754650947205,2008-11-03 20:00:00,43,060750131012005
121525,NON-CRIMINAL,09/26/2008,Friday,"AIDED CASE, MENTAL DISTURBED",81024287,100 Block of TURK ST,TENDERLOIN,PSYCHOPATHIC CASE,11:00,-122.41119122431002,37.7831943345776,2008-09-26 11:00:00,44,060750125022000
95033,OTHER OFFENSES,12/10/2008,Wednesday,TRAFFIC VIOLATION ARREST,81316250,STEINER ST / SACRAMENTO ST,NORTHERN,NONE,03:37,-122.435675643181,37.78962882819879,2008-12-10 03:37:00,45,060750134001002
