,Category,Date,DayOfWeek,Descript,IncidntNum,Location,PdDistrict,Resolution,Time,X,Y,datetime,i,block_fips
27065,LARCENY/THEFT,03/12/2008,Wednesday,GRAND THEFT FROM LOCKED AUTO,86018912,1400 Block of MANSELL ST,INGLESIDE,NONE,12:30,-122.416361740116,37.718560503403296,2008-03-12 12:30:00,0,060759805011003
19767,DRUG/NARCOTIC,02/23/2008,Saturday,POSSESSION OF NARCOTICS PARAPHERNALIA,80192451,900 Block of PLYMOUTH AV,TARAVAL,"ARREST, BOOKED",09:45,-122.455987909966,37.719531894730004,2008-02-23 09:45:00,1,060750312021002
27019,BRIBERY,03/12/2008,Wednesday,BRIBERY OF WITNESSES,80263927,1000 Block of LECONTE AV,BAYVIEW,NONE,09:30,-122.39810075176901,37.7191204254095,2008-03-12 09:30:00,2,060750233001029
3766,DRUG/NARCOTIC,01/10/2008,Thursday,POSSESSION OF BASE/ROCK COCAINE FOR SALE,90034837,ELLIS ST / JONES ST,TENDERLOIN,"ARREST, BOOKED",23:40,-122.412784096502,37.784865693952604,2008-01-10 23:40:00,3,060750123012000
101520,LARCENY/THEFT,12/29/2008,Monday,GRAND THEFT BICYCLE,81382289,LASKIE ST / MISSION ST,SOUTHERN,NONE,15:15,-122.414110572621,37.776707819515295,2008-12-29 15:15:00,4,060750176013008
81548,VANDALISM,11/05/2008,Wednesday,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",81183009,SPEAR ST / MARKET ST,SOUTHERN,NONE,05:01,-122.395630116231,37.7937899670889,2008-11-05 05:01:00,5,060750615001006
9767,NON-CRIMINAL,01/26/2008,Saturday,LOST PROPERTY,80098122,0 Block of MISSION ST,SOUTHERN,NONE,23:00,-122.393698532957,37.7929812121763,2008-01-26 23:00:00,6,060750615001005
8434,SUSPICIOUS OCC,01/22/2008,Tuesday,SUSPICIOUS OCCURRENCE,80078845,1700 Block of HAIGHT ST,PARK,"ARREST, CITED",22:32,-122.451132395868,37.7695737980113,2008-01-22 22:32:00,7,060750166003003
3415,DRUG/NARCOTIC,01/09/2008,Wednesday,SALE OF BASE/ROCK COCAINE,80031081,ELLIS ST / HYDE ST,TENDERLOIN,"ARREST, BOOKED",21:30,-122.41607528505101,37.784449661279105,2008-01-09 21:30:00,8,060750122012001
121936,LARCENY/THEFT,09/27/2008,Saturday,ATTEMPTED GRAND THEFT FROM PERSON,81049360,0 Block of IVY ST,NORTHERN,NONE,12:00,-122.418971392251,37.7778980873986,2008-09-27 12:00:00,9,060750124022011
41355,LARCENY/THEFT,04/19/2008,Saturday,PETTY THEFT OF PROPERTY,80409949,1100 Block of SOUTH VAN NESS AV,MISSION,NONE,16:38,-122.41641996709,37.754469126009205,2008-04-19 16:38:00,10,060750228031004
48264,OTHER OFFENSES,05/07/2008,Wednesday,PAROLE VIOLATION,80480234,0 Block of STOCKTON ST,TENDERLOIN,"ARREST, BOOKED",21:07,-122.405803569068,37.7857731330022,2008-05-07 21:07:00,11,060750615001033
110715,STOLEN PROPERTY,07/25/2008,Friday,RECEIVING STOLEN PROPERTY,80781054,WISCONSIN ST / 23RD ST,BAYVIEW,NONE,09:35,-122.39869558968901,37.7547456011189,2008-07-25 09:35:00,12,060750614003001
81644,ASSAULT,11/05/2008,Wednesday,BATTERY,81184461,400 Block of RAYMOND AV,INGLESIDE,NONE,12:10,-122.41246649240401,37.7147151701281,2008-11-05 12:10:00,13,060759805011010
69960,LARCENY/THEFT,10/07/2008,Tuesday,GRAND THEFT FROM LOCKED AUTO,81069841,21ST ST / FOLSOM ST,MISSION,NONE,15:00,-122.414544668561,37.7572992974101,2008-10-07 15:00:00,14,060750228013005
9628,ASSAULT,01/26/2008,Saturday,THREATS AGAINST LIFE,80092027,2500 Block of SACRAMENTO ST,NORTHERN,NONE,15:35,-122.43561239013901,37.7896029305246,2008-01-26 15:35:00,15,060750135002004
37624,OTHER OFFENSES,04/09/2008,Wednesday,TAMPERING WITH A VEHICLE,80372409,400 Block of CORNWALL ST,RICHMOND,"ARREST, BOOKED",17:50,-122.463745664212,37.784728453621,2008-04-09 17:50:00,16,060750401003005
130769,VANDALISM,08/15/2008,Friday,"MALICIOUS MISCHIEF, VANDALISM",80861656,1400 Block of LARKIN ST,NORTHERN,NONE,20:45,-122.419055586491,37.7910793503009,2008-08-15 20:45:00,17,060750111002001
