,Category,Date,DayOfWeek,Descript,IncidntNum,Location,PdDistrict,Resolution,Time,X,Y,datetime,i,block_fips
24399,VANDALISM,03/19/2011,Saturday,"MALICIOUS MISCHIEF, VANDALISM",116039096,200 Block of RAMSELL ST,TARAVAL,NONE,16:30,-122.466340914128,37.7147910907264,2011-03-19 16:30:00,0,060750313022000
108723,MISSING PERSON,12/15/2011,Thursday,MISSING ADULT,111003591,0 Block of LEE AV,TARAVAL,LOCATED,11:00,-122.454127839,37.7187189997187,2011-12-15 11:00:00,1,060750312021001
105197,LARCENY/THEFT,12/01/2011,Thursday,GRAND THEFT FROM LOCKED AUTO,116153226,2000 Block of SACRAMENTO ST,NORTHERN,NONE,20:15,-122.42670266834699,37.7907267849707,2011-12-01 20:15:00,2,060750131021003
16234,OTHER OFFENSES,02/28/2011,Monday,"DRIVERS LICENSE, SUSPENDED OR REVOKED",110173749,800 Block of BRYANT ST,SOUTHERN,"ARREST, CITED",16:11,-122.403742962696,37.7752316978114,2011-02-28 16:11:00,3,060750180002006
57523,MISSING PERSON,06/09/2011,Thursday,MISSING JUVENILE,110477858,400 Block of 9TH ST,SOUTHERN,LOCATED,19:20,-122.409943182052,37.772465742682705,2011-06-09 19:20:00,4,060750180002032
12079,LARCENY/THEFT,02/12/2011,Saturday,PETTY THEFT OF PROPERTY,116019991,400 Block of CASTRO ST,MISSION,NONE,21:00,-122.435190387971,37.7622880752055,2011-02-12 21:00:00,5,060750205001009
113978,RUNAWAY,12/04/2011,Sunday,RUNAWAY,110972585,900 Block of POTRERO AV,MISSION,LOCATED,15:43,-122.40666265748501,37.7568815847062,2011-12-04 15:43:00,6,060750228022000
88786,ASSAULT,10/13/2011,Thursday,THREATS AGAINST LIFE,110825752,2000 Block of BAY SHORE BL,INGLESIDE,"ARREST, BOOKED",13:07,-122.399999270857,37.713916105936896,2011-10-13 13:07:00,7,060750264022012
49611,NON-CRIMINAL,06/11/2011,Saturday,LOST PROPERTY,116075608,1000 Block of COLUMBUS AV,CENTRAL,NONE,22:00,-122.41532077316099,37.8038907988675,2011-06-11 22:00:00,8,060750101002008
44605,LARCENY/THEFT,05/28/2011,Saturday,GRAND THEFT FROM A BUILDING,110434018,800 Block of MARKET ST,SOUTHERN,NONE,20:35,-122.40665951743401,37.7850491022697,2011-05-28 20:35:00,9,060750176011000
76999,BURGLARY,09/11/2011,Sunday,"BURGLARY OF STORE, UNLAWFUL ENTRY",110730305,2200 Block of MISSION ST,MISSION,"ARREST, BOOKED",10:40,-122.419400129188,37.76180925655579,2011-09-11 10:40:00,10,060750208002002
49283,NON-CRIMINAL,06/13/2011,Monday,"AIDED CASE, MENTAL DISTURBED",110476236,600 Block of WEBSTER ST,NORTHERN,PSYCHOPATHIC CASE,15:58,-122.42961112546699,37.7767157196197,2011-06-13 15:58:00,11,060750163001008
41875,SUSPICIOUS OCC,05/19/2011,Thursday,SUSPICIOUS OCCURRENCE,110403546,200 Block of 13TH ST,MISSION,NONE,06:55,-122.416755532165,37.7716975465666,2011-05-19 06:55:00,12,060750177002008
74761,OTHER OFFENSES,09/02/2011,Friday,TRAFFIC VIOLATION,110706378,GREEN ST / COLUMBUS AV,CENTRAL,"ARREST, BOOKED",21:06,-122.40901700761299,37.7994880717633,2011-09-02 21:06:00,13,060750107002001
86036,ASSAULT,10/07/2011,Friday,THREATS AGAINST LIFE,110808924,300 Block of BAY ST,CENTRAL,NONE,11:33,-122.41280393116399,37.8057526776631,2011-10-07 11:33:00,14,060750101001020
100498,NON-CRIMINAL,11/21/2011,Monday,LOST PROPERTY,110940720,MARKET ST / 5TH ST,SOUTHERN,NONE,15:00,-122.408068345148,37.7839916768161,2011-11-21 15:00:00,15,060750125012005
