,Category,Date,DayOfWeek,Descript,IncidntNum,Location,PdDistrict,Resolution,Time,X,Y,datetime,i,block_fips
84417,OTHER OFFENSES,11/09/2009,Monday,TRAFFIC VIOLATION,91154090,VANNESS AV / PINE ST,NORTHERN,"ARREST, CITED",08:35,-122.422139511488,37.78941076334571,2009-11-09 08:35:00,0,060750151001003
22646,VANDALISM,03/02/2009,Monday,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",90225309,800 Block of GOETTINGEN ST,BAYVIEW,NONE,21:45,-122.40442829295701,37.721393575946294,2009-03-02 21:45:00,1,060750259002008
103944,LARCENY/THEFT,04/04/2009,Saturday,GRAND THEFT OF PROPERTY,96023810,500 Block of CASTRO ST,MISSION,NONE,21:00,-122.43495856397699,37.7608662868565,2009-04-04 21:00:00,2,060750206004003
1285,PROSTITUTION,01/04/2009,Sunday,SOLICITS TO VISIT HOUSE OF PROSTITUTION,90011095,SHOTWELL ST / 17TH ST,MISSION,"ARREST, BOOKED",08:30,-122.41623039254299,37.7636337702985,2009-01-04 08:30:00,3,060750228011007
96835,ASSAULT,12/15/2009,Tuesday,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,91277545,0 Block of 6TH ST,SOUTHERN,"ARREST, BOOKED",14:30,-122.409690267641,37.781701930134396,2009-12-15 14:30:00,4,060750176012002
75990,WARRANTS,10/17/2009,Saturday,WARRANT ARREST,91073020,900 Block of MARKET ST,SOUTHERN,"ARREST, BOOKED",16:15,-122.408051765969,37.78395746422321,2009-10-17 16:15:00,5,060750176015001
71434,VANDALISM,10/05/2009,Monday,MALICIOUS MISCHIEF,91027760,MARKET ST / 5TH ST,SOUTHERN,"ARREST, BOOKED",11:25,-122.408068345148,37.7839916768161,2009-10-05 11:25:00,6,060750125012005
14823,OTHER OFFENSES,02/10/2009,Tuesday,VIOLATION OF MUNICIPAL POLICE CODE,90147894,500 Block of LEAVENWORTH ST,TENDERLOIN,"ARREST, CITED",08:56,-122.414675018379,37.7860656521776,2009-02-10 08:56:00,7,060750123021001
82990,FRAUD,11/05/2009,Thursday,"CREDIT CARD, THEFT BY USE OF",91141912,19TH AV / MORAGA ST,TARAVAL,NONE,12:15,-122.476555446478,37.756108068759495,2009-11-05 12:15:00,8,060750303021012
136481,EMBEZZLEMENT,12/01/2009,Tuesday,"EMBEZZLEMENT, GRAND THEFT BY EMPLOYEE",100436278,600 Block of 2ND ST,SOUTHERN,"ARREST, BOOKED",00:01,-122.39187567155899,37.7817282428447,2009-12-01 00:01:00,9,060750615006012
27931,LIQUOR LAWS,03/16/2009,Monday,CONSUMING ALCOHOL IN PUBLIC VIEW,90276380,4500 Block of 3RD ST,BAYVIEW,"ARREST, BOOKED",14:13,-122.39010197316401,37.736393266795794,2009-03-16 14:13:00,10,060750612001018
72943,VEHICLE THEFT,10/09/2009,Friday,STOLEN AUTOMOBILE,91085241,800 Block of FRANKLIN ST,NORTHERN,NONE,14:00,-122.422284687101,37.781999531403606,2009-10-09 14:00:00,11,060750160001010
136696,"SEX OFFENSES, FORCIBLE",09/01/2009,Tuesday,"FORCIBLE RAPE, BODILY FORCE",120643259,2000 Block of MISSION ST,MISSION,NONE,18:00,-122.419584087689,37.764578690718295,2009-09-01 18:00:00,12,060750201004001
121418,VANDALISM,05/22/2009,Friday,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",90534257,100 Block of HIGHLAND AV,INGLESIDE,NONE,21:00,-122.422480008436,37.73736062295271,2009-05-22 21:00:00,13,060750254011005
