,Category,Date,DayOfWeek,Descript,IncidntNum,Location,PdDistrict,Resolution,Time,X,Y,datetime,i,block_fips
6301,NON-CRIMINAL,01/26/2013,Saturday,AIDED CASE,130073624,700 Block of BRYANT ST,SOUTHERN,PSYCHOPATHIC CASE,15:51,-122.400590535746,37.777523978401604,2013-01-26 15:51:00,0,060750180001019
2094,DRUG/NARCOTIC,01/10/2013,Thursday,POSSESSION OF MARIJUANA,130025738,700 Block of 7TH ST,SOUTHERN,"ARREST, BOOKED",01:56,-122.401730656807,37.771718705460295,2013-01-10 01:56:00,1,060750607002000
12377,WARRANTS,02/18/2013,Monday,WARRANT ARREST,130141356,0 Block of UNITEDNATIONS PZ,SOUTHERN,"ARREST, BOOKED",03:35,-122.414965642852,37.779817117174,2013-02-18 03:35:00,2,060750124021003
84021,DRUNKENNESS,09/03/2013,Tuesday,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,130734036,EDDY ST / MASON ST,TENDERLOIN,NONE,08:48,-122.409313111431,37.784347851315104,2013-09-03 08:48:00,3,060750125012003
74168,OTHER OFFENSES,04/18/2013,Thursday,MISCELLANEOUS INVESTIGATION,130351890,300 Block of 22ND AV,RICHMOND,NONE,11:30,-122.460094701243,37.7831077766267,2013-04-18 11:30:00,4,060750401003000
27883,DRUNKENNESS,04/18/2013,Thursday,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,130315482,300 Block of WILDE AV,INGLESIDE,"ARREST, CITED",01:33,-122.402609173758,37.7163134021297,2013-04-18 01:33:00,5,060750264023000
125233,LARCENY/THEFT,11/08/2013,Friday,GRAND THEFT OF PROPERTY,136241550,RHODEISLAND ST / 16TH ST,SOUTHERN,NONE,17:00,-122.40268765321301,37.7660754132449,2013-11-08 17:00:00,6,060750607002012
10562,BURGLARY,02/04/2013,Monday,"BURGLARY OF RESIDENCE, FORCIBLE ENTRY",130121201,2400 Block of GRIFFITH ST,BAYVIEW,NONE,20:00,-122.38565308984501,37.7199706116943,2013-02-04 20:00:00,7,060750234002014
41201,ASSAULT,05/09/2013,Thursday,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,130382544,5200 Block of GEARY BL,RICHMOND,"ARREST, BOOKED",22:10,-122.475102499829,37.780558342918795,2013-05-09 22:10:00,8,060750426021003
23349,OTHER OFFENSES,03/27/2013,Wednesday,LOST/STOLEN LICENSE PLATE,130264209,0 Block of PRESIDIO AV,RICHMOND,NONE,22:00,-122.44754014287201,37.7916938346105,2013-03-27 22:00:00,9,060750133001000
105564,OTHER OFFENSES,10/26/2013,Saturday,TRAFFIC VIOLATION ARREST,130907681,26TH AV / CLEMENT ST,RICHMOND,"ARREST, BOOKED",00:40,-122.485944898656,37.7819721697031,2013-10-26 00:40:00,10,060750427002002
51338,NON-CRIMINAL,06/12/2013,Wednesday,"AIDED CASE, MENTAL DISTURBED",130485671,BEACH ST / TAYLOR ST,CENTRAL,PSYCHOPATHIC CASE,23:40,-122.415618823722,37.807275603280104,2013-06-12 23:40:00,11,060750101001006
71443,LARCENY/THEFT,08/11/2013,Sunday,GRAND THEFT OF PROPERTY,136142033,44TH AV / FULTON ST,RICHMOND,NONE,22:35,-122.504542629684,37.7716392345535,2013-08-11 22:35:00,12,060759803001019
102265,LARCENY/THEFT,10/16/2013,Wednesday,GRAND THEFT FROM LOCKED AUTO,130879450,2200 Block of PALOU AV,BAYVIEW,NONE,13:05,-122.401606867326,37.7402378639194,2013-10-16 13:05:00,13,060759809001086
27647,OTHER OFFENSES,04/17/2013,Wednesday,TRAFFIC VIOLATION ARREST,130312933,4000 Block of MISSION ST,INGLESIDE,"ARREST, BOOKED",10:11,-122.428063040451,37.73216956206711,2013-04-17 10:11:00,14,060750255001005
103159,LIQUOR LAWS,10/11/2013,Friday,POSSESSION OF ALCOHOL BY MINOR,139004939,800 Block of FONT BL,TARAVAL,"ARREST, CITED",23:25,-122.483631572369,37.7229708414837,2013-10-11 23:25:00,15,060750332043000
44200,LARCENY/THEFT,05/22/2013,Wednesday,GRAND THEFT FROM LOCKED AUTO,136091189,30TH ST / SAN JOSE AV,INGLESIDE,NONE,22:30,-122.42328681099801,37.742296068157295,2013-05-22 22:30:00,16,060750215003005
95707,OTHER OFFENSES,09/17/2013,Tuesday,FALSE REPORT OF BOMB,130781429,2000 Block of VANNESS AV,NORTHERN,PROSECUTED BY OUTSIDE AGENCY,09:30,-122.423136947904,37.7941518395388,2013-09-17 09:30:00,17,060750110002004
112,NON-CRIMINAL,01/01/2013,Tuesday,AIDED CASE,130000564,800 Block of BRYANT ST,SOUTHERN,NONE,01:00,-122.403742962696,37.7752316978114,2013-01-01 01:00:00,18,060750180002006
47212,LARCENY/THEFT,05/30/2013,Thursday,PETTY THEFT FROM LOCKED AUTO,130444984,700 Block of TARAVAL ST,TARAVAL,NONE,00:05,-122.473889173284,37.7431616980581,2013-05-30 00:05:00,19,060750304005004
566,NON-CRIMINAL,01/02/2013,Wednesday,FOUND PROPERTY,130006421,1000 Block of POTRERO AV,MISSION,NONE,13:21,-122.40665662306299,37.7568256145423,2013-01-02 13:21:00,20,060750228022008
63362,FRAUD,07/19/2013,Friday,FALSE ID TO PEACE OFFICER,130595781,JONES ST / OFARRELL ST,TENDERLOIN,"ARREST, BOOKED",21:48,-122.412970537591,37.78578837668879,2013-07-19 21:48:00,21,060750123012000
66606,VANDALISM,07/30/2013,Tuesday,"MALICIOUS MISCHIEF, VANDALISM",130626342,2600 Block of MISSION ST,MISSION,NONE,01:41,-122.41850706052799,37.7543545577214,2013-07-30 01:41:00,22,060750209001001
42832,LARCENY/THEFT,05/21/2013,Tuesday,GRAND THEFT FROM UNLOCKED AUTO,136087376,MISSOURI ST / 17TH ST,BAYVIEW,NONE,23:00,-122.396774160338,37.765129642801206,2013-05-21 23:00:00,23,060750607001072
64154,FRAUD,07/01/2013,Monday,"CREDIT CARD, THEFT BY USE OF",130600415,1000 Block of VALENCIA ST,MISSION,NONE,00:01,-122.42100940085899,37.755303567663496,2013-07-01 00:01:00,24,060750207003006
79070,VEHICLE THEFT,08/06/2013,Tuesday,STOLEN AUTOMOBILE,130651151,500 Block of THORNTON AV,BAYVIEW,NONE,23:00,-122.399918468414,37.7314599970286,2013-08-06 23:00:00,25,060750230031009
86150,MISSING PERSON,09/07/2013,Saturday,FOUND PERSON,130748184,300 Block of EDDY ST,TENDERLOIN,PSYCHOPATHIC CASE,07:47,-122.412601261914,37.783897637403996,2013-09-07 07:47:00,26,060750125022001
94797,ROBBERY,09/30/2013,Monday,"ROBBERY ON THE STREET, STRONGARM",130826279,800 Block of MARKET ST,SOUTHERN,NONE,20:40,-122.40665951743401,37.7850491022697,2013-09-30 20:40:00,27,060750176011000
