,Category,Date,DayOfWeek,Descript,IncidntNum,Location,PdDistrict,Resolution,Time,X,Y,datetime,i,block_fips
115662,WARRANTS,07/09/2011,Saturday,ENROUTE TO OUTSIDE JURISDICTION,110551474,5000 Block of MISSION ST,INGLESIDE,"ARREST, BOOKED",17:10,-122.440753192604,37.7168697151515,2011-07-09 17:10:00,0,060750261002020
97130,VANDALISM,11/11/2011,Friday,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",110911038,200 Block of WINSTON DR,TARAVAL,NONE,11:00,-122.477448645359,37.7269570625537,2011-11-11 11:00:00,1,060750332011006
42873,NON-CRIMINAL,05/19/2011,Thursday,LOST PROPERTY,110415284,CAPP ST / 19TH ST,MISSION,NONE,23:30,-122.41812008648998,37.7603012340397,2011-05-19 23:30:00,2,060750208002001
30820,NON-CRIMINAL,04/14/2011,Thursday,"AIDED CASE, MENTAL DISTURBED",110303617,19TH ST / SANCHEZ ST,MISSION,PSYCHOPATHIC CASE,04:14,-122.430421787109,37.759556498494,2011-04-14 04:14:00,3,060750206003000
70065,LARCENY/THEFT,08/18/2011,Thursday,PETTY THEFT SHOPLIFTING,110663370,800 Block of MARKET ST,SOUTHERN,NONE,19:15,-122.406836829961,37.7850042180051,2011-08-18 19:15:00,4,060750176011000
52853,NON-CRIMINAL,06/23/2011,Thursday,"AIDED CASE, MENTAL DISTURBED",110506372,200 Block of 8TH ST,SOUTHERN,PSYCHOPATHIC CASE,19:35,-122.411571816697,37.776238195942504,2011-06-23 19:35:00,5,060750178021022
4030,LARCENY/THEFT,01/14/2011,Friday,GRAND THEFT FROM LOCKED AUTO,116006926,400 Block of RIVERA ST,TARAVAL,NONE,23:00,-122.471307550743,37.74701646959979,2011-01-14 23:00:00,6,060750304003005
11454,BURGLARY,02/10/2011,Thursday,"BURGLARY, HOT PROWL, UNLAWFUL ENTRY",110123863,1300 Block of MISSION ST,SOUTHERN,NONE,07:50,-122.41583789379101,37.775377010328896,2011-02-10 07:50:00,7,060750176014004
51336,SUSPICIOUS OCC,06/19/2011,Sunday,SUSPICIOUS OCCURRENCE,110493688,1600 Block of BRYANT ST,MISSION,NONE,17:56,-122.41046572620199,37.765807793242004,2011-06-19 17:56:00,8,060750177001039
16573,LARCENY/THEFT,02/23/2011,Wednesday,PETTY THEFT FROM A BUILDING,110172644,800 Block of ELLIS ST,NORTHERN,NONE,17:00,-122.420492232563,37.7838536510785,2011-02-23 17:00:00,9,060750124023001
115713,OTHER OFFENSES,12/03/2011,Saturday,TRAFFIC VIOLATION ARREST,110970454,HYDE ST / TURK ST,TENDERLOIN,"ARREST, CITED",18:46,-122.415694922134,37.7825851968467,2011-12-03 18:46:00,10,060750124011001
78771,LARCENY/THEFT,09/12/2011,Monday,GRAND THEFT FROM LOCKED AUTO,116116268,SHOTWELL ST / CESAR CHAVEZ ST,MISSION,NONE,19:00,-122.414919860546,37.7482311005325,2011-09-12 19:00:00,11,060750252001011
58059,LARCENY/THEFT,07/08/2011,Friday,GRAND THEFT FROM LOCKED AUTO,116085992,FOLSOM ST / 4TH ST,SOUTHERN,NONE,19:00,-122.401161555602,37.7820238478975,2011-07-08 19:00:00,12,060750178011001
82812,LARCENY/THEFT,09/26/2011,Monday,GRAND THEFT OF PROPERTY,116122243,2ND ST / BRANNAN ST,SOUTHERN,NONE,22:30,-122.39208230532101,37.78184577225729,2011-09-26 22:30:00,13,060750615005006
102856,VEHICLE THEFT,11/14/2011,Monday,STOLEN TRUCK,110922687,PINE ST / VANNESS AV,NORTHERN,NONE,17:30,-122.422139511488,37.78941076334571,2011-11-14 17:30:00,14,060750151001003
55885,VANDALISM,07/04/2011,Monday,"MALICIOUS MISCHIEF, BREAKING WINDOWS",110537775,500 Block of CAMPBELL AV,INGLESIDE,NONE,22:50,-122.406696201864,37.715350604460895,2011-07-04 22:50:00,15,060750264012000
5613,WARRANTS,01/21/2011,Friday,WARRANT ARREST,110063877,800 Block of MARKET ST,SOUTHERN,"ARREST, BOOKED",11:30,-122.40665951743401,37.7850491022697,2011-01-21 11:30:00,16,060750176011000
67366,OTHER OFFENSES,08/13/2011,Saturday,TRAFFIC VIOLATION,110648902,26TH ST / ALABAMA ST,MISSION,NONE,20:28,-122.410659076122,37.749489677868205,2011-08-13 20:28:00,17,060750229022002
31100,LARCENY/THEFT,04/08/2011,Friday,PETTY THEFT OF PROPERTY,116048592,1500 Block of FULTON ST,PARK,NONE,14:00,-122.442317121551,37.7764394514352,2011-04-08 14:00:00,18,060750157002004
