,Category,Date,DayOfWeek,Descript,IncidntNum,Location,PdDistrict,Resolution,Time,X,Y,datetime,i,block_fips
86246,WEAPON LAWS,08/09/2011,Tuesday,POSS OF LOADED FIREARM,110635181,1400 Block of SOUTH VAN NESS AV,MISSION,"ARREST, BOOKED",02:03,-122.41599867741999,37.7491943713898,2011-08-09 02:03:00,0,060750209002000
109427,VANDALISM,12/14/2011,Wednesday,"MALICIOUS MISCHIEF, VANDALISM",116161116,GREENWICH ST / VANNESS AV,NORTHERN,NONE,20:00,-122.42436302145,37.8004143219856,2011-12-14 20:00:00,1,060750129021000
7110,WARRANTS,01/26/2011,Wednesday,WARRANT ARREST,110078973,1000 Block of FITZGERALD AV,BAYVIEW,JUVENILE BOOKED,07:00,-122.388008181748,37.71893454514839,2011-01-26 07:00:00,2,060750234002011
97997,VEHICLE THEFT,11/12/2011,Saturday,STOLEN TRUCK,110912014,BUSH ST / VANNESS AV,NORTHERN,NONE,01:00,-122.421949487547,37.7884881521135,2011-11-12 01:00:00,3,060750120001004
95886,ROBBERY,11/06/2011,Sunday,ATTEMPTED ROBBERY WITH A GUN,110897400,2300 Block of 16TH ST,MISSION,NONE,17:53,-122.409216071434,37.7657158874647,2011-11-06 17:53:00,4,060750177001039
85086,NON-CRIMINAL,10/06/2011,Thursday,LOST PROPERTY,116126079,IRVING ST / 9TH AV,TARAVAL,NONE,09:00,-122.466309668238,37.7640368477305,2011-10-06 09:00:00,5,060750302022001
61054,DRUG/NARCOTIC,07/15/2011,Friday,PLANTING/CULTIVATING MARIJUANA,110567885,2100 Block of CESAR CHAVEZ ST,BAYVIEW,UNFOUNDED,18:25,-122.39875823553699,37.749629412641,2011-07-15 18:25:00,6,060759809001057
33138,WARRANTS,04/21/2011,Thursday,ENROUTE TO OUTSIDE JURISDICTION,110323853,1700 Block of HAIGHT ST,PARK,"ARREST, BOOKED",12:14,-122.45083353842399,37.7694733267915,2011-04-21 12:14:00,7,060750166003004
59578,OTHER OFFENSES,07/16/2011,Saturday,"DRIVERS LICENSE, SUSPENDED OR REVOKED",110569295,MISSION ST / RANDALL ST,INGLESIDE,"ARREST, CITED",09:04,-122.42358068715099,37.7398849565957,2011-07-16 09:04:00,8,060750253003009
14848,ASSAULT,02/22/2011,Tuesday,BATTERY OF A POLICE OFFICER,110157072,2200 Block of MISSION ST,MISSION,"ARREST, BOOKED",15:57,-122.41927368370199,37.7604777570661,2011-02-22 15:57:00,9,060750208002002
46234,ASSAULT,06/03/2011,Friday,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,110449948,2000 Block of MISSION ST,MISSION,NONE,21:50,-122.419531551992,37.7640331168027,2011-06-03 21:50:00,10,060750201004001
97935,VEHICLE THEFT,11/05/2011,Saturday,STOLEN TRUCK,110896769,900 Block of BAY SHORE BL,BAYVIEW,NONE,22:00,-122.404608670814,37.7329409325553,2011-11-05 22:00:00,11,060750230013001
2862,LARCENY/THEFT,01/12/2011,Wednesday,GRAND THEFT OF PROPERTY,110037496,1200 Block of WASHINGTON ST,CENTRAL,NONE,14:00,-122.41342108581999,37.794233291828206,2011-01-12 14:00:00,12,060750112001004
77060,LARCENY/THEFT,09/11/2011,Sunday,GRAND THEFT FROM LOCKED AUTO,116115204,800 Block of MISSION ST,SOUTHERN,NONE,13:05,-122.40497023260001,37.7838778192476,2011-09-11 13:05:00,13,060750176011004
104811,DRUG/NARCOTIC,12/05/2011,Monday,POSSESSION OF MARIJUANA,110974412,0 Block of PHELAN AV,INGLESIDE,"ARREST, CITED",10:40,-122.452375222256,37.72333319084571,2011-12-05 10:40:00,14,060750310002012
70638,OTHER OFFENSES,08/20/2011,Saturday,TRAFFIC VIOLATION ARREST,110668972,POST ST / STOCKTON ST,CENTRAL,"ARREST, CITED",16:55,-122.406775392392,37.788498286614704,2011-08-20 16:55:00,15,060750117002026
117026,RECOVERED VEHICLE,03/18/2011,Friday,RECOVERED VEHICLE - STOLEN OUTSIDE SF,110225146,0 Block of MCALLISTER ST,TENDERLOIN,NONE,15:42,-122.413031030236,37.7810191245749,2011-03-18 15:42:00,16,060750125011003
41602,KIDNAPPING,05/19/2011,Thursday,"KIDNAPPING, ADULT VICTIM",110402980,500 Block of ALEMANY BL,INGLESIDE,"ARREST, BOOKED",00:05,-122.4167921067,37.732319472222,2011-05-19 00:05:00,17,060750254032004
78660,DRUG/NARCOTIC,09/15/2011,Thursday,POSSESSION OF CONTROLLED SUBSTANCE FOR SALE,110743342,MCKINNON AV / NEWHALL ST,BAYVIEW,"ARREST, BOOKED",14:30,-122.391090325597,37.736908565728704,2011-09-15 14:30:00,18,060750612002002
40740,SUSPICIOUS OCC,05/16/2011,Monday,SUSPICIOUS OCCURRENCE,110395460,1500 Block of OAKDALE AV,BAYVIEW,NONE,11:14,-122.38993843100799,37.734325157629705,2011-05-16 11:14:00,19,060750612001029
40983,MISSING PERSON,01/22/2011,Saturday,MISSING JUVENILE,110073008,400 Block of 15TH AV,RICHMOND,LOCATED,22:00,-122.47400927224501,37.780353111108205,2011-01-22 22:00:00,20,060750476001005
107568,VEHICLE THEFT,12/08/2011,Thursday,STOLEN AUTOMOBILE,110986031,200 Block of GAMBIER ST,INGLESIDE,NONE,21:00,-122.421242047259,37.7257237931886,2011-12-08 21:00:00,21,060750256003004
40613,OTHER OFFENSES,04/11/2011,Monday,MISCELLANEOUS INVESTIGATION,110392886,3100 Block of MISSION ST,INGLESIDE,NONE,08:00,-122.41819797948799,37.7481302210349,2011-04-11 08:00:00,22,060750252001006
39134,MISSING PERSON,05/02/2011,Monday,FOUND PERSON,110356804,800 Block of BRYANT ST,SOUTHERN,LOCATED,13:00,-122.403742962696,37.7752316978114,2011-05-02 13:00:00,23,060750180002006
21943,VANDALISM,03/15/2011,Tuesday,"MALICIOUS MISCHIEF, VANDALISM",110218674,1600 Block of 18TH AV,TARAVAL,NONE,20:00,-122.48629969348801,37.7569976504907,2011-03-15 20:00:00,24,060750326021010
72281,WEAPON LAWS,08/18/2011,Thursday,POSS OF FIREARM BY CONVICTED FELON/ADDICT/ALIEN,110661619,0 Block of NAVY RD,BAYVIEW,NOT PROSECUTED,08:05,-122.378760922032,37.7291040181117,2011-08-18 08:05:00,25,060750231032017
116527,WARRANTS,12/04/2011,Sunday,WARRANT ARREST,110973602,1000 Block of VANNESS AV,NORTHERN,"ARREST, BOOKED",23:01,-122.421154998374,37.7847660146753,2011-12-04 23:01:00,26,060750122021007
33995,ASSAULT,04/25/2011,Monday,THREATS AGAINST LIFE,110333733,1400 Block of CALIFORNIA ST,CENTRAL,"ARREST, BOOKED",00:30,-122.41900848010401,37.790757662522296,2011-04-25 00:30:00,27,060750111002002
111834,ROBBERY,12/28/2011,Wednesday,ATTEMPTED ROBBERY ON THE STREET WITH BODILY FORCE,111036473,1800 Block of FILLMORE ST,NORTHERN,"ARREST, BOOKED",13:57,-122.43338381805201,37.7868444871156,2011-12-28 13:57:00,28,060750152003004
61025,LARCENY/THEFT,06/28/2011,Tuesday,GRAND THEFT SHOPLIFTING,110520479,800 Block of MARKET ST,SOUTHERN,EXCEPTIONAL CLEARANCE,13:12,-122.40741352862801,37.7845520146126,2011-06-28 13:12:00,29,060750176011002
19695,VEHICLE THEFT,03/09/2011,Wednesday,STOLEN AUTOMOBILE,110200900,600 Block of THE EMBARCADERONORTH ST,CENTRAL,NONE,22:24,-122.398074784028,37.7999836377034,2011-03-09 22:24:00,30,060750105001001
80937,NON-CRIMINAL,09/17/2011,Saturday,LOST PROPERTY,116118446,2300 Block of MARKET ST,MISSION,NONE,23:00,-122.43413930746,37.7634715986392,2011-09-17 23:00:00,31,060750203003008
46886,ASSAULT,04/16/2011,Saturday,THREATS AGAINST LIFE,110446079,FONT BL / GONZALEZ DR,TARAVAL,NONE,09:30,-122.475917910604,37.716787664893,2011-04-16 09:30:00,32,060750332031005
38651,ASSAULT,05/08/2011,Sunday,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,110377349,17TH ST / SAN BRUNO AV,MISSION,NONE,13:00,-122.40546657618,37.7646048756593,2011-05-08 13:00:00,33,060750228021001
53516,NON-CRIMINAL,06/26/2011,Sunday,LOST PROPERTY,110514563,22ND ST / CASTRO ST,MISSION,NONE,15:00,-122.43439350707199,37.7544947073561,2011-06-26 15:00:00,34,060750211004002
21661,NON-CRIMINAL,03/16/2011,Wednesday,"AIDED CASE, MENTAL DISTURBED",110218765,200 Block of 11TH ST,SOUTHERN,PSYCHOPATHIC CASE,13:05,-122.414837189169,37.772563613826705,2011-03-16 13:05:00,35,060750178022009
34182,ASSAULT,04/26/2011,Tuesday,BATTERY,110338501,0 Block of PHELAN AV,INGLESIDE,"ARREST, CITED",15:00,-122.45230190572501,37.72429167619661,2011-04-26 15:00:00,36,060750311003013
115063,NON-CRIMINAL,03/11/2011,Friday,LOST PROPERTY,120201891,200 Block of INTERSTATE80 HY,SOUTHERN,NONE,00:01,-122.37074092694799,37.8170463264224,2011-03-11 00:01:00,37,060750179021001
20193,OTHER OFFENSES,03/13/2011,Sunday,"DRIVERS LICENSE, SUSPENDED OR REVOKED",110209720,25TH ST / MISSISSIPPI ST,BAYVIEW,"ARREST, CITED",01:57,-122.393621427055,37.75248687189,2011-03-13 01:57:00,38,060750614002009
40074,NON-CRIMINAL,05/13/2011,Friday,"AIDED CASE, MENTAL DISTURBED",110386378,MARKET ST / POWELL ST,SOUTHERN,PSYCHOPATHIC CASE,12:53,-122.40754585593099,37.784401179486,2011-05-13 12:53:00,39,060750176011002
98519,OTHER OFFENSES,11/15/2011,Tuesday,OBSTRUCTIONS ON STREETS/SIDEWALKS,110920885,200 Block of TAYLOR ST,TENDERLOIN,"ARREST, CITED",10:56,-122.41104409116801,37.784370597366,2011-11-15 10:56:00,40,060750125021000
77018,NON-CRIMINAL,09/11/2011,Sunday,FOUND PROPERTY,110731488,1700 Block of 15TH ST,MISSION,NONE,18:20,-122.42206759827499,37.766571031398705,2011-09-11 18:20:00,41,060750202002007
49232,WARRANTS,06/13/2011,Monday,ENROUTE TO ADULT AUTHORITY,110474901,400 Block of STEVENSON ST,SOUTHERN,"ARREST, BOOKED",07:49,-122.408494393053,37.782671172959496,2011-06-13 07:49:00,42,060750176015004
