,Category,Date,DayOfWeek,Descript,IncidntNum,Location,PdDistrict,Resolution,Time,X,Y,datetime,i,block_fips
54085,OTHER OFFENSES,06/22/2010,Tuesday,FAILURE TO REGISTER AS SEX OFFENDER,100575456,800 Block of BRYANT ST,SOUTHERN,"ARREST, BOOKED",16:20,-122.403675173997,37.7751775060199,2010-06-22 16:20:00,0,060750180002006
104539,OTHER OFFENSES,11/24/2010,Wednesday,TRAFFIC VIOLATION,101091108,SOUTH VAN NESS AV / 18TH ST,MISSION,"ARREST, CITED",19:00,-122.41718044863501,37.761967421810205,2010-11-24 19:00:00,1,060750208002000
117515,ASSAULT,12/27/2010,Monday,THREATS AGAINST LIFE,110049316,500 Block of 2ND AV,RICHMOND,NONE,15:20,-122.459624899694,37.7779517449984,2010-12-27 15:20:00,2,060750451001005
38611,OTHER OFFENSES,05/01/2010,Saturday,LOST/STOLEN LICENSE PLATE,100405477,2000 Block of 43RD AV,TARAVAL,NONE,21:00,-122.480514683184,37.7499571399037,2010-05-01 21:00:00,3,060750328021008
76969,LARCENY/THEFT,08/28/2010,Saturday,GRAND THEFT FROM LOCKED AUTO,106107421,BROADWAY ST / POLK ST,NORTHERN,NONE,22:00,-122.421772135304,37.79594615319579,2010-08-28 22:00:00,4,060750109003008
73769,DRUG/NARCOTIC,08/22/2010,Sunday,POSSESSION OF NARCOTICS PARAPHERNALIA,100771080,0 Block of BROAD ST,TARAVAL,"ARREST, BOOKED",06:46,-122.45601195301501,37.713227601786706,2010-08-22 06:46:00,5,060750314002006
9564,OTHER OFFENSES,01/28/2010,Thursday,CONSPIRACY,100177927,800 Block of HOWARD ST,SOUTHERN,"ARREST, BOOKED",17:32,-122.40487938618601,37.7814949930668,2010-01-28 17:32:00,6,060750178011002
15003,LARCENY/THEFT,02/13/2010,Saturday,PETTY THEFT FROM LOCKED AUTO,100149158,400 Block of STOCKTON ST,CENTRAL,NONE,18:00,-122.406919391828,37.7894516716171,2010-02-13 18:00:00,7,060750117002008
73082,MISSING PERSON,08/13/2010,Friday,MISSING JUVENILE,100742417,800 Block of CENTRAL AV,PARK,LOCATED,10:00,-122.444972874896,37.7771980519925,2010-08-13 10:00:00,8,060750157002002
97836,ASSAULT,10/31/2010,Sunday,BATTERY,101010716,300 Block of POWELL ST,CENTRAL,"ARREST, CITED",03:15,-122.40833353293999,37.7876829824756,2010-10-31 03:15:00,9,060750123022000
98899,NON-CRIMINAL,11/04/2010,Thursday,"AIDED CASE, MENTAL DISTURBED",101025505,2300 Block of 16TH ST,MISSION,PSYCHOPATHIC CASE,13:29,-122.409216071434,37.7657158874647,2010-11-04 13:29:00,10,060750177001039
119166,DRUG/NARCOTIC,11/21/2010,Sunday,POSSESSION OF CONTROLLED SUBSTANCE FOR SALE,101081864,EDDY ST / TAYLOR ST,TENDERLOIN,"ARREST, BOOKED",23:11,-122.410955248906,37.7841399509594,2010-11-21 23:11:00,11,060750125022000
86556,OTHER OFFENSES,09/28/2010,Tuesday,"DRIVERS LICENSE, SUSPENDED OR REVOKED",100901061,0 Block of NAVY RD,BAYVIEW,NONE,10:35,-122.37961837687,37.7295806109647,2010-09-28 10:35:00,12,060750231032017
106647,ASSAULT,11/28/2010,Sunday,THREATS AGAINST LIFE,101099657,1100 Block of TREAT AV,MISSION,"ARREST, BOOKED",02:35,-122.412927937977,37.7522971377583,2010-11-28 02:35:00,13,060750229012001
23616,OTHER OFFENSES,03/12/2010,Friday,TRAFFIC VIOLATION ARREST,100235600,14TH ST / MISSION ST,MISSION,"ARREST, BOOKED",03:12,-122.41998344769699,37.768272676361896,2010-03-12 03:12:00,14,060750201002005
17879,NON-CRIMINAL,02/21/2010,Sunday,"AIDED CASE, MENTAL DISTURBED",100175216,1900 Block of 17TH ST,BAYVIEW,NONE,22:40,-122.403139949936,37.7648571287662,2010-02-21 22:40:00,15,060750607002015
81441,FRAUD,09/05/2010,Sunday,"CREDIT CARD, THEFT BY USE OF",100852721,200 Block of POST ST,CENTRAL,NONE,00:01,-122.406451491854,37.7885729557674,2010-09-05 00:01:00,16,060750117002019
49285,"SEX OFFENSES, FORCIBLE",06/05/2010,Saturday,SEXUAL BATTERY,100522576,800 Block of BRYANT ST,SOUTHERN,NONE,21:40,-122.403742962696,37.7752316978114,2010-06-05 21:40:00,17,060750180002006
107406,PROSTITUTION,12/02/2010,Thursday,SOLICITS FOR ACT OF PROSTITUTION,101112243,POLK ST / SACRAMENTO ST,NORTHERN,"ARREST, CITED",03:00,-122.420874632415,37.791494305190604,2010-12-02 03:00:00,18,060750111001006
52833,LARCENY/THEFT,06/08/2010,Tuesday,GRAND THEFT OF PROPERTY,106071525,200 Block of OAK ST,NORTHERN,NONE,00:01,-122.423745437549,37.7749868774926,2010-06-08 00:01:00,19,060750162002009
51058,ASSAULT,06/13/2010,Sunday,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,100547041,800 Block of BRYANT ST,SOUTHERN,NONE,15:30,-122.403742962696,37.7752316978114,2010-06-13 15:30:00,20,060750180002006
91479,VANDALISM,10/12/2010,Tuesday,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",100952086,ANZA ST / 4TH AV,RICHMOND,NONE,16:00,-122.462003861436,37.7791838254247,2010-10-12 16:00:00,21,060750451003007
46836,BURGLARY,05/28/2010,Friday,"BURGLARY OF APARTMENT HOUSE, FORCIBLE ENTRY",100495274,1200 Block of GREENWICH ST,CENTRAL,NONE,03:41,-122.419439923711,37.8010281236254,2010-05-28 03:41:00,22,060750102002001
117918,LARCENY/THEFT,12/09/2010,Thursday,GRAND THEFT FROM A BUILDING,110079783,500 Block of NOE ST,MISSION,NONE,16:00,-122.432522616225,37.759651957336104,2010-12-09 16:00:00,23,060750206004007
54686,ASSAULT,06/23/2010,Wednesday,BATTERY,100578143,600 Block of ELLIS ST,TENDERLOIN,NONE,13:30,-122.417465861906,37.7843021238634,2010-06-23 13:30:00,24,060750122012001
94872,VEHICLE THEFT,10/18/2010,Monday,STOLEN AUTOMOBILE,100971729,1300 Block of HAIGHT ST,PARK,NONE,20:00,-122.443936945182,37.7703550119873,2010-10-18 20:00:00,25,060750166002001
50596,NON-CRIMINAL,06/04/2010,Friday,LOST PROPERTY,106067392,FILLMORE ST / CALIFORNIA ST,NORTHERN,NONE,00:01,-122.43384306629801,37.7889062433785,2010-06-04 00:01:00,26,060750135002004
9378,LARCENY/THEFT,01/28/2010,Thursday,GRAND THEFT FROM A BUILDING,100091991,0 Block of FARALLONES ST,TARAVAL,NONE,03:00,-122.455569424881,37.7139716429551,2010-01-28 03:00:00,27,060750314002006
