,Category,Date,DayOfWeek,Descript,IncidntNum,Location,PdDistrict,Resolution,Time,X,Y,datetime,i,block_fips
41352,ROBBERY,05/11/2010,Tuesday,"ROBBERY, ARMED WITH A KNIFE",100435032,0 Block of 6TH ST,SOUTHERN,NONE,04:40,-122.408688768809,37.7810007176432,2010-05-11 04:40:00,0,060750176015005
53165,OTHER OFFENSES,06/18/2010,Friday,"DRIVERS LICENSE, SUSPENDED OR REVOKED",100564879,JONES ST / OFARRELL ST,TENDERLOIN,NONE,22:51,-122.412970537591,37.78578837668879,2010-06-18 22:51:00,1,060750123012000
81855,NON-CRIMINAL,09/03/2010,Friday,LOST PROPERTY,100856109,100 Block of LARKIN ST,NORTHERN,NONE,14:00,-122.41654459515699,37.778678327516,2010-09-03 14:00:00,2,060750124021005
1771,NON-CRIMINAL,01/06/2010,Wednesday,LOST PROPERTY,100017038,700 Block of BUSH ST,CENTRAL,NONE,07:00,-122.409985863754,37.789895450989206,2010-01-06 07:00:00,3,060750121002000
45607,NON-CRIMINAL,05/25/2010,Tuesday,"AIDED CASE, MENTAL DISTURBED",100483815,300 Block of MADRID ST,INGLESIDE,NONE,04:51,-122.431092030781,37.7239481315593,2010-05-25 04:51:00,4,060750260011007
48028,FRAUD,05/02/2010,Sunday,"CREDIT CARD, THEFT BY USE OF",100466300,100 Block of POPLAR ST,MISSION,NONE,00:01,-122.421275709179,37.7520180562529,2010-05-02 00:01:00,5,060750210003001
64966,VEHICLE THEFT,08/02/2010,Monday,STOLEN AUTOMOBILE,100707063,CLAY ST / BUCHANAN ST,NORTHERN,NONE,20:00,-122.43091721095101,37.7911297518172,2010-08-02 20:00:00,6,060750135002001
56337,"SEX OFFENSES, FORCIBLE",06/28/2010,Monday,ASSAULT TO RAPE WITH BODILY FORCE,100593646,800 Block of 42ND AV,RICHMOND,NONE,06:10,-122.50231811228599,37.7725142285662,2010-06-28 06:10:00,7,060750479014003
78626,NON-CRIMINAL,09/05/2010,Sunday,"AIDED CASE, MENTAL DISTURBED",100821588,LEAVENWORTH ST / EDDY ST,TENDERLOIN,PSYCHOPATHIC CASE,20:56,-122.414242955907,37.783724025447796,2010-09-05 20:56:00,8,060750124012000
58409,OTHER OFFENSES,07/05/2010,Monday,VIOLATION OF MUNICIPAL POLICE CODE,100615751,1100 Block of FOLSOM ST,SOUTHERN,"ARREST, CITED",00:20,-122.409945286412,37.7751328685523,2010-07-05 00:20:00,9,060750178021013
35663,OTHER OFFENSES,04/21/2010,Wednesday,PROBATION VIOLATION,100368756,400 Block of ELLIS ST,TENDERLOIN,"ARREST, BOOKED",13:24,-122.413194106834,37.7847800587471,2010-04-21 13:24:00,10,060750125021001
21685,LARCENY/THEFT,03/05/2010,Friday,PETTY THEFT FROM A BUILDING,100229841,100 Block of FILLMORE ST,NORTHERN,NONE,23:30,-122.430034554875,37.770739239012705,2010-03-05 23:30:00,11,060750168012000
