,Category,Date,DayOfWeek,Descript,IncidntNum,Location,PdDistrict,Resolution,Time,X,Y,datetime,i,block_fips
39709,OTHER OFFENSES,07/16/2009,Thursday,PROBATION VIOLATION,90726125,1300 Block of SANCHEZ ST,INGLESIDE,"ARREST, BOOKED",19:15,-122.429351531199,37.7469661304179,2009-07-16 19:15:00,0,060750215005001
79324,OTHER OFFENSES,10/26/2009,Monday,VIOLATION OF RESTRAINING ORDER,91105297,400 Block of VALENCIA ST,MISSION,NONE,21:50,-122.42199671719,37.7664680119784,2009-10-26 21:50:00,1,060750201004005
60943,SUSPICIOUS OCC,09/08/2009,Tuesday,SUSPICIOUS OCCURRENCE,90926767,1800 Block of NORIEGA ST,TARAVAL,NONE,22:55,-122.48327406628701,37.7538291050232,2009-09-08 22:55:00,2,060750328021003
24462,LARCENY/THEFT,03/07/2009,Saturday,PETTY THEFT OF PROPERTY,90305406,1200 Block of MASON ST,CENTRAL,NONE,11:00,-122.411412236748,37.7945327642321,2009-03-07 11:00:00,3,060750108003004
108994,VANDALISM,04/18/2009,Saturday,"MALICIOUS MISCHIEF, VANDALISM",90404434,300 Block of CLEMENTINA ST,SOUTHERN,NONE,08:15,-122.40244489566601,37.7819129774334,2009-04-18 08:15:00,4,060750178011002
81181,OTHER OFFENSES,10/31/2009,Saturday,MISCELLANEOUS INVESTIGATION,91123744,100 Block of EDDY ST,TENDERLOIN,NONE,21:45,-122.409762207309,37.7844022387331,2009-10-31 21:45:00,5,060750125012002
30720,ASSAULT,03/23/2009,Monday,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,90304395,200 Block of ARGONAUT AV,INGLESIDE,NONE,11:00,-122.414923957223,37.7105336555716,2009-03-23 11:00:00,6,060750264041000
11738,LARCENY/THEFT,02/01/2009,Sunday,PETTY THEFT OF PROPERTY,90370396,FILBERT ST / TAYLOR ST,CENTRAL,NONE,16:00,-122.41430481787901,37.8007593209767,2009-02-01 16:00:00,7,060750103002001
16007,FRAUD,02/13/2009,Friday,FALSE ID TO PEACE OFFICER,90160830,CAPP ST / 17TH ST,MISSION,"ARREST, CITED",14:05,-122.418486296575,37.763495437314404,2009-02-13 14:05:00,8,060750208001001
32910,VANDALISM,03/28/2009,Saturday,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",90360109,200 Block of LATHROP AV,BAYVIEW,NONE,23:00,-122.400299047366,37.7107539095147,2009-03-28 23:00:00,9,060750610002017
