,Category,Date,DayOfWeek,Descript,IncidntNum,Location,PdDistrict,Resolution,Time,X,Y,datetime,i,block_fips
116439,LARCENY/THEFT,12/29/2010,Wednesday,PETTY THEFT FROM LOCKED AUTO,101197847,VANNESS AV / SUTTER ST,NORTHERN,NONE,23:30,-122.42176250179199,37.7875490095115,2010-12-29 23:30:00,0,060750151001008
32951,FRAUD,04/12/2010,Monday,"CREDIT CARD, THEFT BY USE OF",100412717,400 Block of CORTLAND AV,INGLESIDE,NONE,00:01,-122.41721423671301,37.7391626142795,2010-04-12 00:01:00,1,060750252004008
10295,ASSAULT,01/30/2010,Saturday,AGGRAVATED ASSAULT WITH BODILY FORCE,100100150,3300 Block of GEARY BL,RICHMOND,NONE,20:49,-122.454776307183,37.78148825182579,2010-01-30 20:49:00,2,060750156001000
29393,ASSAULT,03/30/2010,Tuesday,AGGRAVATED ASSAULT WITH A GUN,100298551,BERNALHTS BL / ANDERSON ST,INGLESIDE,"ARREST, BOOKED",19:10,-122.41501652838801,37.7421835425926,2010-03-30 19:10:00,3,060750252002009
73449,FORGERY/COUNTERFEITING,05/21/2010,Friday,"MONEY, CHANGING FACE AMOUNT",100484891,900 Block of GENEVA AV,INGLESIDE,PROSECUTED BY OUTSIDE AGENCY,12:00,-122.440220393827,37.7160636856885,2010-05-21 12:00:00,4,060750263011007
21080,NON-CRIMINAL,03/04/2010,Thursday,"AIDED CASE, MENTAL DISTURBED",100209116,0 Block of TURK ST,TENDERLOIN,PSYCHOPATHIC CASE,06:15,-122.410120387139,37.7832742528125,2010-03-04 06:15:00,5,060750125011000
71030,WARRANTS,08/13/2010,Friday,WARRANT ARREST,100740847,1000 Block of MARKET ST,SOUTHERN,"ARREST, BOOKED",09:05,-122.41128233020099,37.7814996965219,2010-08-13 09:05:00,6,060750176012000
48388,OTHER OFFENSES,05/27/2010,Thursday,"DRIVERS LICENSE, SUSPENDED OR REVOKED",100492628,MISSION ST / CESAR CHAVEZ ST,MISSION,"ARREST, CITED",16:39,-122.418221946229,37.7481664083985,2010-05-27 16:39:00,7,060750253004001
112773,BURGLARY,12/18/2010,Saturday,"BURGLARY OF STORE, FORCIBLE ENTRY",101162094,600 Block of 4TH ST,SOUTHERN,NONE,04:58,-122.395787163034,37.7776853163315,2010-12-18 04:58:00,8,060750180001032
16847,OTHER OFFENSES,02/18/2010,Thursday,"DRIVERS LICENSE, SUSPENDED OR REVOKED",100164930,KEARNY ST / CLAY ST,CENTRAL,"ARREST, CITED",17:10,-122.404799424951,37.7944525389481,2010-02-18 17:10:00,9,060750611002004
