,Category,Date,DayOfWeek,Descript,IncidntNum,Location,PdDistrict,Resolution,Time,X,Y,datetime,i,block_fips
108853,BURGLARY,12/19/2011,Monday,"BURGLARY, FORCIBLE ENTRY",111012025,4000 Block of 24TH ST,MISSION,NONE,00:01,-122.43324895414801,37.751245172462895,2011-12-19 00:01:00,0,060750214003001
81637,VANDALISM,09/23/2011,Friday,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",110768180,3000 Block of 16TH ST,MISSION,PSYCHOPATHIC CASE,17:10,-122.420563707866,37.764964271284,2011-09-23 17:10:00,1,060750201004002
42854,OTHER OFFENSES,05/23/2011,Monday,DEFRAUDING TAXI DRIVER,110414941,300 Block of POWELL ST,CENTRAL,"ARREST, CITED",02:14,-122.40833353293999,37.7876829824756,2011-05-23 02:14:00,2,060750123022000
16137,OTHER OFFENSES,02/26/2011,Saturday,CONSPIRACY,110168643,0 Block of OFARRELL ST,TENDERLOIN,JUVENILE CITED,14:45,-122.40579537967501,37.786724633169605,2011-02-26 14:45:00,3,060750117002024
112731,VEHICLE THEFT,12/31/2011,Saturday,STOLEN AUTOMOBILE,120008697,FULTON ST / 48TH AV,RICHMOND,NONE,21:00,-122.50882152705601,37.7714427800071,2011-12-31 21:00:00,4,060759803001020
69726,VANDALISM,08/09/2011,Tuesday,"MALICIOUS MISCHIEF, VANDALISM",116106065,800 Block of BRYANT ST,SOUTHERN,NONE,06:30,-122.403742962696,37.7752316978114,2011-08-09 06:30:00,5,060750180002006
53034,OTHER OFFENSES,01/09/2011,Sunday,PROBATION VIOLATION,110025952,44TH AV / FULTON ST,RICHMOND,"ARREST, BOOKED",04:34,-122.504542629684,37.7716392345535,2011-01-09 04:34:00,6,060759803001019
38854,LARCENY/THEFT,05/05/2011,Thursday,PETTY THEFT FROM LOCKED AUTO,110377559,10TH AV / CLEMENT ST,RICHMOND,NONE,12:30,-122.46870527669701,37.7827502637918,2011-05-05 12:30:00,7,060750402002002
32942,OTHER OFFENSES,03/28/2011,Monday,MISCELLANEOUS INVESTIGATION,110253040,1000 Block of CONNECTICUT ST,BAYVIEW,"ARREST, BOOKED",11:25,-122.397170538563,37.753534809175704,2011-03-28 11:25:00,8,060750614001018
77574,LARCENY/THEFT,09/08/2011,Thursday,GRAND THEFT OF PROPERTY,116115486,0 Block of OFARRELL ST,TENDERLOIN,NONE,17:50,-122.405911798972,37.7866421876346,2011-09-08 17:50:00,9,060750117002028
