,Category,Date,DayOfWeek,Descript,IncidntNum,Location,PdDistrict,Resolution,Time,X,Y,datetime,i,block_fips
91766,LARCENY/THEFT,11/29/2009,Sunday,PETTY THEFT FROM A BUILDING,91225180,1200 Block of VANNESS AV,NORTHERN,NONE,19:20,-122.421531974887,37.786630265290796,2009-11-29 19:20:00,0,060750120002005
23958,SUSPICIOUS OCC,03/06/2009,Friday,SUSPICIOUS OCCURRENCE,90238976,800 Block of BRYANT ST,SOUTHERN,NONE,07:04,-122.403742962696,37.7752316978114,2009-03-06 07:04:00,1,060750180002006
99296,VANDALISM,12/22/2009,Tuesday,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",96132267,2400 Block of BALBOA ST,RICHMOND,NONE,15:00,-122.484870825302,37.7763915437415,2009-12-22 15:00:00,2,060750477013002
132262,LARCENY/THEFT,06/25/2009,Thursday,GRAND THEFT FROM LOCKED AUTO,90650734,CALIFORNIA ST / DIVISADERO ST,RICHMOND,NONE,21:00,-122.440442684037,37.7880671350434,2009-06-25 21:00:00,3,060750134002007
102968,DRUG/NARCOTIC,04/02/2009,Thursday,SALE OF BASE/ROCK COCAINE,90345123,2100 Block of MISSION ST,MISSION,"ARREST, BOOKED",14:45,-122.41951715132099,37.763015960273,2009-04-02 14:45:00,4,060750208001003
9548,OTHER OFFENSES,01/26/2009,Monday,OPERATING TAXI WITHOUT A PERMIT,90094756,MISSION ST / 16TH ST,MISSION,"ARREST, CITED",16:19,-122.419671780296,37.7650501214668,2009-01-26 16:19:00,5,060750201004002
122236,OTHER OFFENSES,05/25/2009,Monday,TRAFFIC VIOLATION,90541484,0 Block of CONNECTICUT ST,BAYVIEW,"ARREST, BOOKED",17:15,-122.39772810129801,37.765376717167705,2009-05-25 17:15:00,6,060750607001072
120931,OTHER OFFENSES,05/21/2009,Thursday,"DRIVERS LICENSE, SUSPENDED OR REVOKED",90526511,VANNESS AV / GOLDEN GATE AV,NORTHERN,"ARREST, CITED",03:02,-122.420439512717,37.7810308461783,2009-05-21 03:02:00,7,060750124022002
69151,KIDNAPPING,09/29/2009,Tuesday,FALSE IMPRISONMENT,91006281,1500 Block of OAKDALE AV,BAYVIEW,"ARREST, BOOKED",14:45,-122.38885521758101,37.733789539465796,2009-09-29 14:45:00,8,060750612001025
30854,WARRANTS,03/23/2009,Monday,WARRANT ARREST,90305951,EDDY ST / JONES ST,TENDERLOIN,"ARREST, BOOKED",17:28,-122.412597377187,37.783932027727296,2009-03-23 17:28:00,9,060750125022001
109810,LARCENY/THEFT,04/20/2009,Monday,PETTY THEFT OF PROPERTY,96028622,0 Block of WILLIAMS AV,BAYVIEW,NONE,11:30,-122.394564831858,37.7295055855149,2009-04-20 11:30:00,10,060750233001000
19325,OTHER OFFENSES,02/22/2009,Sunday,PROBATION VIOLATION,90193405,0 Block of STOCKTON ST,TENDERLOIN,"ARREST, BOOKED",14:10,-122.405878455823,37.7857422667499,2009-02-22 14:10:00,11,060750117002027
54184,ASSAULT,08/23/2009,Sunday,BATTERY,90864662,1300 Block of SANSOME ST,CENTRAL,"ARREST, CITED",15:10,-122.402933938517,37.8026594445196,2009-08-23 15:10:00,12,060750105001010
137261,RECOVERED VEHICLE,07/27/2009,Monday,RECOVERED VEHICLE - STOLEN OUTSIDE SF,90763371,1000 Block of HOWARD ST,SOUTHERN,NONE,19:57,-122.407946838027,37.7792737956471,2009-07-27 19:57:00,13,060750176012005
88221,OTHER OFFENSES,11/19/2009,Thursday,PROBATION VIOLATION,91192329,1700 Block of HAIGHT ST,PARK,"ARREST, BOOKED",15:34,-122.450330813594,37.7696860021137,2009-11-19 15:34:00,14,060750166003003
43964,WARRANTS,07/28/2009,Tuesday,ENROUTE TO OUTSIDE JURISDICTION,90766234,2300 Block of 24TH AV,TARAVAL,"ARREST, BOOKED",15:00,-122.481163246063,37.743837498729995,2009-07-28 15:00:00,15,060750328012004
133068,NON-CRIMINAL,06/27/2009,Saturday,FOUND PROPERTY,90660028,500 Block of THE EMBARCADEROSOUTH ST,SOUTHERN,NONE,17:30,-122.388027899056,37.7850769607517,2009-06-27 17:30:00,16,060750615006002
58529,OTHER OFFENSES,09/02/2009,Wednesday,TRAFFIC VIOLATION,90904735,100 Block of BATTERY ST,CENTRAL,"ARREST, CITED",20:30,-122.399746665786,37.79284457032389,2009-09-02 20:30:00,17,060750117001014
120714,LARCENY/THEFT,05/20/2009,Wednesday,PETTY THEFT SHOPLIFTING,90537358,1200 Block of 3RD AV,PARK,JUVENILE BOOKED,12:00,-122.45999282998501,37.765202858148,2009-05-20 12:00:00,18,060750301012003
51009,VANDALISM,08/15/2009,Saturday,"MALICIOUS MISCHIEF, VANDALISM",96070071,200 Block of RANKIN ST,BAYVIEW,NONE,20:00,-122.39177404321998,37.745618847322504,2009-08-15 20:00:00,19,060759809001113
133858,ROBBERY,06/27/2009,Saturday,"ROBBERY, BODILY FORCE",90675754,2100 Block of MISSION ST,MISSION,DISTRICT ATTORNEY REFUSES TO PROSECUTE,22:00,-122.419557197701,37.763420930839295,2009-06-27 22:00:00,20,060750208001002
61080,RUNAWAY,09/09/2009,Wednesday,RUNAWAY,90928161,1700 Block of CESAR CHAVEZ ST,BAYVIEW,NONE,11:00,-122.394917189539,37.7498592604993,2009-09-09 11:00:00,21,060759809001026
33558,WARRANTS,03/30/2009,Monday,WARRANT ARREST,90332590,2000 Block of MARKET ST,MISSION,"ARREST, BOOKED",14:05,-122.42689311401199,37.7691618401946,2009-03-30 14:05:00,22,060750202001015
136842,WARRANTS,08/16/2009,Sunday,ENROUTE TO PROBATION OFFICER,90837716,LEAVENWORTH ST / TURK ST,TENDERLOIN,"ARREST, BOOKED",19:59,-122.414056291891,37.7827931071006,2009-08-16 19:59:00,23,060750124012002
107128,NON-CRIMINAL,04/13/2009,Monday,"AIDED CASE, MENTAL DISTURBED",90384955,600 Block of JACKSON ST,CENTRAL,NONE,09:20,-122.405462522141,37.7960603841628,2009-04-13 09:20:00,24,060750611002000
51868,ASSAULT,08/18/2009,Tuesday,THREATS AGAINST LIFE,90842345,500 Block of 4TH ST,SOUTHERN,"ARREST, BOOKED",01:48,-122.397820987303,37.7793148929031,2009-08-18 01:48:00,25,060750180001014
388,OTHER OFFENSES,01/01/2009,Thursday,TRAFFIC VIOLATION,90002533,DIVISADERO ST / SUTTER ST,RICHMOND,"ARREST, CITED",16:55,-122.439874051543,37.7852471617812,2009-01-01 16:55:00,26,060750155003002
64643,BURGLARY,09/18/2009,Friday,"BURGLARY, HOT PROWL, UNLAWFUL ENTRY",90963383,0 Block of CARMELITA ST,PARK,NONE,04:00,-122.434380469251,37.769821823464106,2009-09-18 04:00:00,27,060750167002000
71076,ASSAULT,10/04/2009,Sunday,BATTERY,91023423,0 Block of GROVE ST,NORTHERN,"ARREST, BOOKED",12:30,-122.418199770527,37.7784588801575,2009-10-04 12:30:00,28,060750124022010
100480,FORGERY/COUNTERFEITING,12/26/2009,Saturday,"FORGERY, DRIVERS LICENSE OR ID-CARD",100010117,1700 Block of LYON ST,RICHMOND,NONE,12:00,-122.44529970155399,37.786716593471,2009-12-26 12:00:00,29,060750154001001
25107,OTHER OFFENSES,03/09/2009,Monday,RESISTING ARREST,90247660,200 Block of DIAMOND ST,MISSION,"ARREST, BOOKED",02:35,-122.436784040089,37.7579186200353,2009-03-09 02:35:00,30,060750205002004
74057,OTHER OFFENSES,10/12/2009,Monday,PAROLE VIOLATION,91053210,1700 Block of MISSION ST,MISSION,"ARREST, BOOKED",10:20,-122.419981164811,37.7695327813569,2009-10-12 10:20:00,31,060750201002001
81472,OTHER OFFENSES,11/01/2009,Sunday,VIOLATION OF MUNICIPAL POLICE CODE,91125988,HYDE ST / GOLDEN GATE AV,TENDERLOIN,PROSECUTED FOR LESSER OFFENSE,11:39,-122.415508242782,37.7816542806075,2009-11-01 11:39:00,32,060750124011002
96878,LARCENY/THEFT,12/15/2009,Tuesday,PETTY THEFT FROM A BUILDING,91278418,500 Block of BROADWAY ST,CENTRAL,NONE,16:30,-122.40617488231399,37.798039644906794,2009-12-15 16:30:00,33,060750106002004
98292,BURGLARY,12/19/2009,Saturday,"BURGLARY OF RESIDENCE, UNLAWFUL ENTRY",91292195,1800 Block of EDDY ST,PARK,NONE,15:00,-122.43800643481,37.780672080413204,2009-12-19 15:00:00,34,060750158012019
32209,VEHICLE THEFT,03/27/2009,Friday,STOLEN AUTOMOBILE,90319510,300 Block of EDDY ST,TENDERLOIN,NONE,01:35,-122.412614498337,37.7839637731278,2009-03-27 01:35:00,35,060750125021001
103538,OTHER OFFENSES,04/03/2009,Friday,MISCELLANEOUS STATE MISDEMEANOR,90350489,1400 Block of POLK ST,NORTHERN,"ARREST, CITED",21:59,-122.420458550469,37.7896385158803,2009-04-03 21:59:00,36,060750111002004
54554,WARRANTS,08/24/2009,Monday,ENROUTE TO DEPARTMENT OF CORRECTIONS,90867741,300 Block of GOLDEN GATE AV,TENDERLOIN,"ARREST, BOOKED",13:35,-122.415539480856,37.781684224022996,2009-08-24 13:35:00,37,060750124011002
27843,FORGERY/COUNTERFEITING,03/16/2009,Monday,"FORGERY, FALSE ENTRIES IN RECORDS OR RETURNS",90276114,400 Block of 19TH AV,RICHMOND,NONE,10:00,-122.478277367064,37.77939741251429,2009-03-16 10:00:00,38,060750476001013
86354,ASSAULT,11/14/2009,Saturday,BATTERY,91174593,1400 Block of QUESADA AV,BAYVIEW,"ARREST, BOOKED",14:05,-122.387753560203,37.731111109299796,2009-11-14 14:05:00,39,060750232003008
90068,ASSAULT,11/24/2009,Tuesday,THREATS AGAINST LIFE,91231369,2700 Block of BRYANT ST,MISSION,NONE,16:00,-122.408759081802,37.750332820399606,2009-11-24 16:00:00,40,060750229033002
51942,BURGLARY,08/18/2009,Tuesday,"BURGLARY,STORE UNDER CONSTRUCTION, UNLAWFUL ENTRY",90843826,1100 Block of HOWARD ST,SOUTHERN,NONE,09:30,-122.410813854698,37.776897299947,2009-08-18 09:30:00,41,060750176013004
26272,LARCENY/THEFT,03/12/2009,Thursday,GRAND THEFT FROM LOCKED AUTO,90260145,1100 Block of SHOTWELL ST,MISSION,NONE,02:36,-122.415009359267,37.750335272983605,2009-03-12 02:36:00,42,060750229013002
60254,DRUG/NARCOTIC,09/07/2009,Monday,SALE OF COCAINE,90920076,2000 Block of MISSION ST,MISSION,"ARREST, BOOKED",09:30,-122.41968061032699,37.7647025102688,2009-09-07 09:30:00,43,060750201004002
95570,LARCENY/THEFT,12/11/2009,Friday,PETTY THEFT SHOPLIFTING,91264677,0 Block of STOCKTON ST,TENDERLOIN,"ARREST, CITED",13:00,-122.405878455823,37.7857422667499,2009-12-11 13:00:00,44,060750117002027
63446,LARCENY/THEFT,09/15/2009,Tuesday,PETTY THEFT FROM A BUILDING,90951184,4600 Block of MISSION ST,INGLESIDE,NONE,11:30,-122.43491437876499,37.7245962661599,2009-09-15 11:30:00,45,060750255004004
116851,LARCENY/THEFT,05/09/2009,Saturday,GRAND THEFT OF PROPERTY,96060298,2200 Block of MARKET ST,MISSION,NONE,12:00,-122.43153432548999,37.7655018543752,2009-05-09 12:00:00,46,060750203003005
28672,OTHER OFFENSES,03/18/2009,Wednesday,"DRIVERS LICENSE, SUSPENDED OR REVOKED",90283664,BARNEVELD AV / OAKDALE AV,BAYVIEW,"ARREST, CITED",09:25,-122.403259230012,37.7419262862501,2009-03-18 09:25:00,47,060759809001083
102331,DRUG/NARCOTIC,04/01/2009,Wednesday,UNDER THE INFLUENCE OF CONTROLLED SUBSTANCES,90339198,300 Block of ELLIS ST,TENDERLOIN,"ARREST, CITED",07:38,-122.41226539163601,37.7848974657803,2009-04-01 07:38:00,48,060750125021000
135019,LARCENY/THEFT,06/24/2009,Wednesday,GRAND THEFT FROM LOCKED AUTO,96046226,3600 Block of 16TH ST,PARK,NONE,21:30,-122.424440267773,37.75995143669579,2009-06-24 21:30:00,49,060750207001007
13795,WARRANTS,02/07/2009,Saturday,ENROUTE TO DEPARTMENT OF CORRECTIONS,90137936,700 Block of KEARNY ST,CENTRAL,"ARREST, BOOKED",08:00,-122.40486164305099,37.7950029644252,2009-02-07 08:00:00,50,060750611001014
65380,LARCENY/THEFT,09/19/2009,Saturday,GRAND THEFT FROM LOCKED AUTO,96089527,900 Block of HOWARD ST,SOUTHERN,NONE,22:00,-122.405139429622,37.7812901045845,2009-09-19 22:00:00,51,060750178021000
113528,LARCENY/THEFT,04/30/2009,Thursday,PETTY THEFT SHOPLIFTING,90449076,4900 Block of MISSION ST,INGLESIDE,NONE,02:00,-122.438907777456,37.7193144434831,2009-04-30 02:00:00,52,060750261001008
136488,OTHER OFFENSES,03/12/2009,Thursday,PAROLE VIOLATION,90261814,2000 Block of MISSION ST,MISSION,"ARREST, BOOKED",13:30,-122.419658956085,37.7644776786239,2009-03-12 13:30:00,53,060750201004002
132683,OTHER OFFENSES,06/27/2009,Saturday,OBSTRUCTIONS ON STREETS/SIDEWALKS,90655762,200 Block of MONTGOMERY ST,CENTRAL,NONE,13:30,-122.40249244616501,37.7912909669764,2009-06-27 13:30:00,54,060750117001025
45958,LARCENY/THEFT,08/02/2009,Sunday,PETTY THEFT FROM UNLOCKED AUTO,90786555,300 Block of PACHECO ST,TARAVAL,NONE,22:00,-122.462214783506,37.747836573574205,2009-08-02 22:00:00,55,060750304001009
126879,SUSPICIOUS OCC,06/08/2009,Monday,SUSPICIOUS OCCURRENCE,90587933,100 Block of WESTPOINT RD,BAYVIEW,NONE,07:38,-122.37993968452,37.735152387564796,2009-06-08 07:38:00,56,060750231031006
57658,OTHER OFFENSES,08/31/2009,Monday,FALSE REPORT OF CRIME,90896922,ELLIS ST / JONES ST,TENDERLOIN,"ARREST, BOOKED",19:57,-122.412784096502,37.784865693952604,2009-08-31 19:57:00,57,060750123012000
