,Category,Date,DayOfWeek,Descript,IncidntNum,Location,PdDistrict,Resolution,Time,X,Y,datetime,i,block_fips
26889,OTHER OFFENSES,03/11/2008,Tuesday,VIOLATION OF RESTRAINING ORDER,80262311,MISSION ST / 24TH ST,MISSION,"ARREST, BOOKED",20:38,-122.418448186101,37.7522391652625,2008-03-11 20:38:00,0,060750209004003
124552,OTHER OFFENSES,07/24/2008,Thursday,VIOLATION OF MUNICIPAL POLICE CODE,80779861,400 Block of JESSIE ST,SOUTHERN,"ARREST, BOOKED",21:49,-122.40789326520701,37.7827823299708,2008-07-24 21:49:00,1,060750176015004
89601,LARCENY/THEFT,11/25/2008,Tuesday,GRAND THEFT FROM A BUILDING,81263178,900 Block of DIVISADERO ST,PARK,NONE,11:00,-122.43844556691799,37.7779690971656,2008-11-25 11:00:00,2,060750158021006
15674,MISSING PERSON,02/12/2008,Tuesday,MISSING ADULT,80153259,800 Block of BUSH ST,CENTRAL,LOCATED,08:00,-122.41161068425,37.789910500514495,2008-02-12 08:00:00,3,060750119021003
6799,VEHICLE THEFT,01/18/2008,Friday,STOLEN AUTOMOBILE,80064258,3200 Block of PIERCE ST,NORTHERN,NONE,17:00,-122.439400562741,37.7999464059005,2008-01-18 17:00:00,4,060750128001001
28322,WARRANTS,03/15/2008,Saturday,ENROUTE TO OUTSIDE JURISDICTION,80277122,800 Block of HOWARD ST,SOUTHERN,"ARREST, BOOKED",15:41,-122.40487938618601,37.7814949930668,2008-03-15 15:41:00,5,060750178011002
86660,OTHER OFFENSES,11/17/2008,Monday,PROBATION VIOLATION,81232565,GOLDEN GATE AV / LEAVENWORTH ST,TENDERLOIN,"ARREST, BOOKED",23:42,-122.413869632554,37.7818621883021,2008-11-17 23:42:00,6,060750124021000
40717,OTHER OFFENSES,04/17/2008,Thursday,LOST/STOLEN LICENSE PLATE,80406688,300 Block of MANSELL ST,INGLESIDE,NONE,23:00,-122.404451897938,37.7206202265817,2008-04-17 23:00:00,7,060750259003003
100936,NON-CRIMINAL,12/27/2008,Saturday,LOST PROPERTY,90014704,800 Block of 3RD ST,SOUTHERN,NONE,21:30,-122.391805008238,37.7781399144288,2008-12-27 21:30:00,8,060750607003002
32382,OTHER OFFENSES,03/26/2008,Wednesday,"DRIVERS LICENSE, SUSPENDED OR REVOKED",80317057,PARKPRESIDIO BL / CROSSOVER DR,RICHMOND,"ARREST, CITED",11:35,-122.47950231172399,37.771265769233,2008-03-26 11:35:00,9,060759803001009
71234,ASSAULT,10/10/2008,Friday,INFLICT INJURY ON COHABITEE,81083954,200 Block of PARKER AV,RICHMOND,"ARREST, BOOKED",14:00,-122.453916588376,37.781055440068606,2008-10-10 14:00:00,10,060750157003017
116770,OTHER OFFENSES,09/13/2008,Saturday,TRAFFIC VIOLATION,80974403,OFARRELL ST / LEAVENWORTH ST,TENDERLOIN,"ARREST, CITED",22:40,-122.414619686906,37.785583058846996,2008-09-13 22:40:00,11,060750122011003
107533,ROBBERY,07/15/2008,Tuesday,ROBBERY ON THE STREET WITH A GUN,80739229,500 Block of IVY ST,NORTHERN,NONE,00:03,-122.42743174379,37.776682956300704,2008-07-15 00:03:00,12,060750163001005
25025,ASSAULT,03/07/2008,Friday,AGGRAVATED ASSAULT WITH A KNIFE,80244886,100 Block of 6TH ST,SOUTHERN,NONE,13:00,-122.408413533876,37.7806866676992,2008-03-07 13:00:00,13,060750176012003
55603,LARCENY/THEFT,05/28/2008,Wednesday,PETTY THEFT FROM A BUILDING,80768698,3700 Block of CALIFORNIA ST,RICHMOND,NONE,12:00,-122.455071300717,37.7862393407295,2008-05-28 12:00:00,14,060750133005004
110900,NON-CRIMINAL,07/25/2008,Friday,"AIDED CASE, MENTAL DISTURBED",80784252,1100 Block of FILLMORE ST,NORTHERN,PSYCHOPATHIC CASE,23:08,-122.43213714443199,37.7797823264699,2008-07-25 23:08:00,15,060750161004005
13561,DRUG/NARCOTIC,02/06/2008,Wednesday,POSSESSION OF CONTROLLED SUBSTANCE FOR SALE,80130100,LEAVENWORTH ST / TURK ST,TENDERLOIN,"ARREST, BOOKED",17:30,-122.414056291891,37.7827931071006,2008-02-06 17:30:00,16,060750124012002
14223,FRAUD,02/08/2008,Friday,"CREDIT CARD, THEFT BY USE OF",80209636,800 Block of BRYANT ST,SOUTHERN,NONE,13:00,-122.403742962696,37.7752316978114,2008-02-08 13:00:00,17,060750180002006
74563,LARCENY/THEFT,10/18/2008,Saturday,PETTY THEFT FROM LOCKED AUTO,81120681,15TH ST / VALENCIA ST,MISSION,NONE,14:00,-122.422045943548,37.7665387195995,2008-10-18 14:00:00,18,060750202003000
54717,VANDALISM,05/25/2008,Sunday,"MALICIOUS MISCHIEF, VANDALISM",80549642,1000 Block of LECONTE AV,BAYVIEW,NONE,20:30,-122.39810075176901,37.7191204254095,2008-05-25 20:30:00,19,060750233001029
9052,OTHER OFFENSES,01/24/2008,Thursday,"DRIVERS LICENSE, SUSPENDED OR REVOKED",80085373,FOLSOM ST / 19TH ST,MISSION,"ARREST, CITED",18:15,-122.41484513920601,37.760500072599605,2008-01-24 18:15:00,20,060750228011009
16693,SUSPICIOUS OCC,02/15/2008,Friday,SUSPICIOUS OCCURRENCE,80161826,0 Block of 4TH ST,SOUTHERN,NONE,01:00,-122.404866350443,37.785011293812204,2008-02-15 01:00:00,21,060750615001032
94208,FRAUD,12/07/2008,Sunday,"CREDIT CARD, THEFT BY USE OF",81314276,0 Block of GEARY ST,CENTRAL,NONE,21:00,-122.404288491864,37.7878183694392,2008-12-07 21:00:00,22,060750117002022
16220,BURGLARY,02/13/2008,Wednesday,"BURGLARY, HOT PROWL, UNLAWFUL ENTRY",80160997,0 Block of PINTO AV,TARAVAL,NONE,19:00,-122.48150392767599,37.7202937988577,2008-02-13 19:00:00,23,060750332043008
47377,ASSAULT,05/05/2008,Monday,AGGRAVATED ASSAULT WITH A KNIFE,80471590,2000 Block of MARKET ST,MISSION,NONE,12:20,-122.42689311401199,37.7691618401946,2008-05-05 12:20:00,24,060750202001015
93549,OTHER OFFENSES,12/06/2008,Saturday,VIOLATION OF MUNICIPAL POLICE CODE,81301950,100 Block of GOLDEN GATE AV,TENDERLOIN,"ARREST, CITED",07:13,-122.413447182891,37.7818823822991,2008-12-06 07:13:00,25,060750125011003
121330,VANDALISM,09/25/2008,Thursday,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",81023552,BARTLETT ST / 24TH ST,MISSION,NONE,19:00,-122.41956043788299,37.7521716091721,2008-09-25 19:00:00,26,060750209004002
103115,VEHICLE THEFT,07/02/2008,Wednesday,STOLEN AUTOMOBILE,80700189,12TH AV / LAWTON ST,TARAVAL,NONE,19:45,-122.46913000509701,37.758303571682795,2008-07-02 19:45:00,27,060750303012005
114477,FRAUD,09/08/2008,Monday,FRAUDULENT CREDIT APPLICATION,100175909,100 Block of HARTFORD ST,MISSION,NONE,00:01,-122.43365162549601,37.759811791607206,2008-09-08 00:01:00,28,060750206004004
91802,DRUG/NARCOTIC,12/01/2008,Monday,POSSESSION OF COCAINE,81283693,0 Block of UNITEDNATIONS PZ,TENDERLOIN,"ARREST, BOOKED",16:15,-122.415103667905,37.7797530605977,2008-12-01 16:15:00,29,060750124021004
40535,DRUG/NARCOTIC,04/17/2008,Thursday,SALE OF BASE/ROCK COCAINE,80401280,TAYLOR ST / GOLDEN GATE AV,SOUTHERN,"ARREST, BOOKED",13:12,-122.41029351969,37.7822305870036,2008-04-17 13:12:00,30,060750125011004
56112,BURGLARY,05/29/2008,Thursday,"BURGLARY,RESIDENCE UNDER CONSTRT, UNLAWFUL ENTRY",80566066,0 Block of WAWONA ST,TARAVAL,NONE,17:30,-122.46592843751999,37.742910426098796,2008-05-29 17:30:00,31,060750308001003
