,Category,Date,DayOfWeek,Descript,IncidntNum,Location,PdDistrict,Resolution,Time,X,Y,datetime,i,block_fips
65666,LARCENY/THEFT,06/30/2007,Saturday,GRAND THEFT OF PROPERTY,76047783,100 Block of CLINTONPARK ST,MISSION,NONE,21:00,-122.423959433787,37.7692902652091,2007-06-30 21:00:00,0,060750202001009
34906,BURGLARY,04/05/2007,Thursday,"BURGLARY, UNLAWFUL ENTRY",70351576,300 Block of WEBSTER ST,NORTHERN,NONE,21:36,-122.42921774012899,37.774162966825706,2007-04-05 21:36:00,1,060750168022002
60591,ASSAULT,06/16/2007,Saturday,INFLICT INJURY ON COHABITEE,70609303,200 Block of INTERSTATE80 HY,SOUTHERN,"ARREST, BOOKED",16:05,-122.37113317221399,37.81689222338171,2007-06-16 16:05:00,2,060750179021001
88077,DRUG/NARCOTIC,08/30/2007,Thursday,POSSESSION OF METH-AMPHETAMINE,70886197,500 Block of JOHNFKENNEDY DR,RICHMOND,"ARREST, BOOKED",09:15,-122.478279534517,37.7691144915685,2007-08-30 09:15:00,3,060759803001037
23467,TRESPASS,03/05/2007,Monday,TRESPASSING,70239637,800 Block of SACRAMENTO ST,CENTRAL,NONE,20:00,-122.40704997118799,37.7932305867101,2007-03-05 20:00:00,4,060750118001004
131069,NON-CRIMINAL,12/26/2007,Wednesday,LOST PROPERTY,71316828,3000 Block of MISSION ST,MISSION,NONE,00:30,-122.41816426276002,37.7488196704008,2007-12-26 00:30:00,5,060750209003005
106841,LARCENY/THEFT,10/18/2007,Thursday,GRAND THEFT FROM LOCKED AUTO,71070591,300 Block of ELLIS ST,TENDERLOIN,NONE,19:00,-122.411159939359,37.7850374376223,2007-10-18 19:00:00,6,060750125021000
129176,NON-CRIMINAL,12/19/2007,Wednesday,LOST PROPERTY,71296747,POTRERO AV / 15TH ST,MISSION,NONE,13:45,-122.407685897302,37.7670824029841,2007-12-19 13:45:00,7,060750177001038
49704,WARRANTS,05/17/2007,Thursday,WARRANT ARREST,70504913,POST ST / LARKIN ST,NORTHERN,"ARREST, BOOKED",00:05,-122.41827417166,37.7870372043685,2007-05-17 00:05:00,8,060750122021000
28036,OTHER OFFENSES,03/17/2007,Saturday,MISCELLANEOUS STATE MISDEMEANOR,70281616,200 Block of OFARRELL ST,TENDERLOIN,NONE,23:00,-122.408435395518,37.786248587306105,2007-03-17 23:00:00,9,060750123011006
69304,OTHER OFFENSES,07/10/2007,Tuesday,ACTS AGAINST PUBLIC TRANSIT,70695443,2ND ST / KING ST,SOUTHERN,"ARREST, BOOKED",21:50,-122.38959528325199,37.7798611974198,2007-07-10 21:50:00,10,060750607003002
101864,NON-CRIMINAL,10/05/2007,Friday,LOST PROPERTY,71030028,800 Block of BRYANT ST,SOUTHERN,NONE,01:00,-122.403742962696,37.7752316978114,2007-10-05 01:00:00,11,060750180002006
62014,LARCENY/THEFT,06/20/2007,Wednesday,GRAND THEFT BICYCLE,70625490,16TH ST / MISSION ST,MISSION,NONE,18:30,-122.419671780296,37.7650501214668,2007-06-20 18:30:00,12,060750201004002
101266,ROBBERY,10/03/2007,Wednesday,ROBBERY ON THE STREET WITH A KNIFE,71019709,HOWARD ST / LANGTON ST,SOUTHERN,NONE,16:00,-122.409924033746,37.7775530955225,2007-10-03 16:00:00,13,060750176013004
