,hh_old_pct_moe,hh_size,fertility_moe,hh_pop,tract_id,foreign_pct,hh,badenglish_pct,same_house_pct,nonenglish_pct_moe,same_house_pct_moe,noncitizen_pct_moe,hh_moe,hh_pop_moe,hh_size_moe,ba_grad_pct_moe,ba_grad_pct,disab_pct,hh_youth_pct_moe,hs_grad_pct,noncitizen_pct,nonenglish_pct,hh_old_pct,hh_youth_pct,badenglish_pct_moe,fertility,hs_grad_pct_moe,disab_pct_moe,foreign_pct_moe,school_pct_moe,school_pct,med_hh_inc,mean_hh_inc,health_ins_pct,mean_hh_inc_moe,unemp_pct,poverty_pct_moe,health_ins_pct_moe,med_hh_inc_moe,poverty_pct,unemp_pct_moe,med_rooms_per_hh_moe,rent_vacancy_pct_moe,rent_vacancy_pct,no_car_pct_moe,occ_rent_pct_moe,unaff_rent_pct_moe,crowded_pct_moe,unaff_mortgage_pct_moe,moved_in_post_2010_pct_moe,med_housing_value_moe,med_housing_value,no_car_pct,unaff_mortgage_pct,crowded_pct,unaff_rent_pct,moved_in_post_2010_pct,med_rooms_per_hh,occ_rent_pct,afam_pct_moe,hisp_pct,hisp_pct_moe,white_pct_moe,white_pct,afam_pct,asian_pct_moe,asian_pct
91,3.8,2.03,(X),3095,6075022704,19.9,1524,4.0,87.9,6.1,4.4,14.3,100,211,0.12,5.3,79.9,4.7,3.2,99.3,36.6,26.9,17.5,13.0,2.1,36,0.8,2.4,4.0,(X),444,143846,173768,96.8,24952,6.3,2.1,1.6,18015,1.4,3.0,0.3,(X),(X),2.5,(X),8.0,0.7,10.1,4.2,60531,859100,5.3,35.5,0.4,19.3,11.8,4.6,768,1.5,3095,(X),3.8,79.9,1.6,4.1,21.0
92,3.2,2.50,(X),4384,6075022801,27.4,1757,17.5,80.4,7.1,6.3,11.1,100,393,0.19,5.4,57.1,8.6,5.2,85.2,51.6,39.6,14.2,24.2,4.3,37,4.5,2.7,5.6,(X),847,85275,127026,85.7,19484,3.9,8.8,4.0,10082,13.0,2.1,0.3,(X),(X),7.4,(X),9.8,2.4,11.3,6.7,40117,659600,24.8,37.7,2.8,38.8,19.2,4.4,1002,3.2,4468,(X),5.0,74.1,4.6,3.5,13.7
93,7.4,3.14,(X),1817,6075022802,23.9,579,16.8,84.4,11.3,7.9,19.5,62,329,0.55,9.1,34.7,13.3,8.3,80.7,43.6,40.4,23.5,19.0,5.6,5,6.5,6.3,6.3,(X),386,55505,94483,82.4,22057,2.6,8.6,8.8,10979,8.7,3.3,0.6,(X),(X),10.0,(X),9.7,10.7,24.8,4.3,59226,823600,20.9,34.0,9.3,15.0,5.0,5.2,412,6.1,2072,(X),12.1,71.9,5.9,8.7,17.5
94,3.5,3.14,(X),4835,6075022803,45.6,1542,34.6,92.5,6.8,3.8,8.8,89,440,0.29,6.2,42.5,6.5,5.9,81.1,72.0,64.5,16.7,25.2,5.7,44,5.1,2.2,6.7,(X),793,72941,85856,71.8,9227,6.5,6.3,6.7,14636,8.7,2.8,0.3,(X),(X),7.6,(X),7.2,4.9,19.2,4.2,102104,587800,36.3,36.3,7.7,29.7,8.4,4.2,1220,2.4,4876,(X),8.5,70.4,5.1,3.5,11.9
95,5.6,3.25,(X),4469,6075022901,44.5,1376,32.4,86.9,8.0,5.2,10.1,90,622,0.39,7.9,35.8,7.1,7.3,77.6,62.1,62.1,15.5,32.7,8.7,80,5.6,3.6,7.3,(X),989,61875,82878,76.9,10198,14.0,7.6,7.7,7786,14.7,5.3,0.4,(X),(X),7.1,(X),10.2,4.8,20.4,6.4,82023,673200,35.3,53.2,6.0,40.8,14.5,4.6,1026,3.9,4497,(X),8.1,69.1,7.1,3.3,9.5
96,5.7,2.95,(X),2465,6075022902,27.9,837,27.7,82.8,13.5,8.6,15.6,38,286,0.36,7.4,38.1,6.2,13.3,84.1,59.9,49.9,17.8,32.0,11.5,55,6.8,2.7,8.4,(X),551,76507,88712,82.4,12126,10.0,11.3,6.5,9357,19.6,5.0,0.3,(X),(X),9.9,(X),15.7,2.3,13.9,3.5,91000,664400,27.0,32.6,2.2,56.9,4.5,4.8,420,10.4,2507,(X),10.0,74.9,13.0,5.5,8.6
97,6.7,2.80,(X),2976,6075022903,41.9,1062,27.7,90.6,7.8,3.5,13.6,68,363,0.30,7.6,38.4,8.0,7.2,78.6,49.1,61.2,20.6,22.1,8.0,21,6.6,3.1,5.6,(X),798,64439,82892,87.5,11149,10.1,10.2,4.8,11401,12.4,4.8,0.3,(X),(X),7.3,(X),13.3,2.3,18.2,4.2,62500,672700,20.1,50.8,2.4,37.9,5.2,4.3,642,2.0,2985,(X),10.0,69.7,2.9,4.6,16.0
98,7.3,3.74,(X),5216,6075023001,42.0,1393,41.9,89.2,5.4,5.8,11.4,72,516,0.35,4.4,16.8,11.0,8.0,68.6,39.2,64.6,38.4,36.9,6.6,62,6.4,3.7,5.5,(X),1447,50967,64067,86.7,8536,17.7,9.4,4.2,9499,22.3,4.1,0.2,(X),(X),9.6,(X),13.2,3.3,13.9,5.9,55528,524600,26.5,63.8,4.6,49.1,7.7,5.0,519,4.7,5247,(X),4.1,20.7,23.5,4.8,56.0
99,6.0,3.47,(X),3928,6075023003,40.4,1132,27.1,88.9,6.5,5.6,9.1,91,446,0.36,4.6,18.9,12.6,9.2,74.1,39.5,49.2,37.7,39.8,6.3,75,6.5,3.6,6.2,(X),928,79512,100797,83.1,14740,12.1,5.7,5.3,12209,8.5,4.6,0.3,(X),(X),4.8,(X),14.8,1.0,11.3,2.2,55069,527100,10.3,33.6,0.5,55.7,2.2,5.4,350,5.4,3947,(X),5.4,21.2,37.9,7.8,37.7
100,3.9,2.86,(X),3674,6075023102,17.2,1286,13.8,92.0,8.3,6.5,15.8,97,510,0.37,5.1,13.8,14.3,9.1,75.3,55.3,30.5,16.2,40.9,5.7,58,7.1,5.4,5.1,(X),1258,30754,45504,84.4,7709,22.7,13.3,5.6,9256,38.8,8.2,0.4,(X),(X),8.6,(X),15.2,4.8,15.4,4.4,81131,389200,30.6,57.8,3.9,40.0,5.2,4.5,876,7.4,3674,(X),9.4,19.8,63.8,5.8,10.6
